year_month,category,revenue,performance_class,predicted_class,prediction_confidence
2023-11,Beauty,3262484.16,Low,Low,0.99
2023-11,Electronics,191761910.64,High,High,0.98
2023-11,Fashion,17980342.48,Medium,Medium,0.96
2023-11,Grocery,1287137.14,Low,Low,1.0
2023-11,Home & Living,18780653.91,High,High,1.0
2023-11,Sports,6689240.95,Medium,Medium,0.95
2023-12,Beauty,3345999.8,Low,Low,0.99
2023-12,Electronics,202398907.34,High,High,0.95
2023-12,Fashion,18469509.6,High,High,0.72
2023-12,Grocery,1310780.84,Low,Low,1.0
2023-12,Home & Living,20427925.59,High,High,1.0
2023-12,Sports,6936938.48,Medium,Medium,0.94
2024-01,Beauty,2793074.57,Low,Low,1.0
2024-01,Electronics,139832175.35,High,High,1.0
2024-01,Fashion,15516364.53,Medium,Medium,1.0
2024-01,Grocery,2774403.57,Low,Low,1.0
2024-01,Home & Living,26369696.98,High,High,1.0
2024-01,Sports,7204769.86,Medium,Medium,1.0
2024-02,Beauty,2796006.93,Low,Low,1.0
2024-02,Electronics,124315643.27,High,High,1.0
2024-02,Fashion,15590602.18,Medium,Medium,1.0
2024-02,Grocery,2711002.22,Low,Low,1.0
2024-02,Home & Living,26354533.22,High,High,1.0
2024-02,Sports,6518238.17,Medium,Medium,1.0
2024-03,Beauty,2747255.09,Low,Low,1.0
2024-03,Electronics,141276989.99,High,High,0.99
2024-03,Fashion,14814421.71,Medium,Medium,1.0
2024-03,Grocery,2870046.14,Low,Low,1.0
2024-03,Home & Living,25327752.42,High,High,1.0
2024-03,Sports,7387593.96,Medium,Medium,1.0
2024-04,Beauty,2693284.57,Low,Low,0.99
2024-04,Electronics,130650954.71,High,High,1.0
2024-04,Fashion,15827342.18,Medium,Medium,1.0
2024-04,Grocery,2843013.53,Low,Low,1.0
2024-04,Home & Living,25715731.29,High,High,1.0
2024-04,Sports,7249503.31,Medium,Medium,1.0
2024-05,Beauty,4118267.8,Medium,Medium,0.84
2024-05,Electronics,100949489.05,High,High,1.0
2024-05,Fashion,12597284.23,Medium,Medium,1.0
2024-05,Grocery,3316945.56,Low,Low,1.0
2024-05,Home & Living,33388184.09,High,High,1.0
2024-05,Sports,8419237.66,Medium,Medium,1.0
2024-06,Beauty,3632300.45,Low,Low,0.99
2024-06,Electronics,107082780.12,High,High,1.0
2024-06,Fashion,12257337.3,Medium,Medium,0.98
2024-06,Grocery,3163347.04,Low,Low,1.0
2024-06,Home & Living,31460000.22,High,High,1.0
2024-06,Sports,7236866.7,Medium,Medium,1.0
2024-07,Beauty,3744516.81,Low,Low,0.98
2024-07,Electronics,106231468.59,High,High,1.0
2024-07,Fashion,12355309.39,Medium,Medium,1.0
2024-07,Grocery,3231906.37,Low,Low,1.0
2024-07,Home & Living,31610697.69,High,High,1.0
2024-07,Sports,7218741.05,Medium,Medium,1.0
2024-08,Beauty,3796326.72,Low,Low,0.96
2024-08,Electronics,108401982.14,High,High,1.0
2024-08,Fashion,12975171.51,Medium,Medium,1.0
2024-08,Grocery,3459193.14,Low,Low,1.0
2024-08,Home & Living,31623388.44,High,High,1.0
2024-08,Sports,6767365.5,Medium,Medium,1.0
2024-09,Beauty,3093828.9,Low,Low,1.0
2024-09,Electronics,137208497.35,High,High,1.0
2024-09,Fashion,14750682.65,Medium,Medium,1.0
2024-09,Grocery,2665259.78,Low,Low,1.0
2024-09,Home & Living,24225139.56,High,High,1.0
2024-09,Sports,7822468.11,Medium,Medium,1.0
2024-10,Beauty,3418083.44,Low,Low,1.0
2024-10,Electronics,207643725.14,High,High,1.0
2024-10,Fashion,17861171.82,Medium,Medium,0.92
2024-10,Grocery,1431303.46,Low,Low,1.0
2024-10,Home & Living,19892755.42,High,High,1.0
2024-10,Sports,7647806.729999999,Medium,Medium,0.98
2024-11,Beauty,3796536.67,Low,Low,0.93
2024-11,Electronics,193583425.33,High,High,0.98
2024-11,Fashion,17963060.54,Medium,Medium,0.96
2024-11,Grocery,1302025.49,Low,Low,1.0
2024-11,Home & Living,18956727.87,High,High,1.0
2024-11,Sports,6166675.32,Medium,Medium,0.96
2024-12,Beauty,3594817.81,Low,Low,0.99
2024-12,Electronics,193706057.73,High,High,1.0
2024-12,Fashion,17620428.2,Medium,Medium,0.96
2024-12,Grocery,1373476.22,Low,Low,1.0
2024-12,Home & Living,19946343.05,High,High,0.97
2024-12,Sports,6714997.13,Medium,Medium,0.94
2025-01,Beauty,3141080.5,Low,Low,1.0
2025-01,Electronics,139600497.91,High,High,1.0
2025-01,Fashion,15026659.97,Medium,Medium,1.0
2025-01,Grocery,2913520.05,Low,Low,1.0
2025-01,Home & Living,25643757.32,High,High,1.0
2025-01,Sports,7618688.5,Medium,Medium,1.0
2025-02,Beauty,2752691.6,Low,Low,1.0
2025-02,Electronics,115168891.96,High,High,0.99
2025-02,Fashion,14411289.26,Medium,Medium,1.0
2025-02,Grocery,2542104.78,Low,Low,1.0
2025-02,Home & Living,23102227.09,High,High,0.99
2025-02,Sports,7122003.42,Medium,Medium,1.0
2025-03,Beauty,2935788.7,Low,Low,1.0
2025-03,Electronics,145723596.01,High,High,1.0
2025-03,Fashion,15804804.39,Medium,Medium,1.0
2025-03,Grocery,2815464.46,Low,Low,1.0
2025-03,Home & Living,26442263.75,High,High,1.0
2025-03,Sports,8011843.78,Medium,Medium,1.0
2025-04,Beauty,2909733.78,Low,Low,1.0
2025-04,Electronics,148241564.43,High,High,1.0
2025-04,Fashion,15997729.35,Medium,Medium,1.0
2025-04,Grocery,2777289.68,Low,Low,1.0
2025-04,Home & Living,24437527.17,High,High,1.0
2025-04,Sports,6743255.24,Medium,Medium,1.0
2025-05,Beauty,3503793.93,Low,Low,1.0
2025-05,Electronics,104712407.7,High,High,1.0
2025-05,Fashion,12996912.91,Medium,Medium,1.0
2025-05,Grocery,3223367.04,Low,Low,1.0
2025-05,Home & Living,31893388.97,High,High,1.0
2025-05,Sports,7065380.38,Medium,Medium,1.0
2025-06,Beauty,3239348.85,Low,Low,1.0
2025-06,Electronics,100463509.3,High,High,1.0
2025-06,Fashion,10923360.15,Medium,Medium,0.98
2025-06,Grocery,3164800.1,Low,Low,0.98
2025-06,Home & Living,31068718.93,High,High,1.0
2025-06,Sports,7032263.4,Medium,Medium,1.0
2025-07,Beauty,3929224.62,Medium,Medium,0.75
2025-07,Electronics,104221211.16,High,High,1.0
2025-07,Fashion,12266230.09,Medium,Medium,1.0
2025-07,Grocery,3243569.68,Low,Low,1.0
2025-07,Home & Living,32570081.97,High,High,1.0
2025-07,Sports,6460249.49,Medium,Medium,1.0
2025-08,Beauty,3125751.06,Low,Low,1.0
2025-08,Electronics,106869084.48,High,High,1.0
2025-08,Fashion,11897034.89,Medium,Medium,0.99
2025-08,Grocery,3397551.7,Low,Low,1.0
2025-08,Home & Living,35228138.33,High,High,1.0
2025-08,Sports,8352017.27,Medium,Medium,1.0
2025-09,Beauty,2586965.35,Low,Low,1.0
2025-09,Electronics,135194706.82,High,High,1.0
2025-09,Fashion,14591258.54,Medium,Medium,1.0
2025-09,Grocery,2732736.64,Low,Low,1.0
2025-09,Home & Living,26711728.13,High,High,1.0
2025-09,Sports,6486608.1,Medium,Medium,1.0
2025-10,Beauty,3530794.27,Low,Low,1.0
2025-10,Electronics,197829792.21,High,High,1.0
2025-10,Fashion,17345335.78,Medium,Medium,0.98
2025-10,Grocery,1440693.7,Low,Low,1.0
2025-10,Home & Living,20325324.02,High,High,1.0
2025-10,Sports,7576687.75,Medium,Medium,0.99
2025-11,Beauty,2406176.66,Low,Low,0.99
2025-11,Electronics,134520122.02,High,High,1.0
2025-11,Fashion,12990866.62,Medium,Medium,1.0
2025-11,Grocery,946674.33,Low,Low,1.0
2025-11,Home & Living,14210797.48,Medium,High,0.89
2025-11,Sports,4773116.7,Medium,Medium,0.87
