CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment,ML_Cluster
C000062,43,9,16393.43,4,3,3,433,10,Loyal Customers,3
C000063,81,7,14327.83,2,2,3,223,7,Potential Loyalists,1
C000064,48,14,22525.32,3,5,4,354,12,Loyal Customers,3
C000065,196,1,4347.4,1,1,1,111,3,Lost Customers,2
C000066,180,10,27143.75,1,4,5,145,10,Loyal Customers,3
C000067,142,6,4740.84,1,1,1,111,3,Lost Customers,2
C000068,235,5,9564.11,1,1,2,112,4,Lost Customers,2
C000069,14,13,11902.44,5,5,2,552,12,Loyal Customers,0
C000070,55,16,32342.05,3,5,5,355,13,Champions,3
C000071,27,6,24567.5,4,1,5,415,10,Loyal Customers,4
C000072,365,5,9300.32,1,1,2,112,4,Lost Customers,2
C000073,129,8,21087.65,2,3,4,234,9,Potential Loyalists,1
C000074,138,4,8611.45,2,1,1,211,4,Lost Customers,2
C000075,12,13,18907.49,5,5,4,554,14,Champions,0
C000076,19,12,25872.79,5,5,5,555,15,Champions,0
C000077,98,6,16127.06,2,1,3,213,6,At Risk,1
C000078,98,14,25597.28,2,5,5,255,12,Loyal Customers,3
C000079,24,11,42585.74,4,4,5,445,13,Champions,3
C000080,61,7,32200.89,3,2,5,325,10,Loyal Customers,3
C000081,2,12,11066.51,5,5,2,552,12,Loyal Customers,0
C000082,29,11,21659.19,4,4,4,444,12,Loyal Customers,3
C000083,59,11,10165.56,3,4,2,342,9,Potential Loyalists,1
C000084,44,9,21597.67,4,3,4,434,11,Loyal Customers,3
C000085,37,8,13197.65,4,3,3,433,10,Loyal Customers,4
C000086,101,9,27483.71,2,3,5,235,10,Loyal Customers,3
C000087,39,6,22174.15,4,1,4,414,9,Potential Loyalists,1
C000088,13,3,10550.01,5,1,2,512,8,Potential Loyalists,4
C000089,216,6,12942.0,1,1,3,113,5,At Risk,1
C000090,59,8,23515.87,3,3,4,334,10,Loyal Customers,3
C000091,46,10,18717.71,3,4,4,344,11,Loyal Customers,3
C000092,39,7,19016.63,4,2,4,424,10,Loyal Customers,4
C000093,64,5,10606.33,3,1,2,312,6,Recent Customers,1
C000094,12,14,17100.62,5,5,3,553,13,Champions,0
C000095,83,8,26411.04,2,3,5,235,10,Loyal Customers,3
C000096,434,3,4298.83,1,1,1,111,3,Lost Customers,2
C000097,27,7,12728.36,4,2,3,423,9,Potential Loyalists,4
C000098,33,13,14211.83,4,5,3,453,12,Loyal Customers,3
C000099,215,4,7956.820000000001,1,1,1,111,3,Lost Customers,2
C000100,14,4,5502.21,5,1,1,511,7,Potential Loyalists,4
C000101,41,12,14680.25,4,5,3,453,12,Loyal Customers,3
C000102,88,7,5151.39,2,2,1,221,5,At Risk,2
C000103,13,7,10914.12,5,2,2,522,9,Potential Loyalists,4
C000104,227,3,3756.29,1,1,1,111,3,Lost Customers,2
C000105,64,5,11664.04,3,1,2,312,6,Recent Customers,1
C000106,224,8,14521.35,1,3,3,133,7,Potential Loyalists,1
C000107,119,6,12537.97,2,1,2,212,5,At Risk,1
C000108,64,13,50943.69,3,5,5,355,13,Champions,3
C000109,587,4,4973.57,1,1,1,111,3,Lost Customers,2
C000110,48,5,7682.04,3,1,1,311,5,Recent Customers,2
C000111,55,13,38363.11,3,5,5,355,13,Champions,3
C000112,60,9,19790.9,3,3,4,334,10,Loyal Customers,3
C000113,380,5,2888.75,1,1,1,111,3,Lost Customers,2
C000114,49,13,20191.26,3,5,4,354,12,Loyal Customers,3
C000115,42,14,12671.51,4,5,2,452,11,Loyal Customers,3
C000116,136,2,6217.52,2,1,1,211,4,Lost Customers,2
C000117,28,12,45927.43,4,5,5,455,14,Champions,3
C000118,49,9,13834.63,3,3,3,333,9,Potential Loyalists,1
C000119,27,12,29512.27,4,5,5,455,14,Champions,3
C000120,159,12,21043.3,1,5,4,154,10,Loyal Customers,3
C000121,55,7,21559.06,3,2,4,324,9,Potential Loyalists,1
C000122,59,8,26277.14,3,3,5,335,11,Loyal Customers,3
C000123,555,2,2340.01,1,1,1,111,3,Lost Customers,2
C000124,91,11,30856.6,2,4,5,245,11,Loyal Customers,3
C000125,18,12,20994.11,5,5,4,554,14,Champions,0
C000126,28,4,5678.15,4,1,1,411,6,Recent Customers,2
C000127,40,10,38305.22,4,4,5,445,13,Champions,3
C000128,61,11,39383.91,3,4,5,345,12,Loyal Customers,3
C000129,140,5,15255.79,1,1,3,113,5,At Risk,1
C000130,6,8,8022.01,5,3,1,531,9,Potential Loyalists,4
C000131,154,11,13143.94,1,4,3,143,8,Potential Loyalists,1
C000132,156,6,15238.08,1,1,3,113,5,At Risk,1
C000133,104,6,14782.26,2,1,3,213,6,At Risk,1
C000134,185,7,17168.2,1,2,3,123,6,At Risk,1
C000135,194,7,23348.71,1,2,4,124,7,Potential Loyalists,1
C000136,245,7,15089.97,1,2,3,123,6,At Risk,1
C000137,18,8,33857.240000000005,5,3,5,535,13,Champions,0
C000138,154,8,16165.4,1,3,3,133,7,Potential Loyalists,1
C000139,347,6,6682.02,1,1,1,111,3,Lost Customers,2
C000140,81,7,10631.99,2,2,2,222,6,At Risk,1
C000141,152,8,24246.13,1,3,4,134,8,Potential Loyalists,1
C000142,42,9,20008.8,4,3,4,434,11,Loyal Customers,3
C000143,111,5,15181.71,2,1,3,213,6,At Risk,1
C000144,57,9,21240.77,3,3,4,334,10,Loyal Customers,3
C000145,204,10,6987.49,1,4,1,141,6,At Risk,1
C000146,76,7,9670.59,3,2,2,322,7,Potential Loyalists,1
C000147,100,10,32563.9,2,4,5,245,11,Loyal Customers,3
C000148,85,9,27051.8,2,3,5,235,10,Loyal Customers,3
C000149,73,4,13573.16,3,1,3,313,7,Potential Loyalists,2
C000150,76,9,10045.26,3,3,2,332,8,Potential Loyalists,1
C000151,39,10,13956.26,4,4,3,443,11,Loyal Customers,3
C000152,21,9,14895.5,5,3,3,533,11,Loyal Customers,4
C000153,20,12,14390.73,5,5,3,553,13,Champions,0
C000154,49,6,9989.65,3,1,2,312,6,Recent Customers,4
C000155,105,10,11921.73,2,4,2,242,8,Potential Loyalists,1
C000156,49,11,31528.31,3,4,5,345,12,Loyal Customers,3
C000157,69,5,13578.82,3,1,3,313,7,Potential Loyalists,1
C000158,25,13,24854.21,4,5,5,455,14,Champions,3
C000159,285,8,7931.55,1,3,1,131,5,At Risk,1
C000160,295,11,16788.84,1,4,3,143,8,Potential Loyalists,1
C000161,70,11,9365.2,3,4,2,342,9,Potential Loyalists,1
C000162,176,6,11143.79,1,1,2,112,4,Lost Customers,1
C000163,9,14,19922.64,5,5,4,554,14,Champions,0
C000164,33,14,17565.87,4,5,4,454,13,Champions,3
C000165,4,8,13237.53,5,3,3,533,11,Loyal Customers,0
C000166,8,9,8114.639999999999,5,3,1,531,9,Potential Loyalists,4
C000167,12,8,31344.2,5,3,5,535,13,Champions,0
C000168,144,12,43194.75,1,5,5,155,11,Loyal Customers,3
C000169,91,13,11087.59,2,5,2,252,9,Potential Loyalists,3
C000170,85,7,21578.73,2,2,4,224,8,Potential Loyalists,1
C000171,3,8,15594.64,5,3,3,533,11,Loyal Customers,0
C000172,10,7,20409.47,5,2,4,524,11,Loyal Customers,0
C000173,73,5,7141.28,3,1,1,311,5,Recent Customers,2
C000174,8,5,15333.84,5,1,3,513,9,Potential Loyalists,4
C000175,60,10,24144.41,3,4,4,344,11,Loyal Customers,3
C000176,56,8,9882.99,3,3,2,332,8,Potential Loyalists,4
C000177,6,9,8065.12,5,3,1,531,9,Potential Loyalists,4
C000178,157,7,19907.66,1,2,4,124,7,Potential Loyalists,1
C000179,13,9,24846.74,5,3,5,535,13,Champions,0
C000180,110,11,28744.07,2,4,5,245,11,Loyal Customers,3
C000181,53,8,8234.86,3,3,1,331,7,Potential Loyalists,4
C000182,13,7,23774.8,5,2,4,524,11,Loyal Customers,0
C000183,62,10,27911.42,3,4,5,345,12,Loyal Customers,3
C000184,162,8,12479.86,1,3,2,132,6,At Risk,1
C000185,35,7,17934.69,4,2,4,424,10,Loyal Customers,4
C000186,100,10,23416.24,2,4,4,244,10,Loyal Customers,3
C000187,36,6,16472.95,4,1,3,413,8,Potential Loyalists,4
C000188,28,10,29085.53,4,4,5,445,13,Champions,3
C000189,179,9,15101.66,1,3,3,133,7,Potential Loyalists,1
C000190,109,10,19398.97,2,4,4,244,10,Loyal Customers,3
C000191,67,10,20523.17,3,4,4,344,11,Loyal Customers,3
C000192,12,10,21289.03,5,4,4,544,13,Champions,0
C000193,157,6,10825.99,1,1,2,112,4,Lost Customers,1
C000194,12,5,7961.99,5,1,1,511,7,Potential Loyalists,4
C000195,76,5,10204.21,3,1,2,312,6,Recent Customers,2
C000196,69,9,20526.35,3,3,4,334,10,Loyal Customers,3
C000197,56,8,14742.76,3,3,3,333,9,Potential Loyalists,1
C000198,33,7,18672.46,4,2,4,424,10,Loyal Customers,4
C000199,184,9,10832.01,1,3,2,132,6,At Risk,1
C000200,36,11,21651.7,4,4,4,444,12,Loyal Customers,3
C000201,22,9,18808.11,4,3,4,434,11,Loyal Customers,0
C000202,114,5,15628.94,2,1,3,213,6,At Risk,1
C000203,44,4,5411.27,4,1,1,411,6,Recent Customers,2
C000204,145,7,12663.37,1,2,2,122,5,At Risk,1
C000205,74,8,9220.71,3,3,2,332,8,Potential Loyalists,1
C000206,19,11,26444.11,5,4,5,545,14,Champions,0
C000207,239,8,29835.45,1,3,5,135,9,Potential Loyalists,3
C000208,335,2,4178.73,1,1,1,111,3,Lost Customers,2
C000209,189,9,27480.16,1,3,5,135,9,Potential Loyalists,3
C000210,12,13,19609.98,5,5,4,554,14,Champions,0
C000211,54,14,19440.53,3,5,4,354,12,Loyal Customers,3
C000212,79,8,9657.03,3,3,2,332,8,Potential Loyalists,1
C000213,46,6,5529.35,3,1,1,311,5,Recent Customers,4
C000214,33,10,20056.2,4,4,4,444,12,Loyal Customers,3
C000215,153,9,22199.91,1,3,4,134,8,Potential Loyalists,3
C000216,61,7,14189.21,3,2,3,323,8,Potential Loyalists,1
C000217,17,13,21360.68,5,5,4,554,14,Champions,0
C000218,25,13,12858.29,4,5,3,453,12,Loyal Customers,0
C000219,30,15,16516.58,4,5,3,453,12,Loyal Customers,3
C000220,56,6,6956.88,3,1,1,311,5,Recent Customers,4
C000221,91,8,26726.18,2,3,5,235,10,Loyal Customers,3
C000222,18,7,17826.29,5,2,4,524,11,Loyal Customers,4
C000223,101,8,15063.47,2,3,3,233,8,Potential Loyalists,1
C000224,42,11,22010.98,4,4,4,444,12,Loyal Customers,3
C000225,78,7,22558.06,3,2,4,324,9,Potential Loyalists,1
C000226,55,6,20202.04,3,1,4,314,8,Potential Loyalists,1
C000227,121,12,19673.47,2,5,4,254,11,Loyal Customers,3
C000228,52,8,9435.16,3,3,2,332,8,Potential Loyalists,4
C000229,52,8,16992.58,3,3,3,333,9,Potential Loyalists,1
C000230,27,10,27737.98,4,4,5,445,13,Champions,3
C000231,2,8,20992.37,5,3,4,534,12,Loyal Customers,0
C000232,3,7,14887.68,5,2,3,523,10,Loyal Customers,0
C000233,29,4,5699.26,4,1,1,411,6,Recent Customers,2
C000234,27,14,21566.77,4,5,4,454,13,Champions,3
C000235,8,7,20217.27,5,2,4,524,11,Loyal Customers,0
C000236,168,8,6140.46,1,3,1,131,5,At Risk,1
C000237,170,7,13205.19,1,2,3,123,6,At Risk,1
C000238,313,7,9362.22,1,2,2,122,5,At Risk,1
C000239,197,6,27534.86,1,1,5,115,7,Potential Loyalists,1
C000240,139,9,13551.3,2,3,3,233,8,Potential Loyalists,1
C000241,10,8,24338.09,5,3,5,535,13,Champions,0
C000242,34,6,4578.23,4,1,1,411,6,Recent Customers,4
C000243,101,13,23851.89,2,5,4,254,11,Loyal Customers,3
C000244,141,6,10600.09,1,1,2,112,4,Lost Customers,1
C000245,30,8,8180.4,4,3,1,431,8,Potential Loyalists,4
C000246,28,5,7064.38,4,1,1,411,6,Recent Customers,4
C000247,10,10,22270.72,5,4,4,544,13,Champions,0
C000248,30,8,30213.02,4,3,5,435,12,Loyal Customers,3
C000249,53,8,17153.16,3,3,3,333,9,Potential Loyalists,1
C000250,62,8,8697.36,3,3,1,331,7,Potential Loyalists,4
C000251,22,4,9910.97,4,1,2,412,7,Potential Loyalists,4
C000252,6,11,33593.6,5,4,5,545,14,Champions,0
C000253,24,6,13379.92,4,1,3,413,8,Potential Loyalists,4
C000254,98,6,14721.31,2,1,3,213,6,At Risk,1
C000255,170,10,12510.84,1,4,2,142,7,Potential Loyalists,1
C000256,3,7,12486.5,5,2,2,522,9,Potential Loyalists,0
C000257,124,8,23680.46,2,3,4,234,9,Potential Loyalists,1
C000258,48,10,21163.46,3,4,4,344,11,Loyal Customers,3
C000259,95,10,18508.25,2,4,4,244,10,Loyal Customers,3
C000260,27,7,19320.24,4,2,4,424,10,Loyal Customers,4
C000261,46,9,32335.14,3,3,5,335,11,Loyal Customers,3
C000262,12,7,19458.41,5,2,4,524,11,Loyal Customers,0
C000263,121,4,3257.9,2,1,1,211,4,Lost Customers,2
C000264,71,7,10207.63,3,2,2,322,7,Potential Loyalists,1
C000265,67,11,37820.5,3,4,5,345,12,Loyal Customers,3
C000266,120,8,17119.09,2,3,3,233,8,Potential Loyalists,1
C000267,71,7,8239.53,3,2,1,321,6,Recent Customers,1
C000268,4,11,18266.42,5,4,4,544,13,Champions,0
C000269,76,8,20609.22,3,3,4,334,10,Loyal Customers,3
C000270,20,15,26989.48,5,5,5,555,15,Champions,3
C000271,95,12,29079.31,2,5,5,255,12,Loyal Customers,3
C000272,78,10,17270.99,3,4,3,343,10,Loyal Customers,3
C000273,138,8,11906.89,2,3,2,232,7,Potential Loyalists,1
C000274,37,9,13888.0,4,3,3,433,10,Loyal Customers,4
C000275,102,10,8849.54,2,4,2,242,8,Potential Loyalists,1
C000276,99,10,16134.45,2,4,3,243,9,Potential Loyalists,3
C000277,86,5,20208.26,2,1,4,214,7,Potential Loyalists,1
C000278,70,8,7460.69,3,3,1,331,7,Potential Loyalists,1
C000279,376,6,9076.85,1,1,2,112,4,Lost Customers,1
C000280,32,10,10441.61,4,4,2,442,10,Loyal Customers,4
C000281,64,5,13292.27,3,1,3,313,7,Potential Loyalists,1
C000282,77,9,35516.63,3,3,5,335,11,Loyal Customers,3
C000283,2,11,21553.07,5,4,4,544,13,Champions,0
C000284,89,6,8720.15,2,1,1,211,4,Lost Customers,1
C000285,162,7,21965.24,1,2,4,124,7,Potential Loyalists,1
C000286,48,12,17515.52,3,5,4,354,12,Loyal Customers,3
C000287,20,10,41724.22,5,4,5,545,14,Champions,3
C000288,21,10,9286.33,5,4,2,542,11,Loyal Customers,4
C000289,329,5,13619.57,1,1,3,113,5,At Risk,1
C000290,33,5,4226.71,4,1,1,411,6,Recent Customers,2
C000291,1,7,6544.31,5,2,1,521,8,Potential Loyalists,4
C000292,59,6,10375.03,3,1,2,312,6,Recent Customers,4
C000293,22,8,13252.6,4,3,3,433,10,Loyal Customers,4
C000294,75,6,11502.04,3,1,2,312,6,Recent Customers,1
C000295,64,6,4327.18,3,1,1,311,5,Recent Customers,2
C000296,2,8,17797.88,5,3,4,534,12,Loyal Customers,0
C000297,168,9,15096.11,1,3,3,133,7,Potential Loyalists,1
C000298,117,6,6743.07,2,1,1,211,4,Lost Customers,2
C000299,7,8,35148.81,5,3,5,535,13,Champions,0
C000300,3,9,18078.09,5,3,4,534,12,Loyal Customers,0
C000301,198,9,8866.95,1,3,2,132,6,At Risk,1
C000302,44,5,18683.55,4,1,4,414,9,Potential Loyalists,4
C000303,132,6,25828.34,2,1,5,215,8,Potential Loyalists,1
C000304,105,8,23909.19,2,3,4,234,9,Potential Loyalists,3
C000305,21,15,13142.82,5,5,3,553,13,Champions,0
C000306,108,7,21288.8,2,2,4,224,8,Potential Loyalists,1
C000307,5,10,8106.04,5,4,1,541,10,Loyal Customers,0
C000308,43,8,9625.19,4,3,2,432,9,Potential Loyalists,4
C000309,8,6,4762.72,5,1,1,511,7,Potential Loyalists,4
C000310,4,13,45064.29,5,5,5,555,15,Champions,0
C000311,261,8,24600.67,1,3,5,135,9,Potential Loyalists,1
C000312,13,13,36543.52,5,5,5,555,15,Champions,0
C000313,46,5,4492.62,3,1,1,311,5,Recent Customers,2
C000314,108,8,10556.07,2,3,2,232,7,Potential Loyalists,1
C000315,117,6,13495.28,2,1,3,213,6,At Risk,1
C000316,127,9,33985.27,2,3,5,235,10,Loyal Customers,3
C000317,109,5,6797.65,2,1,1,211,4,Lost Customers,2
C000318,530,2,5018.56,1,1,1,111,3,Lost Customers,2
C000319,41,8,9703.12,4,3,2,432,9,Potential Loyalists,4
C000320,28,11,21506.44,4,4,4,444,12,Loyal Customers,3
C000321,351,2,4181.450000000001,1,1,1,111,3,Lost Customers,2
C000322,4,8,19845.37,5,3,4,534,12,Loyal Customers,0
C000323,112,8,15264.64,2,3,3,233,8,Potential Loyalists,1
C000324,254,7,10203.72,1,2,2,122,5,At Risk,1
C000325,1,10,24932.76,5,4,5,545,14,Champions,0
C000326,80,7,17616.66,3,2,4,324,9,Potential Loyalists,1
C000327,28,16,31632.55,4,5,5,455,14,Champions,3
C000328,60,7,8133.05,3,2,1,321,6,Recent Customers,4
C000329,298,9,23422.31,1,3,4,134,8,Potential Loyalists,1
C000330,234,8,10284.32,1,3,2,132,6,At Risk,1
C000331,396,2,3116.34,1,1,1,111,3,Lost Customers,2
C000332,38,6,10820.75,4,1,2,412,7,Potential Loyalists,4
C000333,24,7,11185.42,4,2,2,422,8,Potential Loyalists,4
C000334,65,8,10754.56,3,3,2,332,8,Potential Loyalists,1
C000335,48,11,29195.61,3,4,5,345,12,Loyal Customers,3
C000336,29,5,4680.09,4,1,1,411,6,Recent Customers,2
C000337,39,7,8864.38,4,2,2,422,8,Potential Loyalists,4
C000338,188,13,25501.01,1,5,5,155,11,Loyal Customers,3
C000339,111,10,19042.01,2,4,4,244,10,Loyal Customers,3
C000340,85,7,16661.82,2,2,3,223,7,Potential Loyalists,1
C000341,62,10,12542.89,3,4,2,342,9,Potential Loyalists,1
C000342,35,2,1477.65,4,1,1,411,6,Recent Customers,2
C000343,9,9,20969.5,5,3,4,534,12,Loyal Customers,0
C000344,62,10,26171.77,3,4,5,345,12,Loyal Customers,3
C000345,17,6,13348.0,5,1,3,513,9,Potential Loyalists,4
C000346,6,14,35745.54,5,5,5,555,15,Champions,0
C000347,38,8,11648.18,4,3,2,432,9,Potential Loyalists,4
C000348,74,9,31770.49,3,3,5,335,11,Loyal Customers,3
C000349,30,6,10634.55,4,1,2,412,7,Potential Loyalists,4
C000350,25,11,10784.41,4,4,2,442,10,Loyal Customers,4
C000351,19,12,8689.91,5,5,1,551,11,Loyal Customers,4
C000352,141,5,5444.46,1,1,1,111,3,Lost Customers,2
C000353,58,8,9112.4,3,3,2,332,8,Potential Loyalists,4
C000354,160,10,23077.65,1,4,4,144,9,Potential Loyalists,3
C000355,53,6,5142.16,3,1,1,311,5,Recent Customers,2
C000356,101,9,10001.48,2,3,2,232,7,Potential Loyalists,1
C000357,11,12,15483.4,5,5,3,553,13,Champions,0
C000358,28,8,15538.86,4,3,3,433,10,Loyal Customers,4
C000359,228,7,20852.87,1,2,4,124,7,Potential Loyalists,1
C000360,9,9,16303.07,5,3,3,533,11,Loyal Customers,0
C000361,100,7,13264.84,2,2,3,223,7,Potential Loyalists,1
C000362,141,10,35388.15,1,4,5,145,10,Loyal Customers,3
C000363,51,9,16288.61,3,3,3,333,9,Potential Loyalists,3
C000364,3,8,8176.74,5,3,1,531,9,Potential Loyalists,4
C000365,29,8,22198.07,4,3,4,434,11,Loyal Customers,3
C000366,17,14,27469.12,5,5,5,555,15,Champions,0
C000367,6,6,14304.56,5,1,3,513,9,Potential Loyalists,4
C000368,98,15,11462.19,2,5,2,252,9,Potential Loyalists,3
C000369,84,9,43842.39,2,3,5,235,10,Loyal Customers,3
C000370,102,12,20583.09,2,5,4,254,11,Loyal Customers,3
C000371,20,4,3871.12,5,1,1,511,7,Potential Loyalists,2
C000372,4,5,9312.13,5,1,2,512,8,Potential Loyalists,4
C000373,90,8,19916.83,2,3,4,234,9,Potential Loyalists,1
C000374,10,13,31610.24,5,5,5,555,15,Champions,0
C000375,95,6,10112.6,2,1,2,212,5,At Risk,1
C000376,89,4,7160.44,2,1,1,211,4,Lost Customers,2
C000377,88,10,12567.74,2,4,2,242,8,Potential Loyalists,1
C000378,175,15,33397.35,1,5,5,155,11,Loyal Customers,3
C000379,31,5,14862.01,4,1,3,413,8,Potential Loyalists,4
C000380,185,5,16510.08,1,1,3,113,5,At Risk,1
C000381,19,12,29011.23,5,5,5,555,15,Champions,0
C000382,248,3,4121.08,1,1,1,111,3,Lost Customers,2
C000383,16,9,22764.53,5,3,4,534,12,Loyal Customers,0
C000384,37,9,20690.17,4,3,4,434,11,Loyal Customers,3
C000385,412,7,6826.6,1,2,1,121,4,Lost Customers,1
C000386,169,2,4862.4,1,1,1,111,3,Lost Customers,2
C000387,24,7,25964.71,4,2,5,425,11,Loyal Customers,3
C000388,42,8,13404.13,4,3,3,433,10,Loyal Customers,4
C000389,44,6,23601.72,4,1,4,414,9,Potential Loyalists,1
C000390,116,8,13166.91,2,3,3,233,8,Potential Loyalists,1
C000391,49,5,22920.84,3,1,4,314,8,Potential Loyalists,1
C000392,21,5,4964.2,5,1,1,511,7,Potential Loyalists,4
C000393,101,10,15499.83,2,4,3,243,9,Potential Loyalists,3
C000394,43,9,9844.09,4,3,2,432,9,Potential Loyalists,4
C000395,117,7,5503.11,2,2,1,221,5,At Risk,2
C000396,269,6,17251.03,1,1,3,113,5,At Risk,1
C000397,120,11,24727.41,2,4,5,245,11,Loyal Customers,3
C000398,20,8,40476.4,5,3,5,535,13,Champions,3
C000399,1,7,5950.849999999999,5,2,1,521,8,Potential Loyalists,4
C000400,39,8,16452.38,4,3,3,433,10,Loyal Customers,4
C000401,34,5,11856.67,4,1,2,412,7,Potential Loyalists,4
C000402,98,9,9021.77,2,3,2,232,7,Potential Loyalists,1
C000403,87,9,25488.62,2,3,5,235,10,Loyal Customers,3
C000404,135,5,20208.54,2,1,4,214,7,Potential Loyalists,1
C000405,4,10,11291.22,5,4,2,542,11,Loyal Customers,0
C000406,65,10,27660.74,3,4,5,345,12,Loyal Customers,3
C000407,1,5,6851.52,5,1,1,511,7,Potential Loyalists,4
C000408,199,11,29366.57,1,4,5,145,10,Loyal Customers,3
C000409,107,6,22559.52,2,1,4,214,7,Potential Loyalists,1
C000410,75,6,13991.87,3,1,3,313,7,Potential Loyalists,1
C000411,177,5,3668.57,1,1,1,111,3,Lost Customers,2
C000412,1,12,17543.53,5,5,4,554,14,Champions,0
C000413,89,5,12205.14,2,1,2,212,5,At Risk,1
C000414,4,9,35651.1,5,3,5,535,13,Champions,0
C000415,142,9,11582.24,1,3,2,132,6,At Risk,1
C000416,113,8,7438.18,2,3,1,231,6,At Risk,1
C000417,70,6,10041.12,3,1,2,312,6,Recent Customers,1
C000418,7,8,19904.95,5,3,4,534,12,Loyal Customers,0
C000419,89,10,19640.12,2,4,4,244,10,Loyal Customers,3
C000420,66,8,11023.18,3,3,2,332,8,Potential Loyalists,1
C000421,16,16,41859.89,5,5,5,555,15,Champions,0
C000422,33,5,3690.64,4,1,1,411,6,Recent Customers,2
C000423,266,5,4361.19,1,1,1,111,3,Lost Customers,2
C000424,15,9,28145.16,5,3,5,535,13,Champions,0
C000425,261,7,17475.079999999998,1,2,4,124,7,Potential Loyalists,1
C000426,33,9,17856.68,4,3,4,434,11,Loyal Customers,3
C000427,229,6,5184.31,1,1,1,111,3,Lost Customers,2
