CustomerID,Segment,Age,IncomeLevel,JoinDate
C000216,Fitness Enthusiast,26,Medium-High,2023-07-08
C000217,Trendy,29,Medium-High,2023-05-27
C000218,Value-Conscious,34,Medium,2023-02-09
C000219,Value-Conscious,52,Medium,2023-11-27
C000220,Trendy,18,Medium-High,2023-02-16
C000221,Casual Shopper,43,Medium-Low,2023-11-11
C000222,Casual Shopper,41,Medium-Low,2023-11-01
C000223,Fitness Enthusiast,31,Medium-High,2023-09-17
C000224,Fitness Enthusiast,39,Medium-High,2023-07-16
C000225,Premium,32,High,2023-08-25
C000226,Premium,41,High,2023-10-25
C000227,Trendy,24,Medium-High,2023-10-11
C000228,Value-Conscious,23,Medium,2023-01-22
C000229,Casual Shopper,18,Medium-Low,2023-08-19
C000230,Casual Shopper,39,Medium-Low,2023-10-20
C000231,Casual Shopper,27,Medium-Low,2023-11-30
C000232,Premium,18,High,2023-04-07
C000233,Value-Conscious,23,Medium,2023-06-14
C000234,Trendy,41,Medium-High,2023-11-06
C000235,Casual Shopper,36,Medium-Low,2023-09-01
C000236,Value-Conscious,23,Medium,2023-09-14
C000237,Fitness Enthusiast,51,Medium-High,2023-03-19
C000238,Trendy,34,Medium-High,2023-02-01
C000239,Premium,40,High,2023-08-19
C000240,Casual Shopper,36,Medium-Low,2023-02-22
C000241,Casual Shopper,31,Medium-Low,2023-06-25
C000242,Value-Conscious,39,Medium,2024-01-01
C000243,Casual Shopper,48,Medium-Low,2023-02-13
C000244,Fitness Enthusiast,31,Medium-High,2023-09-16
C000245,Value-Conscious,43,Medium,2023-11-27
C000246,Value-Conscious,26,Medium,2023-03-30
C000247,Casual Shopper,56,Medium-Low,2023-01-21
C000248,Premium,25,High,2023-05-07
C000249,Casual Shopper,61,Medium-Low,2023-12-29
C000250,Value-Conscious,20,Medium,2023-08-13
C000251,Casual Shopper,30,Medium-Low,2023-08-13
C000252,Premium,40,High,2023-09-26
C000253,Premium,49,High,2023-09-25
C000254,Trendy,54,Medium-High,2023-11-09
C000255,Value-Conscious,52,Medium,2023-03-23
C000256,Trendy,18,Medium-High,2023-07-06
C000257,Fitness Enthusiast,39,Medium-High,2023-07-10
C000258,Trendy,25,Medium-High,2023-05-25
C000259,Trendy,46,Medium-High,2023-07-18
C000260,Fitness Enthusiast,48,Medium-High,2023-07-29
C000261,Premium,38,High,2023-06-23
C000262,Trendy,28,Medium-High,2023-12-14
C000263,Value-Conscious,21,Medium,2023-11-03
C000264,Value-Conscious,26,Medium,2023-01-27
C000265,Premium,25,High,2023-11-20
C000266,Casual Shopper,35,Medium-Low,2023-11-28
C000267,Value-Conscious,47,Medium,2023-06-21
C000268,Casual Shopper,36,Medium-Low,2023-02-03
C000269,Trendy,20,Medium-High,2023-06-18
C000270,Casual Shopper,20,Medium-Low,2023-02-18
C000271,Fitness Enthusiast,43,Medium-High,2023-10-13
C000272,Casual Shopper,58,Medium-Low,2023-12-14
C000273,Trendy,36,Medium-High,2023-07-17
C000274,Fitness Enthusiast,26,Medium-High,2023-05-26
C000275,Value-Conscious,23,Medium,2023-05-10
C000276,Trendy,42,Medium-High,2023-12-03
C000277,Premium,54,High,2023-11-05
C000278,Value-Conscious,31,Medium,2023-03-18
C000279,Casual Shopper,28,Medium-Low,2023-06-20
C000280,Value-Conscious,18,Medium,2023-02-11
C000281,Fitness Enthusiast,35,Medium-High,2023-10-26
C000282,Casual Shopper,44,Medium-Low,2023-12-06
C000283,Trendy,26,Medium-High,2023-03-14
C000284,Casual Shopper,37,Medium-Low,2023-06-29
C000285,Premium,41,High,2023-06-08
C000286,Casual Shopper,41,Medium-Low,2023-12-02
C000287,Premium,22,High,2023-12-24
C000288,Value-Conscious,24,Medium,2023-12-06
C000289,Premium,36,High,2023-07-20
C000290,Value-Conscious,43,Medium,2023-03-08
C000291,Value-Conscious,60,Medium,2023-11-01
C000292,Trendy,21,Medium-High,2023-12-29
C000293,Fitness Enthusiast,38,Medium-High,2023-02-13
C000294,Fitness Enthusiast,34,Medium-High,2023-06-08
C000295,Value-Conscious,29,Medium,2023-10-14
C000296,Fitness Enthusiast,48,Medium-High,2023-07-12
C000297,Fitness Enthusiast,41,Medium-High,2023-11-26
C000298,Value-Conscious,42,Medium,2023-06-18
C000299,Premium,20,High,2023-03-07
C000300,Casual Shopper,30,Medium-Low,2023-12-10
C000301,Value-Conscious,35,Medium,2023-12-26
C000302,Casual Shopper,37,Medium-Low,2023-12-17
C000303,Premium,64,High,2023-09-27
C000304,Casual Shopper,31,Medium-Low,2023-02-17
C000305,Value-Conscious,18,Medium,2023-11-27
C000306,Premium,35,High,2023-12-10
C000307,Value-Conscious,41,Medium,2023-08-05
C000308,Trendy,35,Medium-High,2023-09-18
C000309,Value-Conscious,18,Medium,2023-07-05
C000310,Premium,38,High,2023-01-10
C000311,Casual Shopper,41,Medium-Low,2023-07-05
C000312,Casual Shopper,19,Medium-Low,2023-06-08
C000313,Value-Conscious,26,Medium,2023-04-03
C000314,Fitness Enthusiast,34,Medium-High,2023-04-20
C000315,Premium,28,High,2023-06-24
C000316,Premium,30,High,2023-09-06
C000317,Value-Conscious,38,Medium,2023-04-09
C000318,Premium,27,High,2023-04-26
C000319,Trendy,18,Medium-High,2023-03-12
C000320,Casual Shopper,45,Medium-Low,2023-03-21
C000321,Trendy,22,Medium-High,2023-02-09
C000322,Fitness Enthusiast,32,Medium-High,2023-06-01
C000323,Trendy,28,Medium-High,2023-02-21
C000324,Trendy,20,Medium-High,2023-09-17
C000325,Casual Shopper,45,Medium-Low,2023-10-04
C000326,Premium,44,High,2023-09-27
C000327,Trendy,30,Medium-High,2023-01-20
C000328,Value-Conscious,34,Medium,2023-12-05
C000329,Casual Shopper,36,Medium-Low,2023-06-22
C000330,Value-Conscious,21,Medium,2023-11-13
C000331,Premium,23,High,2023-03-09
C000332,Trendy,34,Medium-High,2023-11-02
C000333,Trendy,20,Medium-High,2023-07-12
C000334,Value-Conscious,34,Medium,2023-03-20
C000335,Casual Shopper,18,Medium-Low,2023-03-25
C000336,Value-Conscious,29,Medium,2023-04-03
C000337,Trendy,38,Medium-High,2023-12-21
C000338,Fitness Enthusiast,37,Medium-High,2023-11-16
C000339,Casual Shopper,48,Medium-Low,2023-03-26
C000340,Trendy,21,Medium-High,2023-08-13
C000341,Value-Conscious,33,Medium,2023-01-23
C000342,Casual Shopper,46,Medium-Low,2023-07-30
C000343,Casual Shopper,38,Medium-Low,2023-07-06
C000344,Casual Shopper,44,Medium-Low,2023-12-13
C000345,Premium,20,High,2023-05-02
C000346,Casual Shopper,35,Medium-Low,2023-08-16
C000347,Trendy,32,Medium-High,2023-11-09
C000348,Premium,36,High,2023-05-26
C000349,Casual Shopper,25,Medium-Low,2023-08-18
C000350,Value-Conscious,50,Medium,2023-04-30
C000351,Value-Conscious,43,Medium,2023-10-01
C000352,Value-Conscious,48,Medium,2023-05-03
C000353,Value-Conscious,38,Medium,2023-06-08
C000354,Casual Shopper,26,Medium-Low,2023-08-29
C000355,Value-Conscious,42,Medium,2023-04-10
C000356,Value-Conscious,50,Medium,2023-07-08
C000357,Value-Conscious,38,Medium,2023-12-14
C000358,Casual Shopper,23,Medium-Low,2023-10-20
C000359,Casual Shopper,27,Medium-Low,2023-08-14
C000360,Fitness Enthusiast,35,Medium-High,2023-08-25
C000361,Casual Shopper,52,Medium-Low,2023-05-25
C000362,Casual Shopper,56,Medium-Low,2023-07-15
C000363,Casual Shopper,24,Medium-Low,2023-09-15
C000364,Value-Conscious,39,Medium,2023-09-28
C000365,Fitness Enthusiast,27,Medium-High,2023-08-03
C000366,Trendy,19,Medium-High,2023-03-24
C000367,Trendy,41,Medium-High,2023-04-13
C000368,Value-Conscious,36,Medium,2023-11-06
C000369,Premium,37,High,2023-03-12
C000370,Casual Shopper,33,Medium-Low,2023-05-09
C000371,Value-Conscious,38,Medium,2023-01-27
C000372,Casual Shopper,38,Medium-Low,2023-11-25
C000373,Fitness Enthusiast,45,Medium-High,2023-09-04
C000374,Trendy,25,Medium-High,2023-07-10
C000375,Casual Shopper,45,Medium-Low,2023-10-11
C000376,Casual Shopper,43,Medium-Low,2023-02-22
C000377,Value-Conscious,38,Medium,2023-12-31
C000378,Fitness Enthusiast,35,Medium-High,2023-09-22
C000379,Premium,33,High,2023-03-05
C000380,Casual Shopper,33,Medium-Low,2023-05-26
C000381,Casual Shopper,35,Medium-Low,2023-02-12
C000382,Casual Shopper,18,Medium-Low,2023-03-24
C000383,Casual Shopper,62,Medium-Low,2023-05-20
C000384,Trendy,47,Medium-High,2023-08-19
C000385,Value-Conscious,56,Medium,2023-09-20
C000386,Fitness Enthusiast,42,Medium-High,2023-03-17
C000387,Casual Shopper,27,Medium-Low,2023-08-12
C000388,Trendy,40,Medium-High,2023-02-16
C000389,Premium,44,High,2023-04-24
C000390,Fitness Enthusiast,23,Medium-High,2023-08-19
C000391,Premium,50,High,2023-06-28
C000392,Value-Conscious,29,Medium,2023-01-14
C000393,Trendy,43,Medium-High,2023-08-01
C000394,Value-Conscious,52,Medium,2023-01-28
C000395,Value-Conscious,38,Medium,2023-07-22
C000396,Premium,52,High,2023-09-15
C000397,Casual Shopper,18,Medium-Low,2023-07-11
C000398,Premium,21,High,2023-05-01
C000399,Value-Conscious,25,Medium,2023-07-17
C000400,Casual Shopper,18,Medium-Low,2023-02-11
C000401,Fitness Enthusiast,18,Medium-High,2023-07-11
C000402,Trendy,52,Medium-High,2023-04-25
C000403,Casual Shopper,48,Medium-Low,2023-01-15
C000404,Premium,28,High,2023-06-13
C000405,Trendy,61,Medium-High,2023-02-20
C000406,Premium,31,High,2024-01-01
C000407,Trendy,57,Medium-High,2023-11-29
C000408,Casual Shopper,57,Medium-Low,2023-06-21
C000409,Casual Shopper,27,Medium-Low,2023-03-16
C000410,Casual Shopper,44,Medium-Low,2023-03-12
C000411,Trendy,48,Medium-High,2023-01-20
C000412,Casual Shopper,27,Medium-Low,2023-05-27
C000413,Casual Shopper,18,Medium-Low,2023-08-30
C000414,Premium,44,High,2023-12-23
C000415,Value-Conscious,24,Medium,2023-03-13
C000416,Value-Conscious,33,Medium,2023-12-28
C000417,Trendy,37,Medium-High,2023-08-29
C000418,Trendy,41,Medium-High,2023-08-18
C000419,Casual Shopper,30,Medium-Low,2023-11-12
C000420,Trendy,38,Medium-High,2023-01-03
C000421,Casual Shopper,49,Medium-Low,2023-02-10
C000422,Trendy,18,Medium-High,2023-01-10
C000423,Value-Conscious,18,Medium,2023-05-12
C000424,Premium,20,High,2023-04-21
C000425,Premium,28,High,2023-03-18
C000426,Trendy,44,Medium-High,2023-10-08
C000427,Value-Conscious,47,Medium,2023-11-08
C000428,Casual Shopper,32,Medium-Low,2023-09-28
C000429,Value-Conscious,32,Medium,2023-08-05
C000430,Trendy,51,Medium-High,2023-02-26
C000431,Premium,37,High,2023-05-28
C000432,Trendy,30,Medium-High,2023-05-02
C000433,Trendy,45,Medium-High,2023-06-04
C000434,Value-Conscious,44,Medium,2023-03-04
C000435,Casual Shopper,39,Medium-Low,2023-01-25
C000436,Casual Shopper,28,Medium-Low,2023-05-03
C000437,Fitness Enthusiast,23,Medium-High,2023-08-03
C000438,Value-Conscious,24,Medium,2023-11-24
C000439,Fitness Enthusiast,24,Medium-High,2023-11-15
C000440,Casual Shopper,23,Medium-Low,2023-08-23
C000441,Trendy,28,Medium-High,2023-02-02
C000442,Premium,34,High,2023-02-26
C000443,Fitness Enthusiast,36,Medium-High,2023-09-13
C000444,Trendy,21,Medium-High,2023-11-02
C000445,Value-Conscious,37,Medium,2023-10-02
C000446,Trendy,36,Medium-High,2023-01-09
C000447,Fitness Enthusiast,33,Medium-High,2023-11-20
C000448,Value-Conscious,27,Medium,2023-09-21
C000449,Casual Shopper,21,Medium-Low,2023-10-22
C000450,Trendy,41,Medium-High,2023-05-04
C000451,Trendy,35,Medium-High,2023-03-15
C000452,Value-Conscious,39,Medium,2023-05-30
C000453,Premium,29,High,2023-08-08
C000454,Value-Conscious,28,Medium,2023-01-01
C000455,Fitness Enthusiast,47,Medium-High,2023-11-11
C000456,Premium,65,High,2023-06-30
C000457,Fitness Enthusiast,31,Medium-High,2023-05-04
C000458,Casual Shopper,36,Medium-Low,2023-10-20
C000459,Trendy,34,Medium-High,2023-08-02
C000460,Trendy,25,Medium-High,2023-04-06
C000461,Value-Conscious,29,Medium,2023-12-07
C000462,Trendy,59,Medium-High,2023-12-09
C000463,Casual Shopper,26,Medium-Low,2023-02-13
C000464,Trendy,35,Medium-High,2023-09-26
C000465,Casual Shopper,27,Medium-Low,2023-07-04
C000466,Casual Shopper,34,Medium-Low,2023-02-04
C000467,Value-Conscious,26,Medium,2023-09-27
C000468,Value-Conscious,28,Medium,2023-10-06
C000469,Casual Shopper,18,Medium-Low,2023-09-17
C000470,Fitness Enthusiast,36,Medium-High,2023-09-17
C000471,Fitness Enthusiast,30,Medium-High,2023-10-11
C000472,Trendy,41,Medium-High,2023-01-11
C000473,Fitness Enthusiast,34,Medium-High,2023-07-19
C000474,Fitness Enthusiast,26,Medium-High,2023-08-29
C000475,Trendy,23,Medium-High,2023-01-23
C000476,Casual Shopper,34,Medium-Low,2023-11-22
C000477,Casual Shopper,50,Medium-Low,2023-07-18
C000478,Fitness Enthusiast,28,Medium-High,2023-07-11
C000479,Value-Conscious,18,Medium,2023-05-10
C000480,Casual Shopper,37,Medium-Low,2023-01-09
C000481,Trendy,49,Medium-High,2023-07-02
C000482,Value-Conscious,41,Medium,2023-02-04
C000483,Fitness Enthusiast,20,Medium-High,2023-06-26
C000484,Casual Shopper,36,Medium-Low,2023-05-04
C000485,Casual Shopper,45,Medium-Low,2023-12-03
C000486,Fitness Enthusiast,29,Medium-High,2023-11-18
C000487,Value-Conscious,28,Medium,2023-02-23
C000488,Fitness Enthusiast,28,Medium-High,2023-10-25
C000489,Casual Shopper,32,Medium-Low,2023-06-20
C000490,Casual Shopper,21,Medium-Low,2023-03-10
C000491,Premium,37,High,2023-01-23
C000492,Trendy,37,Medium-High,2023-06-30
C000493,Fitness Enthusiast,38,Medium-High,2023-10-07
C000494,Casual Shopper,34,Medium-Low,2023-06-23
C000495,Casual Shopper,20,Medium-Low,2023-11-26
C000496,Premium,31,High,2023-03-31
C000497,Trendy,56,Medium-High,2023-12-17
C000498,Fitness Enthusiast,37,Medium-High,2023-08-26
C000499,Premium,25,High,2023-12-23
C000500,Fitness Enthusiast,42,Medium-High,2023-09-03
C000501,Casual Shopper,56,Medium-Low,2023-11-20
C000502,Value-Conscious,39,Medium,2023-04-04
C000503,Trendy,33,Medium-High,2023-03-11
C000504,Value-Conscious,50,Medium,2023-02-02
C000505,Trendy,29,Medium-High,2023-08-23
C000506,Value-Conscious,46,Medium,2023-01-19
C000507,Casual Shopper,28,Medium-Low,2023-05-31
C000508,Value-Conscious,30,Medium,2023-04-14
C000509,Trendy,44,Medium-High,2023-01-23
C000510,Casual Shopper,50,Medium-Low,2023-04-13
C000511,Value-Conscious,33,Medium,2023-01-22
C000512,Fitness Enthusiast,49,Medium-High,2023-06-11
C000513,Casual Shopper,39,Medium-Low,2023-06-08
C000514,Value-Conscious,25,Medium,2023-09-21
C000515,Casual Shopper,30,Medium-Low,2023-07-23
C000516,Casual Shopper,41,Medium-Low,2023-10-06
C000517,Value-Conscious,51,Medium,2023-08-31
C000518,Trendy,47,Medium-High,2023-05-10
C000519,Value-Conscious,47,Medium,2023-01-19
C000520,Fitness Enthusiast,19,Medium-High,2023-11-28
C000521,Fitness Enthusiast,43,Medium-High,2023-04-08
C000522,Casual Shopper,43,Medium-Low,2023-05-27
C000523,Value-Conscious,38,Medium,2023-07-02
C000524,Trendy,42,Medium-High,2023-01-25
C000525,Premium,18,High,2023-12-02
C000526,Fitness Enthusiast,18,Medium-High,2023-06-19
C000527,Trendy,38,Medium-High,2023-05-20
C000528,Premium,34,High,2023-03-05
C000529,Trendy,32,Medium-High,2023-07-08
C000530,Fitness Enthusiast,40,Medium-High,2023-08-12
C000531,Value-Conscious,37,Medium,2023-07-24
C000532,Casual Shopper,38,Medium-Low,2023-08-14
C000533,Premium,45,High,2023-07-17
C000534,Value-Conscious,28,Medium,2023-06-23
C000535,Fitness Enthusiast,39,Medium-High,2023-04-06
C000536,Trendy,27,Medium-High,2023-09-12
C000537,Premium,18,High,2023-12-21
C000538,Trendy,31,Medium-High,2023-09-12
C000539,Value-Conscious,47,Medium,2023-07-08
C000540,Premium,24,High,2023-09-23
C000541,Fitness Enthusiast,40,Medium-High,2023-05-17
C000542,Trendy,45,Medium-High,2023-02-12
C000543,Fitness Enthusiast,43,Medium-High,2023-08-06
