ProductID,ProductName,Category,Subcategory,Size,Season,Color,Brand,Cost,Price,SupplierID,LaunchDate,Margin
P0042,TinyTrends Shirts Gray 5T,Boys Clothing,Shirts,5T,Spring,Gray,TinyTrends,10.53,22.92,SUP007,2022-12-29,54.06
P0043,KiddoFashion Shirts Beige 8,Boys Clothing,Shirts,8,Winter,Beige,KiddoFashion,11.1,22.26,SUP001,2023-11-21,50.13
P0044,YouthStyle Shirts Beige 3T,Boys Clothing,Shirts,3T,Spring,Beige,YouthStyle,19.69,36.08,SUP006,2022-04-22,45.43
P0045,MiniMode Shirts Orange 5T,Boys Clothing,Shirts,5T,Summer,Orange,MiniMode,21.5,41.28,SUP008,2022-05-24,47.92
P0046,JuniorWear Shirts Purple 8,Boys Clothing,Shirts,8,Summer,Purple,JuniorWear,8.88,15.95,SUP004,2022-03-19,44.33
P0047,TinyTrends Shirts Red 10,Boys Clothing,Shirts,10,All Season,Red,TinyTrends,19.82,37.11,SUP011,2023-07-08,46.59
P0048,MiniMode Shirts Pink 2T,Boys Clothing,Shirts,2T,Spring,Pink,MiniMode,19.62,37.44,SUP007,2023-05-13,47.6
P0049,YouthStyle Shirts Red 10,Boys Clothing,Shirts,10,Summer,Red,YouthStyle,15.04,29.25,SUP003,2023-01-24,48.58
P0050,JuniorWear Shirts Purple 2T,Boys Clothing,Shirts,2T,Winter,Purple,JuniorWear,5.99,12.84,SUP005,2023-03-10,53.35
P0051,LittleFashion Pants Green 12,Boys Clothing,Pants,12,Winter,Green,LittleFashion,7.11,13.04,SUP005,2022-08-11,45.48
P0052,PetitMode Pants Red 2T,Boys Clothing,Pants,2T,All Season,Red,PetitMode,11.77,22.37,SUP012,2022-11-18,47.38
P0053,SmallStyle Pants Purple 2T,Boys Clothing,Pants,2T,Spring,Purple,SmallStyle,20.45,41.95,SUP009,2023-06-28,51.25
P0054,PetitMode Pants Blue 4T,Boys Clothing,Pants,4T,Spring,Blue,PetitMode,14.39,25.54,SUP014,2022-07-10,43.66
P0055,TinyTrends Pants Gray 3T,Boys Clothing,Pants,3T,All Season,Gray,TinyTrends,9.02,19.55,SUP014,2022-08-29,53.86
P0056,SmallStyle Pants Green 8,Boys Clothing,Pants,8,Spring,Green,SmallStyle,10.22,21.56,SUP010,2023-09-01,52.6
P0057,TinyTrends Pants Black 2T,Boys Clothing,Pants,2T,All Season,Black,TinyTrends,24.38,42.68,SUP011,2023-08-21,42.88
P0058,BabyChic Pants Yellow 14,Boys Clothing,Pants,14,All Season,Yellow,BabyChic,19.11,32.9,SUP004,2023-11-17,41.91
P0059,JuniorWear Pants Black 7,Boys Clothing,Pants,7,Summer,Black,JuniorWear,18.41,38.52,SUP003,2023-11-19,52.21
P0060,BabyChic Pants Blue 6,Boys Clothing,Pants,6,Winter,Blue,BabyChic,22.01,41.45,SUP001,2023-04-15,46.9
P0061,TinyTrends Pants Blue 14,Boys Clothing,Pants,14,All Season,Blue,TinyTrends,22.59,38.65,SUP009,2022-08-07,41.55
P0062,LittleFashion Pants White 12,Boys Clothing,Pants,12,Fall,White,LittleFashion,10.49,22.49,SUP015,2022-03-12,53.36
P0063,JuniorWear Pants Pink 5T,Boys Clothing,Pants,5T,Fall,Pink,JuniorWear,10.03,19.52,SUP008,2023-07-11,48.62
P0064,PetitMode Pants Red 6,Boys Clothing,Pants,6,All Season,Red,PetitMode,22.58,38.99,SUP011,2023-07-22,42.09
P0065,LittleFashion Pants Yellow 6,Boys Clothing,Pants,6,Spring,Yellow,LittleFashion,6.44,12.23,SUP002,2022-04-20,47.34
P0066,JuniorWear Pants Yellow 12,Boys Clothing,Pants,12,Summer,Yellow,JuniorWear,12.46,25.77,SUP010,2022-08-04,51.65
P0067,JuniorWear Pants Orange 7,Boys Clothing,Pants,7,Summer,Orange,JuniorWear,7.99,15.96,SUP008,2022-09-15,49.94
P0068,YouthStyle Pants Yellow 2T,Boys Clothing,Pants,2T,Spring,Yellow,YouthStyle,21.49,43.12,SUP001,2022-01-04,50.16
P0069,JuniorWear Pants Pink 7,Boys Clothing,Pants,7,Summer,Pink,JuniorWear,16.17,29.12,SUP012,2023-03-29,44.47
P0070,PetitMode Pants Red 12,Boys Clothing,Pants,12,Winter,Red,PetitMode,14.3,24.0,SUP002,2022-03-19,40.42
P0071,KidsStyle Pants White 4T,Boys Clothing,Pants,4T,All Season,White,KidsStyle,21.34,43.76,SUP010,2023-07-20,51.23
P0072,LittleFashion Pants Red 4T,Boys Clothing,Pants,4T,Winter,Red,LittleFashion,14.07,28.41,SUP005,2023-01-09,50.48
P0073,MiniMode Pants Gray 2T,Boys Clothing,Pants,2T,Fall,Gray,MiniMode,9.75,21.4,SUP004,2023-11-14,54.44
P0074,PetitMode Pants Black 3T,Boys Clothing,Pants,3T,Fall,Black,PetitMode,16.88,32.12,SUP010,2022-06-08,47.45
P0075,LittleFashion Pants Black 5T,Boys Clothing,Pants,5T,Summer,Black,LittleFashion,6.74,13.7,SUP001,2022-07-03,50.8
P0076,MiniMode Pants Yellow 7,Boys Clothing,Pants,7,Winter,Yellow,MiniMode,20.39,41.97,SUP003,2022-04-21,51.42
P0077,KiddoFashion Pants Green 8,Boys Clothing,Pants,8,Spring,Green,KiddoFashion,8.78,16.78,SUP004,2023-04-17,47.68
P0078,MiniMode Pants Green 7,Boys Clothing,Pants,7,Fall,Green,MiniMode,21.66,44.53,SUP001,2023-11-07,51.36
P0079,BabyChic Pants Yellow 5T,Boys Clothing,Pants,5T,Winter,Yellow,BabyChic,19.29,34.18,SUP014,2022-03-13,43.56
P0080,PetitMode Pants Black 6,Boys Clothing,Pants,6,Fall,Black,PetitMode,11.1,19.84,SUP011,2023-07-04,44.05
P0081,TinyTrends Pants Yellow 7,Boys Clothing,Pants,7,Spring,Yellow,TinyTrends,13.15,24.14,SUP003,2023-08-18,45.53
P0082,TinyTrends Pants Navy 6,Boys Clothing,Pants,6,Spring,Navy,TinyTrends,17.45,32.91,SUP007,2022-12-20,46.98
P0083,SmallStyle Pants Orange 7,Boys Clothing,Pants,7,Winter,Orange,SmallStyle,8.62,14.98,SUP002,2023-01-30,42.46
P0084,JuniorWear Pants Red 14,Boys Clothing,Pants,14,Summer,Red,JuniorWear,10.8,22.59,SUP012,2023-03-23,52.19
P0085,PetitMode Pants Gray 2T,Boys Clothing,Pants,2T,All Season,Gray,PetitMode,7.19,13.35,SUP012,2023-11-18,46.14
P0086,YouthStyle Pants Blue 5T,Boys Clothing,Pants,5T,Fall,Blue,YouthStyle,15.55,34.36,SUP011,2022-12-05,54.74
P0087,TinyTrends Pants Beige 14,Boys Clothing,Pants,14,Fall,Beige,TinyTrends,13.99,28.9,SUP015,2022-11-04,51.59
P0088,YouthStyle Pants White 12,Boys Clothing,Pants,12,Fall,White,YouthStyle,15.85,33.29,SUP007,2022-10-30,52.39
P0089,MiniMode Pants Black 12,Boys Clothing,Pants,12,Summer,Black,MiniMode,17.68,34.8,SUP011,2023-01-24,49.2
P0090,SmallStyle Pants Yellow 4T,Boys Clothing,Pants,4T,All Season,Yellow,SmallStyle,20.19,42.91,SUP007,2023-07-16,52.95
P0091,JuniorWear Pants Green 2T,Boys Clothing,Pants,2T,Fall,Green,JuniorWear,10.86,23.26,SUP007,2023-08-17,53.31
P0092,KiddoFashion Pants Purple 14,Boys Clothing,Pants,14,Fall,Purple,KiddoFashion,24.72,42.51,SUP008,2023-11-23,41.85
P0093,KiddoFashion Pants Beige 5T,Boys Clothing,Pants,5T,All Season,Beige,KiddoFashion,11.26,20.51,SUP003,2023-11-06,45.1
P0094,PetitMode Pants Gray 3T,Boys Clothing,Pants,3T,Fall,Gray,PetitMode,20.78,38.97,SUP011,2023-09-27,46.68
P0095,MiniMode Pants Gray 7,Boys Clothing,Pants,7,Spring,Gray,MiniMode,14.34,29.48,SUP005,2022-08-19,51.36
P0096,KidsStyle Pants Red 5T,Boys Clothing,Pants,5T,Summer,Red,KidsStyle,8.81,15.07,SUP004,2023-05-02,41.54
P0097,KiddoFashion Pants Black 14,Boys Clothing,Pants,14,Spring,Black,KiddoFashion,22.73,41.71,SUP015,2023-10-07,45.5
P0098,YouthStyle Pants Purple 14,Boys Clothing,Pants,14,Summer,Purple,YouthStyle,11.65,23.19,SUP007,2022-09-07,49.76
P0099,TinyTrends Pants Black 4T,Boys Clothing,Pants,4T,Spring,Black,TinyTrends,21.02,35.96,SUP004,2022-06-30,41.55
P0100,KidsStyle Pants Orange 12,Boys Clothing,Pants,12,Winter,Orange,KidsStyle,23.4,41.27,SUP004,2022-05-05,43.3
P0101,KiddoFashion Shorts Gray 10,Boys Clothing,Shorts,10,Summer,Gray,KiddoFashion,15.35,33.19,SUP009,2023-07-27,53.75
P0102,KiddoFashion Shorts Navy 14,Boys Clothing,Shorts,14,Fall,Navy,KiddoFashion,10.13,17.33,SUP014,2023-06-01,41.55
P0103,KiddoFashion Shorts Pink 8,Boys Clothing,Shorts,8,All Season,Pink,KiddoFashion,14.45,32.01,SUP012,2023-05-02,54.86
P0104,MiniMode Shorts Gray 10,Boys Clothing,Shorts,10,Fall,Gray,MiniMode,8.44,15.35,SUP005,2023-06-18,45.02
P0105,JuniorWear Shorts Purple 10,Boys Clothing,Shorts,10,Summer,Purple,JuniorWear,5.77,12.17,SUP002,2022-10-20,52.59
P0106,BabyChic Shorts White 5T,Boys Clothing,Shorts,5T,Fall,White,BabyChic,16.67,30.11,SUP015,2023-07-08,44.64
P0107,LittleFashion Shorts Green 3T,Boys Clothing,Shorts,3T,Summer,Green,LittleFashion,16.21,33.51,SUP007,2022-06-06,51.63
P0108,YouthStyle Shorts Black 5T,Boys Clothing,Shorts,5T,Spring,Black,YouthStyle,17.24,35.5,SUP006,2023-07-10,51.44
P0109,KidsStyle Shorts Green 10,Boys Clothing,Shorts,10,Winter,Green,KidsStyle,12.78,22.74,SUP014,2023-03-07,43.8
P0110,KidsStyle Shorts Navy 8,Boys Clothing,Shorts,8,All Season,Navy,KidsStyle,19.31,33.44,SUP007,2023-05-04,42.25
P0111,JuniorWear Shorts Black 2T,Boys Clothing,Shorts,2T,Fall,Black,JuniorWear,18.04,33.7,SUP014,2023-03-06,46.47
P0112,SmallStyle Shorts Green 12,Boys Clothing,Shorts,12,All Season,Green,SmallStyle,7.62,15.09,SUP008,2022-08-13,49.5
P0113,KiddoFashion Shorts Red 6,Boys Clothing,Shorts,6,Winter,Red,KiddoFashion,10.1,20.75,SUP007,2022-12-11,51.33
P0114,KiddoFashion Shorts Pink 8,Boys Clothing,Shorts,8,Summer,Pink,KiddoFashion,22.45,44.11,SUP010,2023-07-01,49.1
P0115,SmallStyle Shorts Navy 2T,Boys Clothing,Shorts,2T,Winter,Navy,SmallStyle,22.57,41.44,SUP011,2022-01-28,45.54
P0116,LittleFashion Shorts Purple 3T,Boys Clothing,Shorts,3T,Winter,Purple,LittleFashion,20.09,38.23,SUP003,2022-02-21,47.45
P0117,BabyChic Shorts Green 6,Boys Clothing,Shorts,6,Winter,Green,BabyChic,16.26,31.04,SUP008,2022-12-01,47.62
P0118,JuniorWear Shorts Black 7,Boys Clothing,Shorts,7,Winter,Black,JuniorWear,10.3,18.44,SUP005,2022-03-25,44.14
P0119,PetitMode Shorts Red 10,Boys Clothing,Shorts,10,Spring,Red,PetitMode,9.65,21.27,SUP006,2022-08-18,54.63
P0120,KidsStyle Shorts Green 3T,Boys Clothing,Shorts,3T,Spring,Green,KidsStyle,15.87,33.3,SUP004,2022-01-21,52.34
P0121,MiniMode Shorts Pink 14,Boys Clothing,Shorts,14,Summer,Pink,MiniMode,25.53,43.04,SUP008,2023-11-17,40.68
P0122,MiniMode Shorts Purple 3T,Boys Clothing,Shorts,3T,All Season,Purple,MiniMode,21.33,42.19,SUP012,2022-09-20,49.44
P0123,SmallStyle Shorts Navy 7,Boys Clothing,Shorts,7,Summer,Navy,SmallStyle,7.37,12.51,SUP012,2022-04-28,41.09
P0124,TinyTrends Shorts Navy 4T,Boys Clothing,Shorts,4T,Fall,Navy,TinyTrends,15.55,26.13,SUP001,2022-11-16,40.49
P0125,YouthStyle Shorts Beige 14,Boys Clothing,Shorts,14,Winter,Beige,YouthStyle,25.31,43.8,SUP004,2022-03-19,42.21
P0126,TinyTrends Shorts Beige 14,Boys Clothing,Shorts,14,Summer,Beige,TinyTrends,11.03,21.72,SUP013,2022-11-05,49.22
P0127,SmallStyle Shorts Red 14,Boys Clothing,Shorts,14,Spring,Red,SmallStyle,19.95,40.09,SUP006,2023-06-30,50.24
P0128,TinyTrends Shorts Orange 8,Boys Clothing,Shorts,8,Fall,Orange,TinyTrends,9.38,17.59,SUP011,2022-12-16,46.67
P0129,KiddoFashion Shorts Blue 2T,Boys Clothing,Shorts,2T,Winter,Blue,KiddoFashion,23.78,42.89,SUP007,2023-01-06,44.56
P0130,YouthStyle Shorts Pink 10,Boys Clothing,Shorts,10,Summer,Pink,YouthStyle,14.31,30.81,SUP012,2023-06-19,53.55
P0131,PetitMode Shorts Purple 6,Boys Clothing,Shorts,6,All Season,Purple,PetitMode,19.33,32.3,SUP008,2023-03-23,40.15
P0132,BabyChic Shorts Green 14,Boys Clothing,Shorts,14,Fall,Green,BabyChic,8.77,16.62,SUP014,2022-03-30,47.23
P0133,MiniMode Shorts Purple 6,Boys Clothing,Shorts,6,Winter,Purple,MiniMode,22.98,40.95,SUP010,2023-09-17,43.88
P0134,KidsStyle Shorts Purple 8,Boys Clothing,Shorts,8,Fall,Purple,KidsStyle,19.44,35.0,SUP014,2022-11-29,44.46
P0135,MiniMode Shorts White 4T,Boys Clothing,Shorts,4T,Winter,White,MiniMode,11.79,23.86,SUP013,2022-09-22,50.59
P0136,SmallStyle Shorts Beige 7,Boys Clothing,Shorts,7,Fall,Beige,SmallStyle,22.12,38.71,SUP015,2022-10-10,42.86
P0137,PetitMode Shorts Green 12,Boys Clothing,Shorts,12,Spring,Green,PetitMode,23.84,40.61,SUP002,2022-09-05,41.3
P0138,PetitMode Shorts Green 8,Boys Clothing,Shorts,8,Winter,Green,PetitMode,15.16,28.87,SUP012,2023-05-03,47.49
P0139,KidsStyle Shorts Blue 10,Boys Clothing,Shorts,10,Winter,Blue,KidsStyle,20.99,38.34,SUP005,2022-08-15,45.25
P0140,JuniorWear Shorts Gray 8,Boys Clothing,Shorts,8,Summer,Gray,JuniorWear,20.02,35.16,SUP010,2023-01-13,43.06
P0141,PetitMode Shorts White 10,Boys Clothing,Shorts,10,All Season,White,PetitMode,20.71,41.37,SUP007,2023-07-18,49.94
P0142,KiddoFashion Shorts Yellow 7,Boys Clothing,Shorts,7,Fall,Yellow,KiddoFashion,11.32,24.39,SUP005,2022-09-15,53.59
P0143,MiniMode Shorts White 5T,Boys Clothing,Shorts,5T,Spring,White,MiniMode,14.15,31.08,SUP002,2023-07-03,54.47
P0144,MiniMode Shorts Beige 4T,Boys Clothing,Shorts,4T,Summer,Beige,MiniMode,14.54,27.36,SUP008,2022-10-11,46.86
P0145,SmallStyle Shorts Yellow 14,Boys Clothing,Shorts,14,All Season,Yellow,SmallStyle,11.56,21.46,SUP002,2022-07-18,46.13
P0146,BabyChic Shorts Pink 6,Boys Clothing,Shorts,6,Summer,Pink,BabyChic,5.93,13.01,SUP005,2022-01-15,54.42
P0147,JuniorWear Shorts Red 12,Boys Clothing,Shorts,12,Summer,Red,JuniorWear,19.73,39.15,SUP001,2023-07-21,49.6
P0148,KiddoFashion Shorts Blue 6,Boys Clothing,Shorts,6,Summer,Blue,KiddoFashion,8.55,16.19,SUP014,2022-01-13,47.19
P0149,KiddoFashion Shorts Purple 14,Boys Clothing,Shorts,14,Fall,Purple,KiddoFashion,18.05,37.41,SUP008,2022-12-15,51.75
P0150,JuniorWear Shorts Purple 4T,Boys Clothing,Shorts,4T,Spring,Purple,JuniorWear,15.07,32.56,SUP002,2022-03-08,53.72
P0151,TinyTrends Jackets Navy 8,Boys Clothing,Jackets,8,Winter,Navy,TinyTrends,7.26,13.71,SUP011,2022-02-24,47.05
P0152,SmallStyle Jackets Yellow 4T,Boys Clothing,Jackets,4T,Summer,Yellow,SmallStyle,16.28,29.84,SUP002,2022-09-12,45.44
P0153,YouthStyle Jackets Navy 3T,Boys Clothing,Jackets,3T,All Season,Navy,YouthStyle,21.45,35.96,SUP010,2023-09-26,40.35
P0154,YouthStyle Jackets Purple 5T,Boys Clothing,Jackets,5T,All Season,Purple,YouthStyle,14.47,29.04,SUP015,2023-03-30,50.17
P0155,YouthStyle Jackets Yellow 6,Boys Clothing,Jackets,6,All Season,Yellow,YouthStyle,18.76,38.24,SUP010,2023-09-28,50.94
P0156,TinyTrends Jackets Green 2T,Boys Clothing,Jackets,2T,All Season,Green,TinyTrends,12.23,26.49,SUP011,2022-08-05,53.83
P0157,LittleFashion Jackets Green 6,Boys Clothing,Jackets,6,Spring,Green,LittleFashion,7.63,12.84,SUP003,2023-07-20,40.58
P0158,KidsStyle Jackets Black 3T,Boys Clothing,Jackets,3T,Summer,Black,KidsStyle,21.95,39.59,SUP008,2023-09-01,44.56
P0159,KidsStyle Jackets Green 10,Boys Clothing,Jackets,10,Fall,Green,KidsStyle,12.14,25.5,SUP005,2022-10-17,52.39
P0160,MiniMode Jackets Yellow 10,Boys Clothing,Jackets,10,Spring,Yellow,MiniMode,8.37,17.16,SUP013,2023-10-03,51.22
P0161,YouthStyle Jackets Blue 14,Boys Clothing,Jackets,14,Summer,Blue,YouthStyle,16.78,30.12,SUP009,2022-08-19,44.29
P0162,LittleFashion Jackets Blue 4T,Boys Clothing,Jackets,4T,Fall,Blue,LittleFashion,16.62,33.79,SUP001,2022-06-19,50.81
P0163,SmallStyle Jackets Yellow 6,Boys Clothing,Jackets,6,All Season,Yellow,SmallStyle,24.4,43.51,SUP008,2022-05-08,43.92
P0164,YouthStyle Jackets Yellow 10,Boys Clothing,Jackets,10,Fall,Yellow,YouthStyle,16.41,30.29,SUP009,2023-07-07,45.82
P0165,TinyTrends Jackets Navy 10,Boys Clothing,Jackets,10,Winter,Navy,TinyTrends,12.59,25.85,SUP001,2023-03-19,51.3
P0166,JuniorWear Jackets Red 7,Boys Clothing,Jackets,7,All Season,Red,JuniorWear,13.39,23.75,SUP002,2022-08-23,43.62
P0167,KidsStyle Jackets Gray 14,Boys Clothing,Jackets,14,All Season,Gray,KidsStyle,5.83,12.47,SUP014,2022-10-03,53.25
P0168,LittleFashion Jackets Purple 14,Boys Clothing,Jackets,14,Spring,Purple,LittleFashion,6.17,13.52,SUP009,2023-10-30,54.36
P0169,LittleFashion Jackets Navy 10,Boys Clothing,Jackets,10,Fall,Navy,LittleFashion,22.35,40.23,SUP007,2023-10-13,44.44
P0170,KiddoFashion Jackets White 10,Boys Clothing,Jackets,10,Spring,White,KiddoFashion,12.85,27.65,SUP007,2022-12-08,53.53
P0171,LittleFashion Jackets White 7,Boys Clothing,Jackets,7,Spring,White,LittleFashion,14.7,28.22,SUP007,2023-05-23,47.91
P0172,PetitMode Jackets Red 6,Boys Clothing,Jackets,6,Winter,Red,PetitMode,9.13,17.72,SUP008,2022-04-01,48.48
P0173,BabyChic Jackets Blue 7,Boys Clothing,Jackets,7,Fall,Blue,BabyChic,13.64,25.15,SUP013,2023-02-18,45.77
P0174,PetitMode Jackets Purple 12,Boys Clothing,Jackets,12,Spring,Purple,PetitMode,15.06,32.96,SUP007,2022-02-25,54.31
P0175,BabyChic Jackets Navy 5T,Boys Clothing,Jackets,5T,All Season,Navy,BabyChic,13.25,24.36,SUP013,2023-05-26,45.61
P0176,MiniMode Jackets Yellow 10,Boys Clothing,Jackets,10,Spring,Yellow,MiniMode,16.54,28.6,SUP009,2022-05-15,42.17
P0177,KiddoFashion Jackets Blue 6,Boys Clothing,Jackets,6,Winter,Blue,KiddoFashion,16.01,33.74,SUP001,2023-10-08,52.55
P0178,LittleFashion Jackets Yellow 14,Boys Clothing,Jackets,14,Summer,Yellow,LittleFashion,7.83,14.33,SUP009,2022-01-15,45.36
P0179,TinyTrends Jackets Green 12,Boys Clothing,Jackets,12,Winter,Green,TinyTrends,6.92,12.87,SUP014,2022-04-27,46.23
P0180,LittleFashion Jackets Purple 10,Boys Clothing,Jackets,10,Spring,Purple,LittleFashion,23.08,43.03,SUP015,2022-10-26,46.36
P0181,YouthStyle Jackets Purple 12,Boys Clothing,Jackets,12,Fall,Purple,YouthStyle,13.56,24.81,SUP008,2022-09-07,45.34
P0182,LittleFashion Jackets Black 10,Boys Clothing,Jackets,10,All Season,Black,LittleFashion,14.42,27.12,SUP004,2023-09-06,46.83
P0183,TinyTrends Jackets Yellow 12,Boys Clothing,Jackets,12,Summer,Yellow,TinyTrends,21.88,43.07,SUP013,2023-03-01,49.2
P0184,JuniorWear Jackets Red 7,Boys Clothing,Jackets,7,All Season,Red,JuniorWear,25.61,43.72,SUP005,2022-11-02,41.42
P0185,KiddoFashion Jackets Pink 14,Boys Clothing,Jackets,14,All Season,Pink,KiddoFashion,8.5,18.46,SUP008,2023-07-06,53.95
P0186,BabyChic Jackets Orange 10,Boys Clothing,Jackets,10,Fall,Orange,BabyChic,6.94,15.33,SUP013,2023-07-11,54.73
P0187,BabyChic Jackets Green 8,Boys Clothing,Jackets,8,Winter,Green,BabyChic,8.35,15.12,SUP012,2022-09-02,44.78
P0188,MiniMode Jackets Black 14,Boys Clothing,Jackets,14,Winter,Black,MiniMode,7.14,14.35,SUP001,2022-11-22,50.24
P0189,YouthStyle Jackets Gray 10,Boys Clothing,Jackets,10,Winter,Gray,YouthStyle,18.09,39.88,SUP013,2023-10-30,54.64
P0190,KidsStyle Jackets Pink 4T,Boys Clothing,Jackets,4T,Winter,Pink,KidsStyle,19.14,38.88,SUP009,2023-08-28,50.77
