CustomerID,Segment,Age,IncomeLevel,JoinDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment
C000031,Value-Conscious,18,Medium,2023-12-03,199.0,9.0,10621.68,1,3,2,132,6.0,At Risk
C000032,Casual Shopper,20,Medium-Low,2023-12-22,93.0,4.0,8548.92,2,1,1,211,4.0,Lost Customers
C000033,Value-Conscious,33,Medium,2023-05-17,108.0,9.0,5318.73,2,3,1,231,6.0,At Risk
C000034,Fitness Enthusiast,25,Medium-High,2023-01-15,100.0,5.0,7251.0199999999995,2,1,1,211,4.0,Lost Customers
C000035,Fitness Enthusiast,62,Medium-High,2023-04-03,24.0,6.0,13276.5,4,1,3,413,8.0,Potential Loyalists
C000036,Value-Conscious,27,Medium,2023-05-20,160.0,5.0,6872.08,1,1,1,111,3.0,Lost Customers
C000037,Fitness Enthusiast,49,Medium-High,2023-12-26,249.0,8.0,13332.230000000001,1,3,3,133,7.0,Potential Loyalists
C000038,Trendy,54,Medium-High,2023-06-08,5.0,3.0,8072.9,5,1,1,511,7.0,Potential Loyalists
C000039,Value-Conscious,28,Medium,2023-06-23,102.0,3.0,1931.81,2,1,1,211,4.0,Lost Customers
C000040,Value-Conscious,27,Medium,2023-06-29,12.0,8.0,9444.369999999999,5,3,2,532,10.0,Loyal Customers
C000041,Casual Shopper,29,Medium-Low,2023-01-04,143.0,9.0,22303.309999999998,1,3,4,134,8.0,Potential Loyalists
C000042,Fitness Enthusiast,32,Medium-High,2023-04-03,159.0,7.0,15136.02,1,2,3,123,6.0,At Risk
C000043,Fitness Enthusiast,30,Medium-High,2023-03-15,173.0,6.0,15421.56,1,1,3,113,5.0,At Risk
C000044,Casual Shopper,20,Medium-Low,2023-10-17,132.0,6.0,9371.039999999999,2,1,2,212,5.0,At Risk
C000045,Casual Shopper,39,Medium-Low,2023-12-03,67.0,8.0,14962.72,3,3,3,333,9.0,Potential Loyalists
C000046,Value-Conscious,30,Medium,2023-07-25,454.0,2.0,884.74,1,1,1,111,3.0,Lost Customers
C000047,Value-Conscious,63,Medium,2023-02-05,53.0,12.0,12627.93,3,5,2,352,10.0,Loyal Customers
C000048,Trendy,46,Medium-High,2023-03-14,146.0,9.0,15894.66,1,3,3,133,7.0,Potential Loyalists
C000049,Premium,30,High,2023-11-21,29.0,18.0,61906.08,4,5,5,455,14.0,Champions
C000050,Premium,42,High,2023-01-16,72.0,9.0,28167.53,3,3,5,335,11.0,Loyal Customers
C000051,Fitness Enthusiast,41,Medium-High,2023-02-16,80.0,7.0,13538.2,3,2,3,323,8.0,Potential Loyalists
C000052,Trendy,48,Medium-High,2023-09-29,40.0,8.0,21147.23,4,3,4,434,11.0,Loyal Customers
C000053,Premium,18,High,2023-04-21,82.0,4.0,20266.059999999998,2,1,4,214,7.0,Potential Loyalists
C000054,Value-Conscious,19,Medium,2023-07-12,27.0,11.0,10073.539999999999,4,4,2,442,10.0,Loyal Customers
C000055,Casual Shopper,24,Medium-Low,2023-08-03,95.0,7.0,18913.14,2,2,4,224,8.0,Potential Loyalists
C000056,Value-Conscious,34,Medium,2023-08-21,39.0,4.0,3369.25,4,1,1,411,6.0,Recent Customers
C000057,Casual Shopper,18,Medium-Low,2023-06-24,20.0,6.0,13279.98,5,1,3,513,9.0,Potential Loyalists
C000058,Trendy,24,Medium-High,2023-03-22,60.0,10.0,14164.48,3,4,3,343,10.0,Loyal Customers
C000059,Casual Shopper,50,Medium-Low,2023-07-09,161.0,9.0,21826.55,1,3,4,134,8.0,Potential Loyalists
C000060,Trendy,21,Medium-High,2023-06-09,89.0,10.0,15460.55,2,4,3,243,9.0,Potential Loyalists
C000061,Value-Conscious,37,Medium,2023-06-16,1.0,9.0,10820.34,5,3,2,532,10.0,Loyal Customers
C000062,Casual Shopper,38,Medium-Low,2023-10-18,43.0,9.0,16393.43,4,3,3,433,10.0,Loyal Customers
C000063,Fitness Enthusiast,39,Medium-High,2023-11-02,81.0,7.0,14327.83,2,2,3,223,7.0,Potential Loyalists
C000064,Casual Shopper,43,Medium-Low,2023-02-13,48.0,14.0,22525.32,3,5,4,354,12.0,Loyal Customers
C000065,Casual Shopper,47,Medium-Low,2023-01-27,196.0,1.0,4347.4,1,1,1,111,3.0,Lost Customers
C000066,Casual Shopper,53,Medium-Low,2023-03-21,180.0,10.0,27143.75,1,4,5,145,10.0,Loyal Customers
C000067,Value-Conscious,30,Medium,2023-03-22,142.0,6.0,4740.84,1,1,1,111,3.0,Lost Customers
C000068,Casual Shopper,24,Medium-Low,2023-11-13,235.0,5.0,9564.11,1,1,2,112,4.0,Lost Customers
C000069,Value-Conscious,40,Medium,2023-01-26,14.0,13.0,11902.44,5,5,2,552,12.0,Loyal Customers
C000070,Trendy,39,Medium-High,2023-12-12,55.0,16.0,32342.05,3,5,5,355,13.0,Champions
C000071,Premium,44,High,2023-02-11,27.0,6.0,24567.5,4,1,5,415,10.0,Loyal Customers
C000072,Fitness Enthusiast,18,Medium-High,2023-05-20,365.0,5.0,9300.32,1,1,2,112,4.0,Lost Customers
C000073,Casual Shopper,44,Medium-Low,2023-08-15,129.0,8.0,21087.65,2,3,4,234,9.0,Potential Loyalists
C000074,Trendy,18,Medium-High,2023-12-05,138.0,4.0,8611.45,2,1,1,211,4.0,Lost Customers
C000075,Casual Shopper,38,Medium-Low,2023-08-06,12.0,13.0,18907.489999999998,5,5,4,554,14.0,Champions
C000076,Trendy,30,Medium-High,2023-09-06,19.0,12.0,25872.79,5,5,5,555,15.0,Champions
C000077,Fitness Enthusiast,49,Medium-High,2023-11-07,98.0,6.0,16127.06,2,1,3,213,6.0,At Risk
C000078,Fitness Enthusiast,18,Medium-High,2023-08-15,98.0,14.0,25597.28,2,5,5,255,12.0,Loyal Customers
C000079,Premium,37,High,2023-08-01,24.0,11.0,42585.74,4,4,5,445,13.0,Champions
C000080,Premium,39,High,2023-05-20,61.0,7.0,32200.89,3,2,5,325,10.0,Loyal Customers
C000081,Value-Conscious,30,Medium,2023-04-21,2.0,12.0,11066.51,5,5,2,552,12.0,Loyal Customers
C000082,Trendy,37,Medium-High,2023-09-20,29.0,11.0,21659.19,4,4,4,444,12.0,Loyal Customers
C000083,Value-Conscious,29,Medium,2023-02-28,59.0,11.0,10165.56,3,4,2,342,9.0,Potential Loyalists
C000084,Fitness Enthusiast,36,Medium-High,2023-06-26,44.0,9.0,21597.67,4,3,4,434,11.0,Loyal Customers
C000085,Fitness Enthusiast,39,Medium-High,2023-08-09,37.0,8.0,13197.65,4,3,3,433,10.0,Loyal Customers
C000086,Premium,28,High,2023-02-26,101.0,9.0,27483.71,2,3,5,235,10.0,Loyal Customers
C000087,Premium,33,High,2023-05-26,39.0,6.0,22174.15,4,1,4,414,9.0,Potential Loyalists
C000088,Casual Shopper,18,Medium-Low,2023-12-14,13.0,3.0,10550.01,5,1,2,512,8.0,Potential Loyalists
C000089,Casual Shopper,18,Medium-Low,2023-12-14,216.0,6.0,12942.0,1,1,3,113,5.0,At Risk
C000090,Fitness Enthusiast,30,Medium-High,2023-10-31,59.0,8.0,23515.87,3,3,4,334,10.0,Loyal Customers
C000091,Trendy,20,Medium-High,2023-09-07,46.0,10.0,18717.71,3,4,4,344,11.0,Loyal Customers
C000092,Casual Shopper,32,Medium-Low,2023-09-27,39.0,7.0,19016.63,4,2,4,424,10.0,Loyal Customers
C000093,Casual Shopper,48,Medium-Low,2023-12-08,64.0,5.0,10606.33,3,1,2,312,6.0,Recent Customers
C000094,Value-Conscious,50,Medium,2023-06-07,12.0,14.0,17100.62,5,5,3,553,13.0,Champions
C000095,Fitness Enthusiast,32,Medium-High,2023-01-24,83.0,8.0,26411.04,2,3,5,235,10.0,Loyal Customers
C000096,Fitness Enthusiast,21,Medium-High,2023-04-23,434.0,3.0,4298.83,1,1,1,111,3.0,Lost Customers
C000097,Trendy,20,Medium-High,2023-07-22,27.0,7.0,12728.36,4,2,3,423,9.0,Potential Loyalists
C000098,Value-Conscious,54,Medium,2023-11-03,33.0,13.0,14211.83,4,5,3,453,12.0,Loyal Customers
C000099,Fitness Enthusiast,45,Medium-High,2023-01-29,215.0,4.0,7956.820000000001,1,1,1,111,3.0,Lost Customers
C000100,Value-Conscious,32,Medium,2023-01-04,14.0,4.0,5502.21,5,1,1,511,7.0,Potential Loyalists
C000101,Value-Conscious,35,Medium,2023-04-15,41.0,12.0,14680.25,4,5,3,453,12.0,Loyal Customers
C000102,Value-Conscious,32,Medium,2023-06-04,88.0,7.0,5151.39,2,2,1,221,5.0,At Risk
C000103,Fitness Enthusiast,41,Medium-High,2023-04-19,13.0,7.0,10914.119999999999,5,2,2,522,9.0,Potential Loyalists
C000104,Value-Conscious,34,Medium,2023-03-12,227.0,3.0,3756.29,1,1,1,111,3.0,Lost Customers
C000105,Fitness Enthusiast,43,Medium-High,2023-05-11,64.0,5.0,11664.04,3,1,2,312,6.0,Recent Customers
C000106,Casual Shopper,43,Medium-Low,2023-05-29,224.0,8.0,14521.35,1,3,3,133,7.0,Potential Loyalists
C000107,Casual Shopper,23,Medium-Low,2023-06-17,119.0,6.0,12537.97,2,1,2,212,5.0,At Risk
C000108,Premium,38,High,2023-03-03,64.0,13.0,50943.69,3,5,5,355,13.0,Champions
C000109,Fitness Enthusiast,49,Medium-High,2023-01-04,587.0,4.0,4973.57,1,1,1,111,3.0,Lost Customers
C000110,Trendy,40,Medium-High,2023-09-12,48.0,5.0,7682.04,3,1,1,311,5.0,Recent Customers
C000111,Premium,39,High,2023-08-09,55.0,13.0,38363.11,3,5,5,355,13.0,Champions
C000112,Trendy,25,Medium-High,2023-03-31,60.0,9.0,19790.899999999998,3,3,4,334,10.0,Loyal Customers
C000113,Value-Conscious,26,Medium,2023-03-08,380.0,5.0,2888.75,1,1,1,111,3.0,Lost Customers
C000114,Trendy,34,Medium-High,2023-07-14,49.0,13.0,20191.260000000002,3,5,4,354,12.0,Loyal Customers
C000115,Value-Conscious,27,Medium,2023-09-30,42.0,14.0,12671.51,4,5,2,452,11.0,Loyal Customers
C000116,Trendy,46,Medium-High,2023-12-27,136.0,2.0,6217.5199999999995,2,1,1,211,4.0,Lost Customers
C000117,Premium,32,High,2023-04-28,28.0,12.0,45927.43,4,5,5,455,14.0,Champions
C000118,Trendy,26,Medium-High,2023-09-14,49.0,9.0,13834.630000000001,3,3,3,333,9.0,Potential Loyalists
C000119,Casual Shopper,47,Medium-Low,2023-10-14,27.0,12.0,29512.27,4,5,5,455,14.0,Champions
C000120,Fitness Enthusiast,21,Medium-High,2023-12-09,159.0,12.0,21043.3,1,5,4,154,10.0,Loyal Customers
C000121,Casual Shopper,34,Medium-Low,2023-07-01,55.0,7.0,21559.059999999998,3,2,4,324,9.0,Potential Loyalists
C000122,Premium,28,High,2023-02-06,59.0,8.0,26277.14,3,3,5,335,11.0,Loyal Customers
C000123,Value-Conscious,63,Medium,2023-07-23,555.0,2.0,2340.01,1,1,1,111,3.0,Lost Customers
C000124,Casual Shopper,34,Medium-Low,2023-01-22,91.0,11.0,30856.6,2,4,5,245,11.0,Loyal Customers
C000125,Trendy,24,Medium-High,2023-08-12,18.0,12.0,20994.11,5,5,4,554,14.0,Champions
C000126,Value-Conscious,35,Medium,2023-01-10,28.0,4.0,5678.15,4,1,1,411,6.0,Recent Customers
C000127,Premium,32,High,2023-08-24,40.0,10.0,38305.22,4,4,5,445,13.0,Champions
C000128,Premium,26,High,2023-02-09,61.0,11.0,39383.91,3,4,5,345,12.0,Loyal Customers
C000129,Trendy,46,Medium-High,2023-06-10,140.0,5.0,15255.79,1,1,3,113,5.0,At Risk
C000130,Value-Conscious,42,Medium,2023-10-22,6.0,8.0,8022.01,5,3,1,531,9.0,Potential Loyalists
C000131,Value-Conscious,38,Medium,2023-08-08,154.0,11.0,13143.94,1,4,3,143,8.0,Potential Loyalists
C000132,Casual Shopper,25,Medium-Low,2023-10-21,156.0,6.0,15238.08,1,1,3,113,5.0,At Risk
C000133,Premium,56,High,2023-07-27,104.0,6.0,14782.26,2,1,3,213,6.0,At Risk
C000134,Fitness Enthusiast,39,Medium-High,2023-12-30,185.0,7.0,17168.2,1,2,3,123,6.0,At Risk
C000135,Casual Shopper,28,Medium-Low,2023-11-24,194.0,7.0,23348.71,1,2,4,124,7.0,Potential Loyalists
C000136,Casual Shopper,48,Medium-Low,2023-08-02,245.0,7.0,15089.97,1,2,3,123,6.0,At Risk
C000137,Premium,36,High,2023-05-29,18.0,8.0,33857.240000000005,5,3,5,535,13.0,Champions
C000138,Casual Shopper,46,Medium-Low,2023-02-28,154.0,8.0,16165.4,1,3,3,133,7.0,Potential Loyalists
C000139,Trendy,39,Medium-High,2023-07-27,347.0,6.0,6682.02,1,1,1,111,3.0,Lost Customers
C000140,Casual Shopper,61,Medium-Low,2023-01-11,81.0,7.0,10631.99,2,2,2,222,6.0,At Risk
C000141,Premium,22,High,2023-06-16,152.0,8.0,24246.13,1,3,4,134,8.0,Potential Loyalists
C000142,Casual Shopper,28,Medium-Low,2023-03-29,42.0,9.0,20008.8,4,3,4,434,11.0,Loyal Customers
C000143,Casual Shopper,65,Medium-Low,2023-11-13,111.0,5.0,15181.71,2,1,3,213,6.0,At Risk
C000144,Casual Shopper,33,Medium-Low,2023-08-24,57.0,9.0,21240.77,3,3,4,334,10.0,Loyal Customers
C000145,Value-Conscious,21,Medium,2023-12-20,204.0,10.0,6987.49,1,4,1,141,6.0,At Risk
C000146,Casual Shopper,41,Medium-Low,2023-07-05,76.0,7.0,9670.59,3,2,2,322,7.0,Potential Loyalists
C000147,Premium,48,High,2023-02-15,100.0,10.0,32563.9,2,4,5,245,11.0,Loyal Customers
C000148,Casual Shopper,33,Medium-Low,2023-08-12,85.0,9.0,27051.8,2,3,5,235,10.0,Loyal Customers
C000149,Casual Shopper,18,Medium-Low,2023-02-24,73.0,4.0,13573.16,3,1,3,313,7.0,Potential Loyalists
C000150,Value-Conscious,24,Medium,2023-05-05,76.0,9.0,10045.26,3,3,2,332,8.0,Potential Loyalists
C000151,Fitness Enthusiast,18,Medium-High,2023-08-12,39.0,10.0,13956.26,4,4,3,443,11.0,Loyal Customers
C000152,Casual Shopper,59,Medium-Low,2023-10-29,21.0,9.0,14895.5,5,3,3,533,11.0,Loyal Customers
C000153,Trendy,18,Medium-High,2023-07-25,20.0,12.0,14390.73,5,5,3,553,13.0,Champions
C000154,Trendy,28,Medium-High,2023-09-26,49.0,6.0,9989.65,3,1,2,312,6.0,Recent Customers
C000155,Fitness Enthusiast,41,Medium-High,2023-02-10,105.0,10.0,11921.73,2,4,2,242,8.0,Potential Loyalists
C000156,Casual Shopper,19,Medium-Low,2023-07-22,49.0,11.0,31528.31,3,4,5,345,12.0,Loyal Customers
C000157,Casual Shopper,39,Medium-Low,2023-06-08,69.0,5.0,13578.82,3,1,3,313,7.0,Potential Loyalists
C000158,Fitness Enthusiast,26,Medium-High,2023-06-23,25.0,13.0,24854.21,4,5,5,455,14.0,Champions
C000159,Value-Conscious,38,Medium,2023-04-24,285.0,8.0,7931.55,1,3,1,131,5.0,At Risk
C000160,Trendy,31,Medium-High,2023-06-20,295.0,11.0,16788.84,1,4,3,143,8.0,Potential Loyalists
C000161,Value-Conscious,33,Medium,2023-03-28,70.0,11.0,9365.2,3,4,2,342,9.0,Potential Loyalists
C000162,Trendy,47,Medium-High,2023-02-09,176.0,6.0,11143.79,1,1,2,112,4.0,Lost Customers
C000163,Value-Conscious,21,Medium,2023-09-19,9.0,14.0,19922.64,5,5,4,554,14.0,Champions
C000164,Value-Conscious,38,Medium,2023-11-21,33.0,14.0,17565.87,4,5,4,454,13.0,Champions
C000165,Fitness Enthusiast,44,Medium-High,2023-02-28,4.0,8.0,13237.53,5,3,3,533,11.0,Loyal Customers
C000166,Value-Conscious,20,Medium,2023-09-29,8.0,9.0,8114.639999999999,5,3,1,531,9.0,Potential Loyalists
C000167,Casual Shopper,18,Medium-Low,2023-09-19,12.0,8.0,31344.2,5,3,5,535,13.0,Champions
C000168,Premium,31,High,2023-04-10,144.0,12.0,43194.75,1,5,5,155,11.0,Loyal Customers
C000169,Value-Conscious,18,Medium,2023-06-28,91.0,13.0,11087.59,2,5,2,252,9.0,Potential Loyalists
C000170,Casual Shopper,38,Medium-Low,2023-06-29,85.0,7.0,21578.73,2,2,4,224,8.0,Potential Loyalists
C000171,Trendy,42,Medium-High,2023-11-27,3.0,8.0,15594.64,5,3,3,533,11.0,Loyal Customers
C000172,Casual Shopper,18,Medium-Low,2023-03-17,10.0,7.0,20409.47,5,2,4,524,11.0,Loyal Customers
C000173,Value-Conscious,45,Medium,2023-05-01,73.0,5.0,7141.28,3,1,1,311,5.0,Recent Customers
C000174,Trendy,49,Medium-High,2023-02-22,8.0,5.0,15333.84,5,1,3,513,9.0,Potential Loyalists
C000175,Casual Shopper,39,Medium-Low,2023-03-16,60.0,10.0,24144.41,3,4,4,344,11.0,Loyal Customers
C000176,Fitness Enthusiast,50,Medium-High,2023-05-12,56.0,8.0,9882.99,3,3,2,332,8.0,Potential Loyalists
C000177,Value-Conscious,31,Medium,2023-04-12,6.0,9.0,8065.12,5,3,1,531,9.0,Potential Loyalists
C000178,Premium,28,High,2023-03-30,157.0,7.0,19907.66,1,2,4,124,7.0,Potential Loyalists
C000179,Trendy,33,Medium-High,2023-11-05,13.0,9.0,24846.74,5,3,5,535,13.0,Champions
C000180,Fitness Enthusiast,22,Medium-High,2023-03-20,110.0,11.0,28744.07,2,4,5,245,11.0,Loyal Customers
C000181,Value-Conscious,27,Medium,2023-12-02,53.0,8.0,8234.86,3,3,1,331,7.0,Potential Loyalists
C000182,Premium,35,High,2023-02-08,13.0,7.0,23774.8,5,2,4,524,11.0,Loyal Customers
C000183,Fitness Enthusiast,36,Medium-High,2023-04-01,62.0,10.0,27911.42,3,4,5,345,12.0,Loyal Customers
C000184,Fitness Enthusiast,40,Medium-High,2023-11-18,162.0,8.0,12479.86,1,3,2,132,6.0,At Risk
C000185,Trendy,18,Medium-High,2023-09-10,35.0,7.0,17934.69,4,2,4,424,10.0,Loyal Customers
C000186,Casual Shopper,65,Medium-Low,2023-08-26,100.0,10.0,23416.239999999998,2,4,4,244,10.0,Loyal Customers
C000187,Premium,23,High,2023-10-16,36.0,6.0,16472.95,4,1,3,413,8.0,Potential Loyalists
C000188,Casual Shopper,42,Medium-Low,2023-10-24,28.0,10.0,29085.53,4,4,5,445,13.0,Champions
C000189,Fitness Enthusiast,38,Medium-High,2023-08-18,179.0,9.0,15101.66,1,3,3,133,7.0,Potential Loyalists
C000190,Trendy,27,Medium-High,2023-12-15,109.0,10.0,19398.97,2,4,4,244,10.0,Loyal Customers
C000191,Fitness Enthusiast,41,Medium-High,2023-10-17,67.0,10.0,20523.17,3,4,4,344,11.0,Loyal Customers
C000192,Casual Shopper,23,Medium-Low,2023-11-26,12.0,10.0,21289.03,5,4,4,544,13.0,Champions
C000193,Fitness Enthusiast,34,Medium-High,2023-11-22,157.0,6.0,10825.99,1,1,2,112,4.0,Lost Customers
C000194,Casual Shopper,59,Medium-Low,2023-11-16,12.0,5.0,7961.99,5,1,1,511,7.0,Potential Loyalists
C000195,Fitness Enthusiast,29,Medium-High,2023-06-15,76.0,5.0,10204.21,3,1,2,312,6.0,Recent Customers
C000196,Fitness Enthusiast,35,Medium-High,2023-11-18,69.0,9.0,20526.35,3,3,4,334,10.0,Loyal Customers
C000197,Casual Shopper,22,Medium-Low,2023-06-11,56.0,8.0,14742.76,3,3,3,333,9.0,Potential Loyalists
C000198,Casual Shopper,43,Medium-Low,2023-03-19,33.0,7.0,18672.46,4,2,4,424,10.0,Loyal Customers
C000199,Value-Conscious,25,Medium,2023-08-14,184.0,9.0,10832.01,1,3,2,132,6.0,At Risk
C000200,Casual Shopper,38,Medium-Low,2023-02-04,36.0,11.0,21651.7,4,4,4,444,12.0,Loyal Customers
C000201,Fitness Enthusiast,47,Medium-High,2023-08-29,22.0,9.0,18808.11,4,3,4,434,11.0,Loyal Customers
C000202,Casual Shopper,31,Medium-Low,2023-08-15,114.0,5.0,15628.939999999999,2,1,3,213,6.0,At Risk
C000203,Trendy,41,Medium-High,2023-11-20,44.0,4.0,5411.2699999999995,4,1,1,411,6.0,Recent Customers
C000204,Trendy,39,Medium-High,2023-06-05,145.0,7.0,12663.37,1,2,2,122,5.0,At Risk
C000205,Value-Conscious,47,Medium,2023-05-21,74.0,8.0,9220.71,3,3,2,332,8.0,Potential Loyalists
C000206,Casual Shopper,41,Medium-Low,2023-10-30,19.0,11.0,26444.11,5,4,5,545,14.0,Champions
C000207,Casual Shopper,50,Medium-Low,2023-01-29,239.0,8.0,29835.45,1,3,5,135,9.0,Potential Loyalists
C000208,Premium,31,High,2023-06-30,335.0,2.0,4178.73,1,1,1,111,3.0,Lost Customers
C000209,Trendy,19,Medium-High,2023-09-17,189.0,9.0,27480.16,1,3,5,135,9.0,Potential Loyalists
C000210,Casual Shopper,18,Medium-Low,2023-02-07,12.0,13.0,19609.98,5,5,4,554,14.0,Champions
C000211,Value-Conscious,18,Medium,2023-06-08,54.0,14.0,19440.53,3,5,4,354,12.0,Loyal Customers
C000212,Value-Conscious,31,Medium,2023-08-25,79.0,8.0,9657.029999999999,3,3,2,332,8.0,Potential Loyalists
C000213,Value-Conscious,37,Medium,2023-08-20,46.0,6.0,5529.35,3,1,1,311,5.0,Recent Customers
C000214,Casual Shopper,26,Medium-Low,2023-01-20,33.0,10.0,20056.2,4,4,4,444,12.0,Loyal Customers
C000215,Casual Shopper,18,Medium-Low,2023-01-30,153.0,9.0,22199.91,1,3,4,134,8.0,Potential Loyalists
C000216,Fitness Enthusiast,26,Medium-High,2023-07-08,61.0,7.0,14189.21,3,2,3,323,8.0,Potential Loyalists
C000217,Trendy,29,Medium-High,2023-05-27,17.0,13.0,21360.68,5,5,4,554,14.0,Champions
C000218,Value-Conscious,34,Medium,2023-02-09,25.0,13.0,12858.29,4,5,3,453,12.0,Loyal Customers
C000219,Value-Conscious,52,Medium,2023-11-27,30.0,15.0,16516.58,4,5,3,453,12.0,Loyal Customers
C000220,Trendy,18,Medium-High,2023-02-16,56.0,6.0,6956.88,3,1,1,311,5.0,Recent Customers
C000221,Casual Shopper,43,Medium-Low,2023-11-11,91.0,8.0,26726.18,2,3,5,235,10.0,Loyal Customers
C000222,Casual Shopper,41,Medium-Low,2023-11-01,18.0,7.0,17826.29,5,2,4,524,11.0,Loyal Customers
C000223,Fitness Enthusiast,31,Medium-High,2023-09-17,101.0,8.0,15063.470000000001,2,3,3,233,8.0,Potential Loyalists
C000224,Fitness Enthusiast,39,Medium-High,2023-07-16,42.0,11.0,22010.98,4,4,4,444,12.0,Loyal Customers
C000225,Premium,32,High,2023-08-25,78.0,7.0,22558.06,3,2,4,324,9.0,Potential Loyalists
C000226,Premium,41,High,2023-10-25,55.0,6.0,20202.04,3,1,4,314,8.0,Potential Loyalists
C000227,Trendy,24,Medium-High,2023-10-11,121.0,12.0,19673.47,2,5,4,254,11.0,Loyal Customers
C000228,Value-Conscious,23,Medium,2023-01-22,52.0,8.0,9435.16,3,3,2,332,8.0,Potential Loyalists
C000229,Casual Shopper,18,Medium-Low,2023-08-19,52.0,8.0,16992.58,3,3,3,333,9.0,Potential Loyalists
C000230,Casual Shopper,39,Medium-Low,2023-10-20,27.0,10.0,27737.98,4,4,5,445,13.0,Champions
C000231,Casual Shopper,27,Medium-Low,2023-11-30,2.0,8.0,20992.37,5,3,4,534,12.0,Loyal Customers
C000232,Premium,18,High,2023-04-07,3.0,7.0,14887.68,5,2,3,523,10.0,Loyal Customers
C000233,Value-Conscious,23,Medium,2023-06-14,29.0,4.0,5699.26,4,1,1,411,6.0,Recent Customers
C000234,Trendy,41,Medium-High,2023-11-06,27.0,14.0,21566.77,4,5,4,454,13.0,Champions
C000235,Casual Shopper,36,Medium-Low,2023-09-01,8.0,7.0,20217.27,5,2,4,524,11.0,Loyal Customers
C000236,Value-Conscious,23,Medium,2023-09-14,168.0,8.0,6140.46,1,3,1,131,5.0,At Risk
