CustomerID,TotalRevenue,TotalPurchases,FirstPurchase,LastPurchase,CustomerTenure,AvgOrderValue,RFM_Segment
C000110,7682.04,5,2023-08-06,2024-11-14,466,1536.408,Recent Customers
C000111,38363.11,13,2023-03-09,2024-11-07,609,2951.0084615384617,Champions
C000112,19790.899999999998,9,2023-01-24,2024-11-02,648,2198.9888888888886,Loyal Customers
C000113,2888.75,5,2023-01-25,2023-12-18,327,577.75,Lost Customers
C000114,20191.260000000002,13,2023-01-18,2024-11-13,665,1553.1738461538464,Loyal Customers
C000115,12671.51,14,2023-03-31,2024-11-20,600,905.1078571428571,Loyal Customers
C000116,6217.5199999999995,2,2023-09-25,2024-08-18,328,3108.7599999999998,Lost Customers
C000117,45927.43,12,2023-03-07,2024-12-04,638,3827.2858333333334,Champions
C000118,13834.630000000001,9,2023-03-21,2024-11-13,603,1537.1811111111112,Potential Loyalists
C000119,29512.27,12,2023-02-03,2024-12-05,671,2459.3558333333335,Champions
C000120,21043.3,12,2023-02-16,2024-07-26,526,1753.6083333333333,Loyal Customers
C000121,21559.059999999998,7,2023-02-05,2024-11-07,641,3079.865714285714,Potential Loyalists
C000122,26277.14,8,2023-03-16,2024-11-03,598,3284.6425,Loyal Customers
C000123,2340.01,2,2023-05-06,2023-06-26,51,1170.005,Lost Customers
C000124,30856.6,11,2023-02-23,2024-10-02,587,2805.1454545454544,Loyal Customers
C000125,20994.11,12,2023-03-23,2024-12-14,632,1749.5091666666667,Champions
C000126,5678.15,4,2023-02-17,2024-12-04,656,1419.5375,Recent Customers
C000127,38305.22,10,2023-05-19,2024-11-22,553,3830.522,Champions
C000128,39383.91,11,2023-03-23,2024-11-01,589,3580.355454545455,Loyal Customers
C000129,15255.79,5,2023-02-15,2024-08-14,546,3051.1580000000004,At Risk
C000130,8022.01,8,2023-05-06,2024-12-26,600,1002.75125,Potential Loyalists
C000131,13143.94,11,2023-05-02,2024-07-31,456,1194.9036363636365,Potential Loyalists
C000132,15238.08,6,2023-07-14,2024-07-29,381,2539.68,At Risk
C000133,14782.26,6,2023-12-07,2024-09-19,287,2463.71,At Risk
C000134,17168.2,7,2023-01-03,2024-06-30,544,2452.6,At Risk
C000135,23348.71,7,2023-02-11,2024-06-21,496,3335.5299999999997,Potential Loyalists
C000136,15089.97,7,2023-01-20,2024-05-01,467,2155.71,At Risk
C000137,33857.240000000005,8,2023-03-27,2024-12-14,628,4232.155000000001,Champions
C000138,16165.4,8,2023-01-31,2024-07-31,547,2020.675,Potential Loyalists
C000139,6682.02,6,2023-01-24,2024-01-20,361,1113.67,Lost Customers
C000140,10631.99,7,2023-01-14,2024-10-12,637,1518.8557142857142,At Risk
C000141,24246.13,8,2023-06-16,2024-08-02,413,3030.76625,Potential Loyalists
C000142,20008.8,9,2023-02-14,2024-11-20,645,2223.2,Loyal Customers
C000143,15181.71,5,2023-01-05,2024-09-12,616,3036.3419999999996,At Risk
C000144,21240.77,9,2023-03-19,2024-11-05,597,2360.0855555555554,Loyal Customers
C000145,6987.49,10,2023-01-22,2024-06-11,506,698.749,At Risk
C000146,9670.59,7,2023-10-20,2024-10-17,363,1381.5128571428572,Potential Loyalists
C000147,32563.9,10,2023-01-28,2024-09-23,604,3256.3900000000003,Loyal Customers
C000148,27051.8,9,2023-03-05,2024-10-08,583,3005.7555555555555,Loyal Customers
C000149,13573.16,4,2023-01-09,2024-10-20,650,3393.29,Potential Loyalists
C000150,10045.26,9,2023-05-23,2024-10-17,513,1116.14,Potential Loyalists
C000151,13956.26,10,2023-03-23,2024-11-23,611,1395.626,Loyal Customers
C000152,14895.5,9,2023-02-18,2024-12-11,662,1655.0555555555557,Loyal Customers
C000153,14390.73,12,2023-02-02,2024-12-12,679,1199.2275,Champions
C000154,9989.65,6,2023-09-02,2024-11-13,438,1664.9416666666666,Recent Customers
C000155,11921.73,10,2023-01-24,2024-09-18,603,1192.173,Potential Loyalists
C000156,31528.31,11,2023-02-10,2024-11-13,642,2866.21,Loyal Customers
C000157,13578.82,5,2023-09-23,2024-10-24,397,2715.764,Potential Loyalists
C000158,24854.21,13,2023-01-28,2024-12-07,679,1911.8623076923077,Champions
C000159,7931.55,8,2023-01-18,2024-03-22,429,991.44375,At Risk
C000160,16788.84,11,2023-01-20,2024-03-12,417,1526.2581818181818,Potential Loyalists
C000161,9365.2,11,2023-01-02,2024-10-23,660,851.3818181818183,Potential Loyalists
C000162,11143.79,6,2023-02-20,2024-07-09,505,1857.2983333333334,Lost Customers
C000163,19922.64,14,2023-01-20,2024-12-23,703,1423.0457142857142,Champions
C000164,17565.87,14,2023-03-13,2024-11-29,627,1254.705,Champions
C000165,13237.53,8,2023-01-15,2024-12-28,713,1654.69125,Loyal Customers
C000166,8114.639999999999,9,2023-02-28,2024-12-24,665,901.6266666666666,Potential Loyalists
C000167,31344.2,8,2023-07-20,2024-12-20,519,3918.025,Champions
C000168,43194.75,12,2023-02-11,2024-08-10,546,3599.5625,Loyal Customers
C000169,11087.59,13,2023-02-01,2024-10-02,609,852.8915384615385,Potential Loyalists
C000170,21578.73,7,2023-01-30,2024-10-08,617,3082.675714285714,Potential Loyalists
C000171,15594.64,8,2023-02-17,2024-12-29,681,1949.33,Loyal Customers
C000172,20409.47,7,2023-03-19,2024-12-22,644,2915.6385714285716,Loyal Customers
C000173,7141.28,5,2023-06-23,2024-10-20,485,1428.2559999999999,Recent Customers
C000174,15333.84,5,2023-01-07,2024-12-24,717,3066.768,Potential Loyalists
C000175,24144.41,10,2023-01-09,2024-11-02,663,2414.441,Loyal Customers
C000176,9882.99,8,2023-07-22,2024-11-06,473,1235.37375,Potential Loyalists
C000177,8065.12,9,2023-08-20,2024-12-26,494,896.1244444444444,Potential Loyalists
C000178,19907.66,7,2023-05-23,2024-07-28,432,2843.9514285714286,Potential Loyalists
C000179,24846.74,9,2023-01-30,2024-12-19,689,2760.7488888888893,Champions
C000180,28744.07,11,2023-05-07,2024-09-13,495,2613.097272727273,Loyal Customers
C000181,8234.86,8,2023-01-21,2024-11-09,658,1029.3575,Potential Loyalists
C000182,23774.8,7,2023-04-29,2024-12-19,600,3396.4,Loyal Customers
C000183,27911.42,10,2023-01-29,2024-10-31,641,2791.142,Loyal Customers
C000184,12479.86,8,2023-01-13,2024-07-23,557,1559.9825,At Risk
C000185,17934.69,7,2023-02-25,2024-11-27,641,2562.098571428571,Loyal Customers
C000186,23416.239999999998,10,2023-11-14,2024-09-23,314,2341.624,Loyal Customers
C000187,16472.95,6,2024-01-04,2024-11-26,327,2745.491666666667,Potential Loyalists
C000188,29085.53,10,2023-01-29,2024-12-04,675,2908.553,Champions
C000189,15101.66,9,2023-01-19,2024-07-06,534,1677.9622222222222,Potential Loyalists
C000190,19398.97,10,2023-03-01,2024-09-14,563,1939.8970000000002,Loyal Customers
C000191,20523.17,10,2023-01-12,2024-10-26,653,2052.317,Loyal Customers
C000192,21289.03,10,2023-01-01,2024-12-20,719,2128.903,Champions
C000193,10825.99,6,2023-05-08,2024-07-28,447,1804.3316666666667,Lost Customers
C000194,7961.99,5,2023-07-04,2024-12-20,535,1592.398,Potential Loyalists
C000195,10204.21,5,2023-06-05,2024-10-17,500,2040.8419999999999,Recent Customers
C000196,20526.35,9,2023-02-05,2024-10-24,627,2280.7055555555553,Loyal Customers
C000197,14742.76,8,2023-08-07,2024-11-06,457,1842.845,Potential Loyalists
C000198,18672.46,7,2023-01-09,2024-11-29,690,2667.4942857142855,Loyal Customers
C000199,10832.01,9,2023-02-24,2024-07-01,493,1203.5566666666666,At Risk
C000200,21651.7,11,2023-02-24,2024-11-26,641,1968.3363636363638,Loyal Customers
C000201,18808.11,9,2023-05-30,2024-12-10,560,2089.79,Loyal Customers
C000202,15628.939999999999,5,2023-05-19,2024-09-09,479,3125.7879999999996,At Risk
C000203,5411.2699999999995,4,2023-04-20,2024-11-18,578,1352.8174999999999,Recent Customers
C000204,12663.37,7,2023-03-07,2024-08-09,521,1809.0528571428572,At Risk
C000205,9220.71,8,2023-01-15,2024-10-19,643,1152.58875,Potential Loyalists
C000206,26444.11,11,2023-03-26,2024-12-13,628,2404.01,Champions
C000207,29835.45,8,2023-02-14,2024-05-07,448,3729.43125,Potential Loyalists
C000208,4178.73,2,2023-07-20,2024-02-01,196,2089.365,Lost Customers
C000209,27480.16,9,2023-02-15,2024-06-26,497,3053.351111111111,Potential Loyalists
C000210,19609.98,13,2023-02-12,2024-12-20,677,1508.46,Champions
C000211,19440.53,14,2023-03-06,2024-11-08,613,1388.6092857142855,Loyal Customers
C000212,9657.029999999999,8,2023-02-16,2024-10-14,606,1207.1287499999999,Potential Loyalists
C000213,5529.35,6,2023-05-13,2024-11-16,553,921.5583333333334,Recent Customers
C000214,20056.2,10,2023-01-09,2024-11-29,690,2005.6200000000001,Loyal Customers
C000215,22199.91,9,2023-06-07,2024-08-01,421,2466.6566666666668,Potential Loyalists
C000216,14189.21,7,2023-08-04,2024-11-01,455,2027.03,Potential Loyalists
C000217,21360.68,13,2023-05-13,2024-12-15,582,1643.1292307692308,Champions
C000218,12858.29,13,2023-04-24,2024-12-07,593,989.0992307692309,Loyal Customers
C000219,16516.58,15,2023-03-08,2024-12-02,635,1101.1053333333334,Loyal Customers
C000220,6956.88,6,2023-03-24,2024-11-06,593,1159.48,Recent Customers
C000221,26726.18,8,2023-01-08,2024-10-02,633,3340.7725,Loyal Customers
C000222,17826.29,7,2023-02-24,2024-12-14,659,2546.612857142857,Loyal Customers
C000223,15063.470000000001,8,2023-02-13,2024-09-22,587,1882.9337500000001,Potential Loyalists
C000224,22010.98,11,2023-01-24,2024-11-20,666,2000.9981818181818,Loyal Customers
C000225,22558.06,7,2023-02-11,2024-10-15,612,3222.5800000000004,Potential Loyalists
C000226,20202.04,6,2023-06-03,2024-11-07,523,3367.0066666666667,Potential Loyalists
C000227,19673.47,12,2023-01-03,2024-09-02,608,1639.4558333333334,Loyal Customers
C000228,9435.16,8,2023-02-18,2024-11-10,631,1179.395,Potential Loyalists
C000229,16992.58,8,2023-05-30,2024-11-10,530,2124.0725,Potential Loyalists
C000230,27737.98,10,2023-01-20,2024-12-05,685,2773.798,Champions
C000231,20992.37,8,2023-02-01,2024-12-30,698,2624.04625,Loyal Customers
C000232,14887.68,7,2023-01-19,2024-12-29,710,2126.8114285714287,Loyal Customers
C000233,5699.26,4,2024-02-04,2024-12-03,303,1424.815,Recent Customers
C000234,21566.77,14,2023-01-07,2024-12-05,698,1540.4835714285714,Champions
C000235,20217.27,7,2023-04-29,2024-12-24,605,2888.1814285714286,Loyal Customers
C000236,6140.46,8,2023-05-22,2024-07-17,422,767.5575,At Risk
C000237,13205.189999999999,7,2023-03-27,2024-07-15,476,1886.455714285714,At Risk
C000238,9362.220000000001,7,2023-06-29,2024-02-23,239,1337.4600000000003,At Risk
C000239,27534.86,6,2023-06-25,2024-06-18,359,4589.143333333333,Potential Loyalists
C000240,13551.300000000001,9,2023-01-21,2024-08-15,572,1505.7,Potential Loyalists
C000241,24338.09,8,2023-03-11,2024-12-22,652,3042.26125,Champions
C000242,4578.23,6,2023-07-02,2024-11-28,515,763.0383333333333,Recent Customers
C000243,23851.89,13,2023-03-04,2024-09-22,568,1834.7607692307693,Loyal Customers
C000244,10600.09,6,2023-01-29,2024-08-13,562,1766.6816666666666,Lost Customers
C000245,8180.4,8,2023-03-19,2024-12-02,624,1022.55,Potential Loyalists
C000246,7064.38,5,2023-05-04,2024-12-04,580,1412.876,Recent Customers
C000247,22270.72,10,2023-07-22,2024-12-22,519,2227.072,Champions
C000248,30213.02,8,2023-06-20,2024-12-02,531,3776.6275,Loyal Customers
C000249,17153.16,8,2023-10-26,2024-11-09,380,2144.145,Potential Loyalists
C000250,8697.36,8,2023-05-15,2024-10-31,535,1087.17,Potential Loyalists
C000251,9910.97,4,2023-04-13,2024-12-10,607,2477.7425,Potential Loyalists
C000252,33593.6,11,2023-02-22,2024-12-26,673,3053.9636363636364,Champions
C000253,13379.92,6,2023-06-04,2024-12-08,553,2229.9866666666667,Potential Loyalists
C000254,14721.31,6,2023-01-11,2024-09-25,623,2453.5516666666667,At Risk
C000255,12510.84,10,2023-01-05,2024-07-15,557,1251.084,Potential Loyalists
C000256,12486.5,7,2023-12-13,2024-12-29,382,1783.7857142857142,Potential Loyalists
C000257,23680.46,8,2023-05-13,2024-08-30,475,2960.0575,Potential Loyalists
C000258,21163.46,10,2023-03-17,2024-11-14,608,2116.346,Loyal Customers
C000259,18508.25,10,2023-01-07,2024-09-28,630,1850.825,Loyal Customers
C000260,19320.24,7,2023-02-12,2024-12-05,662,2760.034285714286,Loyal Customers
C000261,32335.14,9,2023-02-08,2024-11-16,647,3592.793333333333,Loyal Customers
C000262,19458.41,7,2023-10-11,2024-12-20,436,2779.772857142857,Loyal Customers
C000263,3257.9,4,2023-01-29,2024-09-02,582,814.475,Lost Customers
C000264,10207.63,7,2023-01-02,2024-10-22,659,1458.232857142857,Potential Loyalists
C000265,37820.5,11,2023-04-17,2024-10-26,558,3438.2272727272725,Loyal Customers
C000266,17119.09,8,2023-02-02,2024-09-03,579,2139.88625,Potential Loyalists
C000267,8239.53,7,2023-03-15,2024-10-22,587,1177.0757142857144,Recent Customers
C000268,18266.420000000002,11,2023-03-15,2024-12-28,654,1660.5836363636365,Champions
C000269,20609.22,8,2023-06-05,2024-10-17,500,2576.1525,Loyal Customers
C000270,26989.48,15,2023-03-06,2024-12-12,647,1799.2986666666666,Champions
C000271,29079.31,12,2023-03-20,2024-09-28,558,2423.2758333333336,Loyal Customers
C000272,17270.99,10,2023-01-30,2024-10-15,624,1727.0990000000002,Loyal Customers
C000273,11906.89,8,2023-03-04,2024-08-16,531,1488.36125,Potential Loyalists
C000274,13888.0,9,2023-03-02,2024-11-25,634,1543.111111111111,Loyal Customers
C000275,8849.54,10,2023-03-01,2024-09-21,570,884.9540000000001,Potential Loyalists
C000276,16134.45,10,2023-03-09,2024-09-24,565,1613.4450000000002,Potential Loyalists
C000277,20208.26,5,2023-03-06,2024-10-07,581,4041.6519999999996,Potential Loyalists
C000278,7460.69,8,2023-01-26,2024-10-23,636,932.58625,Potential Loyalists
C000279,9076.85,6,2023-01-15,2023-12-22,341,1512.8083333333334,Lost Customers
C000280,10441.61,10,2023-03-25,2024-11-30,616,1044.161,Loyal Customers
C000281,13292.27,5,2023-02-21,2024-10-29,616,2658.454,Potential Loyalists
C000282,35516.63,9,2023-02-24,2024-10-16,600,3946.292222222222,Loyal Customers
C000283,21553.07,11,2023-02-06,2024-12-30,693,1959.37,Champions
C000284,8720.15,6,2023-03-10,2024-10-04,574,1453.3583333333333,Lost Customers
C000285,21965.24,7,2023-10-02,2024-07-23,295,3137.8914285714286,Potential Loyalists
C000286,17515.52,12,2023-01-08,2024-11-14,676,1459.6266666666668,Loyal Customers
C000287,41724.22,10,2023-01-04,2024-12-12,708,4172.4220000000005,Champions
C000288,9286.33,10,2023-03-09,2024-12-11,643,928.633,Loyal Customers
C000289,13619.57,5,2023-01-01,2024-02-07,402,2723.9139999999998,At Risk
C000290,4226.71,5,2023-09-13,2024-11-29,443,845.342,Recent Customers
C000291,6544.3099999999995,7,2023-05-20,2024-12-31,591,934.9014285714285,Potential Loyalists
C000292,10375.03,6,2023-03-27,2024-11-03,587,1729.1716666666669,Recent Customers
C000293,13252.6,8,2023-03-22,2024-12-10,629,1656.575,Loyal Customers
C000294,11502.039999999999,6,2023-05-20,2024-10-18,517,1917.0066666666664,Recent Customers
C000295,4327.18,6,2023-03-17,2024-10-29,592,721.1966666666667,Recent Customers
C000296,17797.88,8,2023-04-03,2024-12-30,637,2224.735,Loyal Customers
C000297,15096.11,9,2023-02-28,2024-07-17,505,1677.3455555555556,Potential Loyalists
C000298,6743.07,6,2023-06-10,2024-09-06,454,1123.845,Lost Customers
C000299,35148.81,8,2023-01-30,2024-12-25,695,4393.60125,Champions
C000300,18078.09,9,2023-01-25,2024-12-29,704,2008.6766666666667,Loyal Customers
C000301,8866.95,9,2023-02-28,2024-06-17,475,985.2166666666667,At Risk
C000302,18683.55,5,2023-03-16,2024-11-18,613,3736.71,Potential Loyalists
C000303,25828.34,6,2023-06-21,2024-08-22,428,4304.723333333333,Potential Loyalists
C000304,23909.19,8,2023-03-13,2024-09-18,555,2988.64875,Potential Loyalists
C000305,13142.82,15,2023-02-07,2024-12-11,673,876.188,Champions
C000306,21288.8,7,2023-04-11,2024-09-15,523,3041.2571428571428,Potential Loyalists
C000307,8106.04,10,2023-03-21,2024-12-27,647,810.604,Loyal Customers
C000308,9625.19,8,2023-03-16,2024-11-19,614,1203.14875,Potential Loyalists
C000309,4762.72,6,2023-02-24,2024-12-24,669,793.7866666666667,Potential Loyalists
C000310,45064.29,13,2023-01-11,2024-12-28,717,3466.483846153846,Champions
C000311,24600.670000000002,8,2023-04-05,2024-04-15,376,3075.0837500000002,Potential Loyalists
C000312,36543.520000000004,13,2023-03-05,2024-12-19,655,2811.0400000000004,Champions
C000313,4492.62,5,2023-05-01,2024-11-16,565,898.524,Recent Customers
C000314,10556.07,8,2023-03-02,2024-09-15,563,1319.50875,Potential Loyalists
C000315,13495.279999999999,6,2023-01-24,2024-09-06,591,2249.213333333333,At Risk
C000316,33985.27,9,2023-05-16,2024-08-27,469,3776.1411111111106,Loyal Customers
C000317,6797.65,5,2023-04-28,2024-09-14,505,1359.53,Lost Customers
C000318,5018.56,2,2023-04-29,2023-07-21,83,2509.28,Lost Customers
C000319,9703.119999999999,8,2023-02-24,2024-11-21,636,1212.8899999999999,Potential Loyalists
C000320,21506.44,11,2023-01-02,2024-12-04,702,1955.130909090909,Loyal Customers
C000321,4181.450000000001,2,2023-06-29,2024-01-16,201,2090.7250000000004,Lost Customers
C000322,19845.37,8,2023-02-08,2024-12-28,689,2480.67125,Loyal Customers
C000323,15264.64,8,2023-01-05,2024-09-11,615,1908.08,Potential Loyalists
C000324,10203.72,7,2023-05-13,2024-04-22,345,1457.6742857142856,At Risk
C000325,24932.760000000002,10,2023-03-27,2024-12-31,645,2493.2760000000003,Champions
C000326,17616.66,7,2023-03-31,2024-10-13,562,2516.6657142857143,Potential Loyalists
C000327,31632.55,16,2023-04-21,2024-12-04,593,1977.034375,Champions
C000328,8133.05,7,2023-05-28,2024-11-02,524,1161.8642857142856,Recent Customers
C000329,23422.31,9,2023-01-23,2024-03-09,411,2602.478888888889,Potential Loyalists
C000330,10284.32,8,2023-01-23,2024-05-12,475,1285.54,At Risk
