ProductID,ProductName,Category,StockLevel,UnitsSold_12M,TurnoverRatio,TurnoverCategory,StockValue
P0027,PetitMode Shirts Blue 12,Boys Clothing,9,39,4.33,Regular,226.08
P0028,SmallStyle Shirts Green 6,Boys Clothing,20,38,1.9,Slow Moving,373.4
P0029,PetitMode Shirts Red 4T,Boys Clothing,17,32,1.88,Slow Moving,121.55
P0030,TinyTrends Shirts White 10,Boys Clothing,5,24,4.8,Regular,33.65
P0031,MiniMode Shirts Navy 5T,Boys Clothing,20,47,2.35,Regular,243.6
P0032,PetitMode Shirts Pink 10,Boys Clothing,17,53,3.12,Regular,336.77
P0033,LittleFashion Shirts Yellow 10,Boys Clothing,16,51,3.19,Regular,180.8
P0034,PetitMode Shirts Beige 8,Boys Clothing,14,26,1.86,Slow Moving,133.0
P0035,BabyChic Shirts Purple 6,Boys Clothing,12,30,2.5,Regular,103.8
P0036,MiniMode Shirts Green 10,Boys Clothing,15,51,3.4,Regular,269.7
P0037,PetitMode Shirts Green 2T,Boys Clothing,12,57,4.75,Regular,83.64
P0038,KidsStyle Shirts Green 2T,Boys Clothing,5,46,9.2,Fast Moving,98.8
P0039,PetitMode Shirts Green 7,Boys Clothing,10,40,4.0,Regular,172.7
P0040,PetitMode Shirts Pink 10,Boys Clothing,15,31,2.07,Regular,167.1
P0041,MiniMode Shirts Purple 14,Boys Clothing,14,43,3.07,Regular,308.0
P0042,TinyTrends Shirts Gray 5T,Boys Clothing,10,26,2.6,Regular,105.3
P0043,KiddoFashion Shirts Beige 8,Boys Clothing,12,40,3.33,Regular,133.2
P0044,YouthStyle Shirts Beige 3T,Boys Clothing,2,39,19.5,Fast Moving,39.38
P0045,MiniMode Shirts Orange 5T,Boys Clothing,13,34,2.62,Regular,279.5
P0046,JuniorWear Shirts Purple 8,Boys Clothing,6,37,6.17,Fast Moving,53.28
P0047,TinyTrends Shirts Red 10,Boys Clothing,12,40,3.33,Regular,237.84
P0048,MiniMode Shirts Pink 2T,Boys Clothing,5,44,8.8,Fast Moving,98.1
P0049,YouthStyle Shirts Red 10,Boys Clothing,14,37,2.64,Regular,210.56
P0050,JuniorWear Shirts Purple 2T,Boys Clothing,14,43,3.07,Regular,83.86
P0051,LittleFashion Pants Green 12,Boys Clothing,13,46,3.54,Regular,92.43
P0052,PetitMode Pants Red 2T,Boys Clothing,6,27,4.5,Regular,70.62
P0053,SmallStyle Pants Purple 2T,Boys Clothing,7,34,4.86,Regular,143.15
P0054,PetitMode Pants Blue 4T,Boys Clothing,17,30,1.76,Slow Moving,244.63
P0055,TinyTrends Pants Gray 3T,Boys Clothing,20,45,2.25,Regular,180.4
P0056,SmallStyle Pants Green 8,Boys Clothing,14,44,3.14,Regular,143.08
P0057,TinyTrends Pants Black 2T,Boys Clothing,11,46,4.18,Regular,268.18
P0058,BabyChic Pants Yellow 14,Boys Clothing,6,54,9.0,Fast Moving,114.66
P0059,JuniorWear Pants Black 7,Boys Clothing,18,38,2.11,Regular,331.38
P0060,BabyChic Pants Blue 6,Boys Clothing,9,34,3.78,Regular,198.09
P0061,TinyTrends Pants Blue 14,Boys Clothing,8,32,4.0,Regular,180.72
P0062,LittleFashion Pants White 12,Boys Clothing,16,38,2.38,Regular,167.84
P0063,JuniorWear Pants Pink 5T,Boys Clothing,9,37,4.11,Regular,90.27
P0064,PetitMode Pants Red 6,Boys Clothing,19,51,2.68,Regular,429.02
P0065,LittleFashion Pants Yellow 6,Boys Clothing,14,40,2.86,Regular,90.16
P0066,JuniorWear Pants Yellow 12,Boys Clothing,8,55,6.88,Fast Moving,99.68
P0067,JuniorWear Pants Orange 7,Boys Clothing,5,43,8.6,Fast Moving,39.95
P0068,YouthStyle Pants Yellow 2T,Boys Clothing,15,60,4.0,Regular,322.35
P0069,JuniorWear Pants Pink 7,Boys Clothing,16,44,2.75,Regular,258.72
P0070,PetitMode Pants Red 12,Boys Clothing,7,35,5.0,Fast Moving,100.1
P0071,KidsStyle Pants White 4T,Boys Clothing,8,34,4.25,Regular,170.72
P0072,LittleFashion Pants Red 4T,Boys Clothing,9,41,4.56,Regular,126.63
P0073,MiniMode Pants Gray 2T,Boys Clothing,19,36,1.89,Slow Moving,185.25
P0074,PetitMode Pants Black 3T,Boys Clothing,5,31,6.2,Fast Moving,84.4
P0075,LittleFashion Pants Black 5T,Boys Clothing,11,40,3.64,Regular,74.14
P0076,MiniMode Pants Yellow 7,Boys Clothing,14,45,3.21,Regular,285.46
P0077,KiddoFashion Pants Green 8,Boys Clothing,13,47,3.62,Regular,114.14
P0078,MiniMode Pants Green 7,Boys Clothing,15,46,3.07,Regular,324.9
P0079,BabyChic Pants Yellow 5T,Boys Clothing,16,41,2.56,Regular,308.64
P0080,PetitMode Pants Black 6,Boys Clothing,16,30,1.88,Slow Moving,177.6
P0081,TinyTrends Pants Yellow 7,Boys Clothing,12,46,3.83,Regular,157.8
P0082,TinyTrends Pants Navy 6,Boys Clothing,15,28,1.87,Slow Moving,261.75
P0083,SmallStyle Pants Orange 7,Boys Clothing,4,49,12.25,Fast Moving,34.48
P0084,JuniorWear Pants Red 14,Boys Clothing,15,28,1.87,Slow Moving,162.0
P0085,PetitMode Pants Gray 2T,Boys Clothing,3,45,15.0,Fast Moving,21.57
P0086,YouthStyle Pants Blue 5T,Boys Clothing,14,38,2.71,Regular,217.7
P0087,TinyTrends Pants Beige 14,Boys Clothing,18,34,1.89,Slow Moving,251.82
P0088,YouthStyle Pants White 12,Boys Clothing,8,56,7.0,Fast Moving,126.8
P0089,MiniMode Pants Black 12,Boys Clothing,19,39,2.05,Regular,335.92
P0090,SmallStyle Pants Yellow 4T,Boys Clothing,7,44,6.29,Fast Moving,141.33
P0091,JuniorWear Pants Green 2T,Boys Clothing,9,30,3.33,Regular,97.74
P0092,KiddoFashion Pants Purple 14,Boys Clothing,17,47,2.76,Regular,420.24
P0093,KiddoFashion Pants Beige 5T,Boys Clothing,17,33,1.94,Slow Moving,191.42
P0094,PetitMode Pants Gray 3T,Boys Clothing,14,43,3.07,Regular,290.92
P0095,MiniMode Pants Gray 7,Boys Clothing,5,55,11.0,Fast Moving,71.7
P0096,KidsStyle Pants Red 5T,Boys Clothing,14,47,3.36,Regular,123.34
P0097,KiddoFashion Pants Black 14,Boys Clothing,10,46,4.6,Regular,227.3
P0098,YouthStyle Pants Purple 14,Boys Clothing,15,48,3.2,Regular,174.75
P0099,TinyTrends Pants Black 4T,Boys Clothing,17,42,2.47,Regular,357.34
P0100,KidsStyle Pants Orange 12,Boys Clothing,13,35,2.69,Regular,304.2
P0101,KiddoFashion Shorts Gray 10,Boys Clothing,0,33,0.0,Very Slow/Dead Stock,0.0
P0102,KiddoFashion Shorts Navy 14,Boys Clothing,0,42,0.0,Very Slow/Dead Stock,0.0
P0103,KiddoFashion Shorts Pink 8,Boys Clothing,13,31,2.38,Regular,187.85
P0104,MiniMode Shorts Gray 10,Boys Clothing,20,36,1.8,Slow Moving,168.8
P0105,JuniorWear Shorts Purple 10,Boys Clothing,0,50,0.0,Very Slow/Dead Stock,0.0
P0106,BabyChic Shorts White 5T,Boys Clothing,12,38,3.17,Regular,200.04
P0107,LittleFashion Shorts Green 3T,Boys Clothing,3,45,15.0,Fast Moving,48.63
P0108,YouthStyle Shorts Black 5T,Boys Clothing,12,52,4.33,Regular,206.88
P0109,KidsStyle Shorts Green 10,Boys Clothing,6,30,5.0,Fast Moving,76.68
P0110,KidsStyle Shorts Navy 8,Boys Clothing,17,45,2.65,Regular,328.27
P0111,JuniorWear Shorts Black 2T,Boys Clothing,13,32,2.46,Regular,234.52
P0112,SmallStyle Shorts Green 12,Boys Clothing,6,40,6.67,Fast Moving,45.72
P0113,KiddoFashion Shorts Red 6,Boys Clothing,17,48,2.82,Regular,171.7
P0114,KiddoFashion Shorts Pink 8,Boys Clothing,10,33,3.3,Regular,224.5
P0115,SmallStyle Shorts Navy 2T,Boys Clothing,10,42,4.2,Regular,225.7
P0116,LittleFashion Shorts Purple 3T,Boys Clothing,5,46,9.2,Fast Moving,100.45
P0117,BabyChic Shorts Green 6,Boys Clothing,16,41,2.56,Regular,260.16
P0118,JuniorWear Shorts Black 7,Boys Clothing,12,35,2.92,Regular,123.6
P0119,PetitMode Shorts Red 10,Boys Clothing,13,39,3.0,Regular,125.45
P0120,KidsStyle Shorts Green 3T,Boys Clothing,14,49,3.5,Regular,222.18
P0121,MiniMode Shorts Pink 14,Boys Clothing,18,36,2.0,Regular,459.54
P0122,MiniMode Shorts Purple 3T,Boys Clothing,15,41,2.73,Regular,319.95
P0123,SmallStyle Shorts Navy 7,Boys Clothing,14,49,3.5,Regular,103.18
P0124,TinyTrends Shorts Navy 4T,Boys Clothing,16,37,2.31,Regular,248.8
P0125,YouthStyle Shorts Beige 14,Boys Clothing,0,38,0.0,Very Slow/Dead Stock,0.0
P0126,TinyTrends Shorts Beige 14,Boys Clothing,16,49,3.06,Regular,176.48
P0127,SmallStyle Shorts Red 14,Boys Clothing,5,55,11.0,Fast Moving,99.75
P0128,TinyTrends Shorts Orange 8,Boys Clothing,15,43,2.87,Regular,140.7
P0129,KiddoFashion Shorts Blue 2T,Boys Clothing,11,37,3.36,Regular,261.58
P0130,YouthStyle Shorts Pink 10,Boys Clothing,8,37,4.62,Regular,114.48
P0131,PetitMode Shorts Purple 6,Boys Clothing,17,36,2.12,Regular,328.61
P0132,BabyChic Shorts Green 14,Boys Clothing,15,39,2.6,Regular,131.55
P0133,MiniMode Shorts Purple 6,Boys Clothing,16,46,2.88,Regular,367.68
P0134,KidsStyle Shorts Purple 8,Boys Clothing,5,31,6.2,Fast Moving,97.2
P0135,MiniMode Shorts White 4T,Boys Clothing,19,51,2.68,Regular,224.01
P0136,SmallStyle Shorts Beige 7,Boys Clothing,15,37,2.47,Regular,331.8
P0137,PetitMode Shorts Green 12,Boys Clothing,14,31,2.21,Regular,333.76
P0138,PetitMode Shorts Green 8,Boys Clothing,19,26,1.37,Slow Moving,288.04
P0139,KidsStyle Shorts Blue 10,Boys Clothing,19,42,2.21,Regular,398.81
P0140,JuniorWear Shorts Gray 8,Boys Clothing,6,43,7.17,Fast Moving,120.12
P0141,PetitMode Shorts White 10,Boys Clothing,10,45,4.5,Regular,207.1
P0142,KiddoFashion Shorts Yellow 7,Boys Clothing,7,44,6.29,Fast Moving,79.24
P0143,MiniMode Shorts White 5T,Boys Clothing,12,23,1.92,Slow Moving,169.8
P0144,MiniMode Shorts Beige 4T,Boys Clothing,16,38,2.38,Regular,232.64
P0145,SmallStyle Shorts Yellow 14,Boys Clothing,19,47,2.47,Regular,219.64
P0146,BabyChic Shorts Pink 6,Boys Clothing,12,47,3.92,Regular,71.16
P0147,JuniorWear Shorts Red 12,Boys Clothing,12,34,2.83,Regular,236.76
P0148,KiddoFashion Shorts Blue 6,Boys Clothing,13,44,3.38,Regular,111.15
P0149,KiddoFashion Shorts Purple 14,Boys Clothing,13,40,3.08,Regular,234.65
P0150,JuniorWear Shorts Purple 4T,Boys Clothing,17,34,2.0,Regular,256.19
P0151,TinyTrends Jackets Navy 8,Boys Clothing,18,44,2.44,Regular,130.68
P0152,SmallStyle Jackets Yellow 4T,Boys Clothing,11,48,4.36,Regular,179.08
P0153,YouthStyle Jackets Navy 3T,Boys Clothing,12,46,3.83,Regular,257.4
P0154,YouthStyle Jackets Purple 5T,Boys Clothing,5,58,11.6,Fast Moving,72.35
P0155,YouthStyle Jackets Yellow 6,Boys Clothing,9,38,4.22,Regular,168.84
P0156,TinyTrends Jackets Green 2T,Boys Clothing,12,33,2.75,Regular,146.76
P0157,LittleFashion Jackets Green 6,Boys Clothing,19,44,2.32,Regular,144.97
P0158,KidsStyle Jackets Black 3T,Boys Clothing,12,36,3.0,Regular,263.4
P0159,KidsStyle Jackets Green 10,Boys Clothing,19,46,2.42,Regular,230.66
P0160,MiniMode Jackets Yellow 10,Boys Clothing,20,31,1.55,Slow Moving,167.4
P0161,YouthStyle Jackets Blue 14,Boys Clothing,15,40,2.67,Regular,251.7
P0162,LittleFashion Jackets Blue 4T,Boys Clothing,15,46,3.07,Regular,249.3
P0163,SmallStyle Jackets Yellow 6,Boys Clothing,6,42,7.0,Fast Moving,146.4
P0164,YouthStyle Jackets Yellow 10,Boys Clothing,5,33,6.6,Fast Moving,82.05
P0165,TinyTrends Jackets Navy 10,Boys Clothing,10,35,3.5,Regular,125.9
P0166,JuniorWear Jackets Red 7,Boys Clothing,9,27,3.0,Regular,120.51
P0167,KidsStyle Jackets Gray 14,Boys Clothing,19,34,1.79,Slow Moving,110.77
P0168,LittleFashion Jackets Purple 14,Boys Clothing,10,47,4.7,Regular,61.7
P0169,LittleFashion Jackets Navy 10,Boys Clothing,6,48,8.0,Fast Moving,134.1
P0170,KiddoFashion Jackets White 10,Boys Clothing,4,42,10.5,Fast Moving,51.4
P0171,LittleFashion Jackets White 7,Boys Clothing,9,56,6.22,Fast Moving,132.3
P0172,PetitMode Jackets Red 6,Boys Clothing,8,33,4.12,Regular,73.04
P0173,BabyChic Jackets Blue 7,Boys Clothing,11,47,4.27,Regular,150.04
P0174,PetitMode Jackets Purple 12,Boys Clothing,17,46,2.71,Regular,256.02
P0175,BabyChic Jackets Navy 5T,Boys Clothing,11,41,3.73,Regular,145.75
P0176,MiniMode Jackets Yellow 10,Boys Clothing,7,34,4.86,Regular,115.78
P0177,KiddoFashion Jackets Blue 6,Boys Clothing,11,56,5.09,Fast Moving,176.11
P0178,LittleFashion Jackets Yellow 14,Boys Clothing,11,40,3.64,Regular,86.13
P0179,TinyTrends Jackets Green 12,Boys Clothing,17,37,2.18,Regular,117.64
P0180,LittleFashion Jackets Purple 10,Boys Clothing,15,33,2.2,Regular,346.2
P0181,YouthStyle Jackets Purple 12,Boys Clothing,19,42,2.21,Regular,257.64
P0182,LittleFashion Jackets Black 10,Boys Clothing,8,27,3.38,Regular,115.36
P0183,TinyTrends Jackets Yellow 12,Boys Clothing,16,30,1.88,Slow Moving,350.08
P0184,JuniorWear Jackets Red 7,Boys Clothing,12,48,4.0,Regular,307.32
P0185,KiddoFashion Jackets Pink 14,Boys Clothing,8,37,4.62,Regular,68.0
P0186,BabyChic Jackets Orange 10,Boys Clothing,17,44,2.59,Regular,117.98
P0187,BabyChic Jackets Green 8,Boys Clothing,1,40,40.0,Fast Moving,8.35
P0188,MiniMode Jackets Black 14,Boys Clothing,18,48,2.67,Regular,128.52
P0189,YouthStyle Jackets Gray 10,Boys Clothing,10,34,3.4,Regular,180.9
P0190,KidsStyle Jackets Pink 4T,Boys Clothing,7,43,6.14,Fast Moving,133.98
P0191,KiddoFashion Jackets Blue 7,Boys Clothing,5,43,8.6,Fast Moving,44.1
P0192,YouthStyle Jackets Gray 2T,Boys Clothing,12,42,3.5,Regular,228.6
P0193,BabyChic Jackets Navy 10,Boys Clothing,10,44,4.4,Regular,206.9
P0194,PetitMode Jackets Black 3T,Boys Clothing,6,45,7.5,Fast Moving,60.96
P0195,KidsStyle Jackets Navy 10,Boys Clothing,15,47,3.13,Regular,315.0
P0196,TinyTrends Jackets Black 6,Boys Clothing,19,38,2.0,Regular,434.72
P0197,LittleFashion Jackets Beige 3T,Boys Clothing,9,44,4.89,Regular,123.75
P0198,KidsStyle Jackets Yellow 2T,Boys Clothing,0,29,0.0,Very Slow/Dead Stock,0.0
P0199,MiniMode Jackets Orange 8,Boys Clothing,5,32,6.4,Fast Moving,103.7
P0200,LittleFashion Jackets Blue 4T,Boys Clothing,12,45,3.75,Regular,248.52
P0201,KiddoFashion Sweaters Navy 14,Boys Clothing,3,46,15.33,Fast Moving,27.03
P0202,KiddoFashion Sweaters Yellow 10,Boys Clothing,19,47,2.47,Regular,312.74
P0203,PetitMode Sweaters Pink 10,Boys Clothing,2,45,22.5,Fast Moving,26.36
P0204,JuniorWear Sweaters Gray 7,Boys Clothing,5,50,10.0,Fast Moving,56.1
P0205,MiniMode Sweaters Black 10,Boys Clothing,15,32,2.13,Regular,291.3
P0206,YouthStyle Sweaters Navy 3T,Boys Clothing,8,50,6.25,Fast Moving,106.88
P0207,KidsStyle Sweaters Gray 6,Boys Clothing,18,35,1.94,Slow Moving,418.5
P0208,KidsStyle Sweaters Navy 2T,Boys Clothing,11,55,5.0,Fast Moving,186.89
P0209,SmallStyle Sweaters White 6,Boys Clothing,5,51,10.2,Fast Moving,54.1
P0210,JuniorWear Sweaters Gray 5T,Boys Clothing,19,29,1.53,Slow Moving,365.56
P0211,KidsStyle Sweaters Yellow 4T,Boys Clothing,11,33,3.0,Regular,238.37
P0212,BabyChic Sweaters Beige 2T,Boys Clothing,14,42,3.0,Regular,110.18
P0213,YouthStyle Sweaters Pink 6,Boys Clothing,0,31,0.0,Very Slow/Dead Stock,0.0
P0214,PetitMode Sweaters Orange 12,Boys Clothing,17,33,1.94,Slow Moving,263.33
P0215,KiddoFashion Sweaters Yellow 4T,Boys Clothing,19,36,1.89,Slow Moving,209.57
P0216,TinyTrends Sweaters Pink 3T,Boys Clothing,8,34,4.25,Regular,75.44
P0217,BabyChic Sweaters Blue 8,Boys Clothing,9,37,4.11,Regular,135.63
P0218,PetitMode Sweaters Blue 2T,Boys Clothing,7,44,6.29,Fast Moving,57.47
P0219,YouthStyle Sweaters Gray 6,Boys Clothing,20,47,2.35,Regular,165.2
P0220,KidsStyle Sweaters Navy 5T,Boys Clothing,6,41,6.83,Fast Moving,97.92
P0221,MiniMode Sweaters Gray 7,Boys Clothing,5,53,10.6,Fast Moving,44.25
P0222,YouthStyle Sweaters Blue 10,Boys Clothing,18,43,2.39,Regular,221.58
P0223,KiddoFashion Sweaters Blue 2T,Boys Clothing,18,31,1.72,Slow Moving,413.64
P0224,YouthStyle Sweaters Purple 12,Boys Clothing,7,35,5.0,Fast Moving,175.56
P0225,SmallStyle Sweaters Beige 12,Boys Clothing,17,42,2.47,Regular,191.93
P0226,KiddoFashion Sweaters Navy 8,Boys Clothing,14,47,3.36,Regular,281.4
P0227,MiniMode Sweaters Purple 2T,Boys Clothing,16,48,3.0,Regular,243.68
P0228,BabyChic Sweaters Orange 7,Boys Clothing,7,37,5.29,Fast Moving,57.47
P0229,YouthStyle Sweaters Yellow 7,Boys Clothing,0,51,0.0,Very Slow/Dead Stock,0.0
P0230,MiniMode Sweaters Gray 10,Boys Clothing,7,49,7.0,Fast Moving,45.36
P0231,BabyChic Sweaters Green 2T,Boys Clothing,19,29,1.53,Slow Moving,165.11
P0232,PetitMode Sweaters Green 5T,Boys Clothing,18,51,2.83,Regular,354.24
P0233,LittleFashion Sweaters Navy 5T,Boys Clothing,16,50,3.12,Regular,354.4
P0234,PetitMode Sweaters Yellow 4T,Boys Clothing,15,45,3.0,Regular,186.6
P0235,LittleFashion Sweaters Red 3T,Boys Clothing,18,54,3.0,Regular,207.36
P0236,KidsStyle Sweaters Pink 14,Boys Clothing,10,44,4.4,Regular,73.8
P0237,PetitMode Sweaters Blue 4T,Boys Clothing,15,39,2.6,Regular,117.45
P0238,BabyChic Sweaters Orange 10,Boys Clothing,15,24,1.6,Slow Moving,264.15
P0239,MiniMode Sweaters Navy 10,Boys Clothing,9,38,4.22,Regular,69.3
P0240,KiddoFashion Sweaters Gray 12,Boys Clothing,2,48,24.0,Fast Moving,46.5
P0241,YouthStyle Sweaters Gray 10,Boys Clothing,9,41,4.56,Regular,163.53
P0242,TinyTrends Sweaters White 10,Boys Clothing,13,49,3.77,Regular,190.97
P0243,JuniorWear Sweaters Navy 3T,Boys Clothing,9,32,3.56,Regular,164.7
P0244,YouthStyle Sweaters Navy 12,Boys Clothing,15,52,3.47,Regular,99.6
P0245,SmallStyle Sweaters Black 10,Boys Clothing,17,37,2.18,Regular,430.1
P0246,YouthStyle Sweaters Purple 12,Boys Clothing,20,59,2.95,Regular,293.6
P0247,KiddoFashion Sweaters Black 8,Boys Clothing,13,37,2.85,Regular,131.43
P0248,BabyChic Sweaters Gray 7,Boys Clothing,12,28,2.33,Regular,164.76
P0249,TinyTrends Sweaters Blue 4T,Boys Clothing,8,37,4.62,Regular,115.44
P0250,TinyTrends Sweaters Beige 3T,Boys Clothing,0,35,0.0,Very Slow/Dead Stock,0.0
P0251,KidsStyle Dresses Navy 4T,Girls Clothing,17,38,2.24,Regular,387.09
P0252,YouthStyle Dresses White 7,Girls Clothing,5,28,5.6,Fast Moving,78.3
P0253,JuniorWear Dresses Navy 8,Girls Clothing,5,43,8.6,Fast Moving,100.55
P0254,PetitMode Dresses Green 3T,Girls Clothing,11,33,3.0,Regular,324.39
P0255,TinyTrends Dresses White 10,Girls Clothing,9,53,5.89,Fast Moving,266.49
P0256,JuniorWear Dresses Navy 7,Girls Clothing,15,43,2.87,Regular,304.05
P0257,SmallStyle Dresses Gray 12,Girls Clothing,1,64,64.0,Fast Moving,30.34
P0258,JuniorWear Dresses Red 2T,Girls Clothing,2,45,22.5,Fast Moving,15.26
P0259,BabyChic Dresses Red 6,Girls Clothing,5,33,6.6,Fast Moving,85.9
P0260,TinyTrends Dresses Pink 14,Girls Clothing,5,41,8.2,Fast Moving,128.75
P0261,PetitMode Dresses Green 2T,Girls Clothing,1,65,65.0,Fast Moving,19.66
P0262,LittleFashion Dresses White 10,Girls Clothing,12,53,4.42,Regular,372.12
P0263,TinyTrends Dresses Red 14,Girls Clothing,13,38,2.92,Regular,328.25
P0264,TinyTrends Dresses Yellow 14,Girls Clothing,14,42,3.0,Regular,217.14
P0265,SmallStyle Dresses Purple 8,Girls Clothing,7,40,5.71,Fast Moving,70.07
P0266,TinyTrends Dresses White 5T,Girls Clothing,11,42,3.82,Regular,313.61
P0267,KiddoFashion Dresses Orange 6,Girls Clothing,9,53,5.89,Fast Moving,263.34
P0268,YouthStyle Dresses Navy 2T,Girls Clothing,6,45,7.5,Fast Moving,162.48
P0269,MiniMode Dresses Pink 5T,Girls Clothing,20,42,2.1,Regular,477.2
P0270,TinyTrends Dresses Red 6,Girls Clothing,12,41,3.42,Regular,186.0
P0271,YouthStyle Dresses Orange 4T,Girls Clothing,16,28,1.75,Slow Moving,460.16
P0272,BabyChic Dresses Blue 12,Girls Clothing,5,55,11.0,Fast Moving,66.5
P0273,KiddoFashion Dresses Blue 8,Girls Clothing,14,52,3.71,Regular,280.14
P0274,SmallStyle Dresses Black 14,Girls Clothing,20,54,2.7,Regular,215.2
P0275,TinyTrends Dresses Black 8,Girls Clothing,15,42,2.8,Regular,303.9
P0276,KiddoFashion Dresses Beige 4T,Girls Clothing,11,39,3.55,Regular,227.59
P0277,TinyTrends Dresses Green 3T,Girls Clothing,17,43,2.53,Regular,336.77
P0278,TinyTrends Dresses Black 8,Girls Clothing,16,49,3.06,Regular,408.96
P0279,BabyChic Dresses Pink 7,Girls Clothing,6,45,7.5,Fast Moving,55.5
P0280,PetitMode Dresses Green 3T,Girls Clothing,18,33,1.83,Slow Moving,441.9
P0281,MiniMode Dresses Blue 7,Girls Clothing,19,42,2.21,Regular,395.2
P0282,SmallStyle Dresses Pink 5T,Girls Clothing,2,52,26.0,Fast Moving,18.5
P0283,KiddoFashion Dresses Purple 3T,Girls Clothing,5,48,9.6,Fast Moving,78.15
P0284,SmallStyle Dresses Gray 14,Girls Clothing,3,50,16.67,Fast Moving,47.46
P0285,LittleFashion Dresses Purple 7,Girls Clothing,7,41,5.86,Fast Moving,179.9
P0286,JuniorWear Dresses Navy 10,Girls Clothing,1,45,45.0,Fast Moving,20.18
P0287,JuniorWear Dresses Purple 12,Girls Clothing,19,42,2.21,Regular,318.63
P0288,JuniorWear Dresses Blue 2T,Girls Clothing,18,50,2.78,Regular,527.76
P0289,PetitMode Dresses Black 14,Girls Clothing,5,35,7.0,Fast Moving,61.5
P0290,KiddoFashion Dresses Navy 12,Girls Clothing,10,33,3.3,Regular,169.5
P0291,KiddoFashion Dresses Orange 7,Girls Clothing,6,57,9.5,Fast Moving,119.52
P0292,BabyChic Dresses Beige 10,Girls Clothing,5,40,8.0,Fast Moving,86.65
P0293,MiniMode Dresses Beige 4T,Girls Clothing,15,50,3.33,Regular,294.15
P0294,SmallStyle Dresses Pink 12,Girls Clothing,17,39,2.29,Regular,143.82
P0295,YouthStyle Dresses White 6,Girls Clothing,14,54,3.86,Regular,133.14
P0296,TinyTrends Dresses White 2T,Girls Clothing,10,45,4.5,Regular,112.2
P0297,JuniorWear Dresses Beige 8,Girls Clothing,19,48,2.53,Regular,212.42
P0298,BabyChic Dresses Blue 14,Girls Clothing,13,59,4.54,Regular,344.63
P0299,JuniorWear Dresses Gray 4T,Girls Clothing,4,51,12.75,Fast Moving,79.36
P0300,SmallStyle Dresses Beige 8,Girls Clothing,14,43,3.07,Regular,144.9
P0301,BabyChic Dresses Pink 12,Girls Clothing,20,42,2.1,Regular,214.0
P0302,PetitMode Dresses White 3T,Girls Clothing,5,49,9.8,Fast Moving,51.15
P0303,MiniMode Dresses White 6,Girls Clothing,19,43,2.26,Regular,195.51
P0304,LittleFashion Dresses Pink 5T,Girls Clothing,11,52,4.73,Regular,129.03
P0305,PetitMode Dresses Beige 3T,Girls Clothing,7,29,4.14,Regular,136.15
P0306,SmallStyle Dresses Pink 2T,Girls Clothing,10,65,6.5,Fast Moving,94.4
P0307,LittleFashion Dresses Beige 4T,Girls Clothing,15,55,3.67,Regular,278.25
P0308,KidsStyle Dresses Black 4T,Girls Clothing,14,57,4.07,Regular,411.18
