Cohort,MonthOffset,ActiveCustomers,CohortSize,RetentionRate
2022-09,1,0,0,
2022-09,2,0,0,
2022-09,3,0,0,
2022-09,4,35,0,inf
2022-09,5,42,0,inf
2022-09,6,41,0,inf
2022-09,7,46,0,inf
2022-09,8,49,0,inf
2022-09,9,46,0,inf
2022-09,10,33,0,inf
2022-09,11,46,0,inf
2022-09,12,45,0,inf
2023-02,0,40,40,100.0
2023-02,1,31,40,77.5
2023-02,2,40,40,100.0
2023-02,3,40,40,100.0
2023-02,4,47,40,117.5
2023-02,5,38,40,95.0
2023-02,6,43,40,107.5
2023-02,7,44,40,110.0
2023-02,8,43,40,107.5
2023-02,9,42,40,105.0
2023-02,10,34,40,85.0
2023-02,11,46,40,115.0
2023-02,12,42,40,105.0
2023-11,0,46,46,100.0
2023-11,1,49,46,106.52
2023-11,2,50,46,108.7
2023-11,3,51,46,110.87
2023-11,4,44,46,95.65
2023-11,5,48,46,104.35
2023-11,6,61,46,132.61
2023-11,7,58,46,126.09
2023-11,8,49,46,106.52
2023-11,9,45,46,97.83
2023-11,10,45,46,97.83
2023-11,11,48,46,104.35
2023-11,12,48,46,104.35
2022-07,0,0,0,
2022-07,1,0,0,
2022-07,2,0,0,
2022-07,3,0,0,
2022-07,4,0,0,
2022-07,5,0,0,
2022-07,6,63,0,inf
2022-07,7,41,0,inf
2022-07,8,58,0,inf
2022-07,9,50,0,inf
2022-07,10,50,0,inf
2022-07,11,55,0,inf
2022-07,12,54,0,inf
2024-03,0,37,37,100.0
2024-03,1,43,37,116.22
2024-03,2,45,37,121.62
2024-03,3,45,37,121.62
2024-03,4,39,37,105.41
2024-03,5,46,37,124.32
2024-03,6,43,37,116.22
2024-03,7,34,37,91.89
2024-03,8,35,37,94.59
2024-03,9,45,37,121.62
2024-03,10,0,37,0.0
2024-03,11,0,37,0.0
2024-03,12,0,37,0.0
2023-12,0,51,51,100.0
2023-12,1,33,51,64.71
2023-12,2,49,51,96.08
2023-12,3,53,51,103.92
2023-12,4,41,51,80.39
2023-12,5,55,51,107.84
2023-12,6,53,51,103.92
2023-12,7,50,51,98.04
2023-12,8,53,51,103.92
2023-12,9,40,51,78.43
2023-12,10,47,51,92.16
2023-12,11,39,51,76.47
2023-12,12,37,51,72.55
2022-03,0,0,0,
2022-03,1,0,0,
2022-03,2,0,0,
2022-03,3,0,0,
2022-03,4,0,0,
2022-03,5,0,0,
2022-03,6,0,0,
2022-03,7,0,0,
2022-03,8,0,0,
2022-03,9,0,0,
2022-03,10,40,0,inf
2022-03,11,37,0,inf
2022-03,12,50,0,inf
2022-12,0,0,0,
2022-12,1,50,0,inf
2022-12,2,42,0,inf
2022-12,3,55,0,inf
2022-12,4,44,0,inf
2022-12,5,54,0,inf
2022-12,6,48,0,inf
2022-12,7,40,0,inf
2022-12,8,51,0,inf
2022-12,9,53,0,inf
2022-12,10,55,0,inf
2022-12,11,42,0,inf
2022-12,12,39,0,inf
2022-01,0,0,0,
2022-01,1,0,0,
2022-01,2,0,0,
2022-01,3,0,0,
2022-01,4,0,0,
2022-01,5,0,0,
2022-01,6,0,0,
2022-01,7,0,0,
2022-01,8,0,0,
2022-01,9,0,0,
2022-01,10,0,0,
2022-01,11,0,0,
2022-01,12,54,0,inf
2024-09,0,41,41,100.0
2024-09,1,43,41,104.88
2024-09,2,51,41,124.39
2024-09,3,47,41,114.63
2024-09,4,0,41,0.0
2024-09,5,0,41,0.0
2024-09,6,0,41,0.0
2024-09,7,0,41,0.0
2024-09,8,0,41,0.0
2024-09,9,0,41,0.0
2024-09,10,0,41,0.0
2024-09,11,0,41,0.0
2024-09,12,0,41,0.0
2023-05,0,54,54,100.0
2023-05,1,43,54,79.63
2023-05,2,46,54,85.19
2023-05,3,46,54,85.19
2023-05,4,50,54,92.59
2023-05,5,51,54,94.44
2023-05,6,52,54,96.3
2023-05,7,44,54,81.48
2023-05,8,53,54,98.15
2023-05,9,48,54,88.89
2023-05,10,48,54,88.89
2023-05,11,47,54,87.04
2023-05,12,50,54,92.59
2022-11,0,0,0,
2022-11,1,0,0,
2022-11,2,50,0,inf
2022-11,3,47,0,inf
2022-11,4,53,0,inf
2022-11,5,45,0,inf
2022-11,6,55,0,inf
2022-11,7,60,0,inf
2022-11,8,57,0,inf
2022-11,9,66,0,inf
2022-11,10,59,0,inf
2022-11,11,51,0,inf
2022-11,12,51,0,inf
2024-05,0,58,58,100.0
2024-05,1,46,58,79.31
2024-05,2,44,58,75.86
2024-05,3,51,58,87.93
2024-05,4,64,58,110.34
2024-05,5,55,58,94.83
2024-05,6,53,58,91.38
2024-05,7,57,58,98.28
2024-05,8,0,58,0.0
2024-05,9,0,58,0.0
2024-05,10,0,58,0.0
2024-05,11,0,58,0.0
2024-05,12,0,58,0.0
2023-04,0,53,53,100.0
2023-04,1,39,53,73.58
2023-04,2,49,53,92.45
2023-04,3,49,53,92.45
2023-04,4,35,53,66.04
2023-04,5,42,53,79.25
2023-04,6,52,53,98.11
2023-04,7,42,53,79.25
2023-04,8,38,53,71.7
2023-04,9,42,53,79.25
2023-04,10,42,53,79.25
2023-04,11,42,53,79.25
2023-04,12,47,53,88.68
2023-09,0,43,43,100.0
2023-09,1,41,43,95.35
2023-09,2,51,43,118.6
2023-09,3,48,43,111.63
2023-09,4,39,43,90.7
2023-09,5,53,43,123.26
2023-09,6,43,43,100.0
2023-09,7,49,43,113.95
2023-09,8,45,43,104.65
2023-09,9,41,43,95.35
2023-09,10,48,43,111.63
2023-09,11,56,43,130.23
2023-09,12,42,43,97.67
2022-05,0,0,0,
2022-05,1,0,0,
2022-05,2,0,0,
2022-05,3,0,0,
2022-05,4,0,0,
2022-05,5,0,0,
2022-05,6,0,0,
2022-05,7,0,0,
2022-05,8,50,0,inf
2022-05,9,43,0,inf
2022-05,10,52,0,inf
2022-05,11,45,0,inf
2022-05,12,50,0,inf
2023-07,0,54,54,100.0
2023-07,1,37,54,68.52
2023-07,2,48,54,88.89
2023-07,3,42,54,77.78
2023-07,4,38,54,70.37
2023-07,5,46,54,85.19
2023-07,6,35,54,64.81
2023-07,7,38,54,70.37
2023-07,8,43,54,79.63
2023-07,9,38,54,70.37
2023-07,10,46,54,85.19
2023-07,11,42,54,77.78
2023-07,12,51,54,94.44
2022-10,0,0,0,
2022-10,1,0,0,
2022-10,2,0,0,
2022-10,3,48,0,inf
2022-10,4,57,0,inf
2022-10,5,44,0,inf
2022-10,6,53,0,inf
2022-10,7,55,0,inf
2022-10,8,39,0,inf
2022-10,9,43,0,inf
2022-10,10,44,0,inf
2022-10,11,45,0,inf
2022-10,12,41,0,inf
2024-10,0,2,2,100.0
2024-10,1,3,2,150.0
2024-10,2,2,2,100.0
2024-10,3,0,2,0.0
2024-10,4,0,2,0.0
2024-10,5,0,2,0.0
2024-10,6,0,2,0.0
2024-10,7,0,2,0.0
2024-10,8,0,2,0.0
2024-10,9,0,2,0.0
2024-10,10,0,2,0.0
2024-10,11,0,2,0.0
2024-10,12,0,2,0.0
