ProductID,Views,AvgTimeOnPage,AddToCartCount,AddToCartRate,ProductName,Category,Price
P0892,73,89.33673469387755,25,34.25,KiddoFashion Belts Orange M,Accessories,21.15
P0330,73,87.46875,23,31.51,KidsStyle Tops Black 12,Girls Clothing,40.84
P0127,73,90.0,27,36.99,SmallStyle Shorts Red 14,Boys Clothing,40.09
P0877,73,79.59223300970874,30,41.1,PetitMode Belts Purple XL,Accessories,5.42
P0431,73,76.4095238095238,32,43.84,PetitMode Leggings White 8,Girls Clothing,46.02
P0032,73,85.63,27,36.99,PetitMode Shirts Pink 10,Boys Clothing,39.35
P0087,73,82.10679611650485,30,41.1,TinyTrends Pants Beige 14,Boys Clothing,28.9
P0438,73,83.5049504950495,28,38.36,KiddoFashion Leggings Pink 5T,Girls Clothing,16.02
P0855,73,89.42268041237114,24,32.88,BabyChic Socks Black S,Accessories,26.69
P0075,73,76.28155339805825,30,41.1,LittleFashion Pants Black 5T,Boys Clothing,13.7
P0599,72,80.18627450980392,30,41.67,SmallStyle Sleepwear Gray 3-6M,Infants,34.28
P0043,72,93.46808510638297,22,30.56,KiddoFashion Shirts Beige 8,Boys Clothing,22.26
P0121,72,81.11881188118812,29,40.28,MiniMode Shorts Pink 14,Boys Clothing,43.04
P0276,72,81.97029702970298,29,40.28,KiddoFashion Dresses Beige 4T,Girls Clothing,35.81
P0078,72,82.61682242990655,35,48.61,MiniMode Pants Green 7,Boys Clothing,44.53
P0584,72,84.0576923076923,32,44.44,KiddoFashion Onesies Yellow 12-18M,Infants,30.47
P0601,72,89.2872340425532,22,30.56,BabyChic Sleepwear Pink 6-12M,Infants,28.47
P0475,72,77.53465346534654,29,40.28,MiniMode Leggings Green 6,Girls Clothing,49.96
P0864,72,83.06930693069307,29,40.28,SmallStyle Socks Green XL,Accessories,22.83
P0870,72,79.79591836734694,26,36.11,LittleFashion Socks Orange XS,Accessories,17.87
P0651,72,84.11111111111111,27,37.5,KidsStyle Rompers Red 3-6M,Infants,8.85
P0093,72,84.72448979591837,26,36.11,KiddoFashion Pants Beige 5T,Boys Clothing,20.51
P0196,72,85.48958333333333,24,33.33,TinyTrends Jackets Black 6,Boys Clothing,44.69
P0471,72,85.92079207920793,29,40.28,KiddoFashion Leggings White 7,Girls Clothing,25.96
P0397,72,76.05882352941177,30,41.67,YouthStyle Skirts Navy 7,Girls Clothing,35.24
P0199,72,82.11340206185567,25,34.72,MiniMode Jackets Orange 8,Boys Clothing,40.33
P0051,71,80.0673076923077,33,46.48,LittleFashion Pants Green 12,Boys Clothing,13.04
P0206,71,77.05050505050505,28,39.44,YouthStyle Sweaters Navy 3T,Boys Clothing,22.54
P0021,71,82.18095238095238,34,47.89,MiniMode Shirts Pink 8,Boys Clothing,16.03
P0406,71,74.55238095238096,34,47.89,PetitMode Skirts Navy 5T,Girls Clothing,54.39
P0734,71,81.42718446601941,32,45.07,KiddoFashion Blankets Navy 12-18M,Infants,34.38
P0843,71,80.42574257425743,30,42.25,KiddoFashion Socks Pink S,Accessories,9.64
P0637,71,84.56701030927834,26,36.62,KidsStyle Rompers Pink 12-18M,Infants,29.06
P0424,71,73.66,29,40.85,KiddoFashion Skirts Pink 2T,Girls Clothing,18.41
P0583,71,83.85858585858585,28,39.44,TinyTrends Onesies Orange 12-18M,Infants,12.34
P0627,71,70.6574074074074,37,52.11,BabyChic Sleepwear Green 12-18M,Infants,11.17
P0180,71,79.9375,25,35.21,LittleFashion Jackets Purple 10,Boys Clothing,43.03
P0088,71,82.73195876288659,26,36.62,YouthStyle Pants White 12,Boys Clothing,33.29
P0790,71,84.99,29,40.85,LittleFashion Hats Gray XS,Accessories,26.25
P0091,71,78.15463917525773,26,36.62,JuniorWear Pants Green 2T,Boys Clothing,23.26
P0107,71,83.26804123711341,26,36.62,LittleFashion Shorts Green 3T,Boys Clothing,33.51
P0784,71,85.77319587628865,26,36.62,MiniMode Hats Red L,Accessories,28.36
P0561,71,80.36893203883496,32,45.07,LittleFashion Onesies White 6-12M,Infants,32.0
P0115,71,76.23853211009174,38,53.52,SmallStyle Shorts Navy 2T,Boys Clothing,41.44
P0467,71,77.39622641509433,35,49.3,YouthStyle Leggings Pink 4T,Girls Clothing,54.38
P0187,70,88.40625,26,37.14,BabyChic Jackets Green 8,Boys Clothing,15.12
P0731,70,78.21428571428571,28,40.0,KiddoFashion Blankets Red 3-6M,Infants,18.63
P0154,70,85.0,27,38.57,YouthStyle Jackets Purple 5T,Boys Clothing,29.04
P0660,70,81.07142857142857,28,40.0,YouthStyle Rompers Orange 6-12M,Infants,10.2
P0156,70,86.80898876404494,19,27.14,TinyTrends Jackets Green 2T,Boys Clothing,26.49
P0267,70,89.06315789473685,25,35.71,KiddoFashion Dresses Orange 6,Girls Clothing,54.87
P0393,70,78.2,30,42.86,BabyChic Skirts Pink 7,Girls Clothing,22.26
P0296,70,81.6842105263158,25,35.71,TinyTrends Dresses White 2T,Girls Clothing,20.55
P0403,70,84.63829787234043,24,34.29,YouthStyle Skirts Pink 12,Girls Clothing,31.97
P0605,70,80.55,30,42.86,YouthStyle Sleepwear Blue 3-6M,Infants,15.39
P0521,70,76.31372549019608,32,45.71,TinyTrends Jackets Pink 10,Girls Clothing,36.58
P0854,70,84.55670103092784,27,38.57,MiniMode Socks Gray M,Accessories,27.43
P0551,70,80.5959595959596,29,41.43,JuniorWear Onesies Beige 3-6M,Infants,9.56
P0789,70,80.26804123711341,27,38.57,YouthStyle Hats Beige M,Accessories,5.83
P0200,70,72.13592233009709,33,47.14,LittleFashion Jackets Blue 4T,Boys Clothing,36.78
P0268,70,91.8021978021978,21,30.0,YouthStyle Dresses Navy 2T,Girls Clothing,45.76
P0641,70,80.95959595959596,29,41.43,JuniorWear Rompers Yellow 3-6M,Infants,24.69
P0360,70,83.02884615384616,34,48.57,KiddoFashion Tops Red 4T,Girls Clothing,19.97
P0644,70,82.2258064516129,23,32.86,KiddoFashion Rompers Purple 0-3M,Infants,10.37
P0064,70,80.6,30,42.86,PetitMode Pants Red 6,Boys Clothing,38.99
P0809,70,79.06796116504854,33,47.14,KidsStyle Hats Blue XL,Accessories,39.79
P0764,70,77.16831683168317,31,44.29,YouthStyle Shoes Black L,Accessories,14.97
P0255,70,84.98936170212765,24,34.29,TinyTrends Dresses White 10,Girls Clothing,52.99
P0421,70,82.33333333333333,26,37.14,KiddoFashion Skirts Gray 8,Girls Clothing,15.52
P0578,70,81.85714285714286,28,40.0,MiniMode Onesies Pink 3-6M,Infants,24.7
P0339,70,80.42156862745098,32,45.71,BabyChic Tops Yellow 7,Girls Clothing,19.48
P0067,70,84.0,29,41.43,JuniorWear Pants Orange 7,Boys Clothing,15.96
P0096,70,72.11650485436893,33,47.14,KidsStyle Pants Red 5T,Boys Clothing,15.07
P0834,70,78.8265306122449,28,40.0,MiniMode Bags Yellow XS,Accessories,12.3
P0587,69,92.11494252873563,18,26.09,LittleFashion Onesies Purple 0-3M,Infants,25.06
P0036,69,84.52127659574468,25,36.23,MiniMode Shirts Green 10,Boys Clothing,37.48
P0318,69,76.04040404040404,30,43.48,MiniMode Tops Black 12,Girls Clothing,19.29
P0577,69,81.25,27,39.13,YouthStyle Onesies Red 0-3M,Infants,26.83
P0474,69,72.87128712871286,32,46.38,KiddoFashion Leggings Green 12,Girls Clothing,20.48
P0415,69,81.36734693877551,29,42.03,BabyChic Skirts Purple 6,Girls Clothing,44.5
P0210,69,74.11538461538461,35,50.72,JuniorWear Sweaters Gray 5T,Boys Clothing,34.19
P0183,69,84.48936170212765,25,36.23,TinyTrends Jackets Yellow 12,Boys Clothing,43.07
P0038,69,92.31868131868131,22,31.88,KidsStyle Shirts Green 2T,Boys Clothing,35.33
P0189,69,75.17821782178218,32,46.38,YouthStyle Jackets Gray 10,Boys Clothing,39.88
P0647,69,87.80898876404494,20,28.99,MiniMode Rompers White 18-24M,Infants,23.32
P0312,69,93.74157303370787,20,28.99,PetitMode Tops Black 8,Girls Clothing,29.82
P0195,69,77.75757575757575,30,43.48,KidsStyle Jackets Navy 10,Boys Clothing,36.77
P0758,69,79.12871287128714,32,46.38,YouthStyle Shoes Orange XL,Accessories,11.85
P0098,69,83.29032258064517,24,34.78,YouthStyle Pants Purple 14,Boys Clothing,23.19
P0076,69,87.19791666666667,27,39.13,MiniMode Pants Yellow 7,Boys Clothing,41.97
P0435,69,74.94949494949495,30,43.48,MiniMode Leggings Red 6,Girls Clothing,49.47
P0374,69,86.7872340425532,25,36.23,SmallStyle Skirts Gray 14,Girls Clothing,30.36
P0133,69,82.88541666666667,27,39.13,MiniMode Shorts Purple 6,Boys Clothing,40.95
P0727,69,84.30434782608695,23,33.33,YouthStyle Blankets Beige 12-18M,Infants,31.46
P0150,69,78.56,31,44.93,JuniorWear Shorts Purple 4T,Boys Clothing,32.56
P0071,69,78.43564356435644,32,46.38,KidsStyle Pants White 4T,Boys Clothing,43.76
P0022,69,77.58695652173913,23,33.33,TinyTrends Shirts Pink 3T,Boys Clothing,13.13
P0604,69,87.45555555555555,21,30.43,YouthStyle Sleepwear Yellow 18-24M,Infants,26.45
P0761,69,88.42222222222222,21,30.43,BabyChic Shoes Gray XS,Accessories,7.11
P0141,69,86.38461538461539,22,31.88,PetitMode Shorts White 10,Boys Clothing,41.37
P0693,69,83.42708333333333,27,39.13,SmallStyle Bibs Purple 6-12M,Infants,25.73
P0458,69,79.57291666666667,27,39.13,TinyTrends Leggings Blue 5T,Girls Clothing,37.08
P0499,68,87.31868131868131,23,33.82,BabyChic Jackets Navy 10,Girls Clothing,51.69
P0571,68,83.56989247311827,25,36.76,KidsStyle Onesies Purple 3-6M,Infants,30.27
P0645,68,89.04347826086956,24,35.29,BabyChic Rompers Green 0-3M,Infants,8.9
P0344,68,85.9010989010989,23,33.82,KiddoFashion Tops Navy 6,Girls Clothing,37.86
P0497,68,79.77319587628865,29,42.65,YouthStyle Jackets Black 2T,Girls Clothing,25.89
P0535,68,79.4,27,39.71,BabyChic Jackets Beige 12,Girls Clothing,29.18
P0859,68,76.12244897959184,30,44.12,PetitMode Socks Orange XS,Accessories,7.02
P0746,68,82.54639175257732,29,42.65,LittleFashion Blankets Orange 6-12M,Infants,14.41
P0617,68,80.39583333333333,28,41.18,KidsStyle Sleepwear Beige 3-6M,Infants,13.75
P0398,68,84.76595744680851,26,38.24,PetitMode Skirts Orange 14,Girls Clothing,15.72
P0810,68,86.65957446808511,26,38.24,PetitMode Hats Orange XL,Accessories,24.52
P0072,68,87.9090909090909,31,45.59,LittleFashion Pants Red 4T,Boys Clothing,28.41
P0495,68,84.37755102040816,30,44.12,TinyTrends Jackets White 6,Girls Clothing,24.86
P0543,68,85.69072164948453,29,42.65,BabyChic Jackets Yellow 3T,Girls Clothing,52.79
P0878,68,83.78947368421052,27,39.71,TinyTrends Belts Yellow XS,Accessories,39.16
P0755,68,80.21212121212122,31,45.59,BabyChic Shoes Yellow L,Accessories,26.28
P0432,68,82.27551020408163,30,44.12,LittleFashion Leggings Purple 3T,Girls Clothing,35.98
P0566,68,75.87128712871286,33,48.53,JuniorWear Onesies Green 6-12M,Infants,27.53
P0806,68,80.58241758241758,23,33.82,TinyTrends Hats Purple L,Accessories,35.8
P0386,68,77.69473684210526,27,39.71,KidsStyle Skirts Yellow 7,Girls Clothing,19.43
P0321,68,77.65306122448979,30,44.12,KiddoFashion Tops Navy 4T,Girls Clothing,15.8
P0404,68,79.48453608247422,29,42.65,SmallStyle Skirts Beige 5T,Girls Clothing,52.37
P0677,68,83.29292929292929,31,45.59,YouthStyle Bibs Navy 0-3M,Infants,19.84
P0110,68,84.27173913043478,24,35.29,KidsStyle Shorts Navy 8,Boys Clothing,33.44
P0328,68,86.22340425531915,26,38.24,LittleFashion Tops Gray 14,Girls Clothing,32.27
P0670,68,87.0,23,33.82,KidsStyle Rompers Beige 6-12M,Infants,9.95
P0084,68,84.0,24,35.29,JuniorWear Pants Red 14,Boys Clothing,22.59
P0357,68,85.72043010752688,25,36.76,BabyChic Tops Gray 10,Girls Clothing,33.86
P0026,68,83.57142857142857,30,44.12,LittleFashion Shirts Purple 6,Boys Clothing,44.0
P0565,68,82.48387096774194,25,36.76,TinyTrends Onesies Navy 12-18M,Infants,18.06
P0025,68,74.66666666666667,34,50.0,JuniorWear Shirts Gray 3T,Boys Clothing,30.04
P0470,68,79.72448979591837,30,44.12,YouthStyle Leggings Green 12,Girls Clothing,19.71
P0485,68,84.36842105263158,27,39.71,BabyChic Leggings Pink 10,Girls Clothing,37.66
P0690,68,73.80582524271844,35,51.47,TinyTrends Bibs Red 3-6M,Infants,17.7
P0611,67,78.29166666666667,29,43.28,YouthStyle Sleepwear Blue 12-18M,Infants,33.67
P0557,67,79.16161616161617,32,47.76,TinyTrends Onesies Green 3-6M,Infants,14.04
P0235,67,82.50549450549451,24,35.82,LittleFashion Sweaters Red 3T,Boys Clothing,19.38
P0250,67,76.45918367346938,31,46.27,TinyTrends Sweaters Beige 3T,Boys Clothing,44.16
P0229,67,81.34408602150538,26,38.81,YouthStyle Sweaters Yellow 7,Boys Clothing,12.37
P0237,67,81.95698924731182,26,38.81,PetitMode Sweaters Blue 4T,Boys Clothing,13.42
P0451,67,77.25773195876289,30,44.78,YouthStyle Leggings Purple 8,Girls Clothing,23.32
P0634,67,84.49473684210527,28,41.79,KidsStyle Rompers Black 3-6M,Infants,18.6
P0713,67,79.90625,29,43.28,LittleFashion Blankets Navy 12-18M,Infants,34.64
P0125,67,83.2840909090909,21,31.34,YouthStyle Shorts Beige 14,Boys Clothing,43.8
P0487,67,85.3010752688172,26,38.81,KidsStyle Leggings Red 2T,Girls Clothing,44.3
P0781,67,84.04347826086956,25,37.31,TinyTrends Hats Purple M,Accessories,17.37
P0105,67,83.50515463917526,30,44.78,JuniorWear Shorts Purple 10,Boys Clothing,12.17
P0815,67,81.08888888888889,23,34.33,PetitMode Bags White M,Accessories,8.38
P0464,67,85.59139784946237,26,38.81,JuniorWear Leggings Red 8,Girls Clothing,25.75
P0372,67,85.61797752808988,22,32.84,BabyChic Skirts Navy 14,Girls Clothing,44.9
P0845,67,82.41836734693878,31,46.27,PetitMode Socks Yellow L,Accessories,26.22
P0059,67,84.8021978021978,24,35.82,JuniorWear Pants Black 7,Boys Clothing,38.52
P0002,67,85.15789473684211,28,41.79,TinyTrends Shirts Navy 3T,Boys Clothing,36.16
P0047,67,82.13684210526316,28,41.79,TinyTrends Shirts Red 10,Boys Clothing,37.11
P0034,67,80.79381443298969,30,44.78,PetitMode Shirts Beige 8,Boys Clothing,16.65
P0392,67,85.27659574468085,27,40.3,LittleFashion Skirts Blue 14,Girls Clothing,25.07
P0427,67,77.56382978723404,27,40.3,PetitMode Skirts Purple 10,Girls Clothing,23.4
P0417,67,84.52688172043011,26,38.81,TinyTrends Skirts Navy 6,Girls Clothing,20.63
P0510,67,91.32608695652173,25,37.31,SmallStyle Jackets Gray 8,Girls Clothing,51.62
P0503,67,87.14736842105263,28,41.79,SmallStyle Jackets Pink 2T,Girls Clothing,47.26
P0177,67,82.65168539325843,22,32.84,KiddoFashion Jackets Blue 6,Boys Clothing,33.74
P0176,67,79.4950495049505,34,50.75,MiniMode Jackets Yellow 10,Boys Clothing,28.6
P0636,67,79.78571428571429,31,46.27,TinyTrends Rompers Green 12-18M,Infants,26.76
P0211,67,84.92222222222222,23,34.33,KidsStyle Sweaters Yellow 4T,Boys Clothing,38.12
P0530,67,84.86666666666666,23,34.33,PetitMode Jackets Red 12,Girls Clothing,34.2
P0198,67,75.97916666666667,29,43.28,KidsStyle Jackets Yellow 2T,Boys Clothing,23.25
P0657,67,78.07843137254902,35,52.24,YouthStyle Rompers Pink 0-3M,Infants,22.78
P0526,67,74.68085106382979,27,40.3,JuniorWear Jackets White 14,Girls Clothing,49.99
P0316,67,85.58947368421053,28,41.79,YouthStyle Tops Blue 12,Girls Clothing,43.53
P0679,67,74.53125,29,43.28,LittleFashion Bibs Beige 12-18M,Infants,32.32
P0341,67,84.25842696629213,22,32.84,BabyChic Tops Orange 10,Girls Clothing,47.68
P0706,67,89.01149425287356,20,29.85,PetitMode Bibs Black 0-3M,Infants,13.56
P0160,67,82.23157894736842,28,41.79,MiniMode Jackets Yellow 10,Boys Clothing,17.16
P0700,67,79.5625,29,43.28,JuniorWear Bibs Blue 3-6M,Infants,24.66
P0552,66,91.47126436781609,21,31.82,PetitMode Onesies Pink 18-24M,Infants,31.86
P0426,66,75.3578947368421,29,43.94,KiddoFashion Skirts Gray 7,Girls Clothing,17.68
P0334,66,81.27173913043478,26,39.39,LittleFashion Tops Gray 12,Girls Clothing,24.84
P0533,66,77.80645161290323,27,40.91,YouthStyle Jackets Blue 4T,Girls Clothing,31.85
P0430,66,86.72727272727273,22,33.33,LittleFashion Skirts Navy 14,Girls Clothing,37.59
P0298,66,77.63218390804597,21,31.82,BabyChic Dresses Blue 14,Girls Clothing,50.87
P0559,66,86.87777777777778,24,36.36,SmallStyle Onesies Black 18-24M,Infants,10.47
P0361,66,82.6043956043956,25,37.88,KiddoFashion Tops Orange 14,Girls Clothing,52.53
P0489,66,80.61290322580645,27,40.91,KidsStyle Leggings Navy 10,Girls Clothing,38.8
P0326,66,86.44086021505376,27,40.91,SmallStyle Tops Green 2T,Girls Clothing,18.48
P0369,66,83.76086956521739,26,39.39,PetitMode Tops Yellow 6,Girls Clothing,30.7
P0332,66,79.31868131868131,25,37.88,BabyChic Tops Green 7,Girls Clothing,39.23
P0466,66,76.56521739130434,26,39.39,BabyChic Leggings Beige 8,Girls Clothing,20.57
P0331,66,86.02298850574712,21,31.82,BabyChic Tops Yellow 2T,Girls Clothing,29.24
P0414,66,89.96511627906976,20,30.3,BabyChic Skirts Pink 8,Girls Clothing,28.85
P0148,66,80.8265306122449,32,48.48,KiddoFashion Shorts Blue 6,Boys Clothing,16.19
P0600,66,93.36904761904762,18,27.27,LittleFashion Sleepwear Blue 0-3M,Infants,28.24
P0871,66,87.63333333333334,24,36.36,JuniorWear Belts Gray L,Accessories,33.96
P0875,66,77.16,34,51.52,PetitMode Belts Pink S,Accessories,31.61
P0215,66,82.13541666666667,30,45.45,KiddoFashion Sweaters Yellow 4T,Boys Clothing,23.58
P0063,66,80.9247311827957,27,40.91,JuniorWear Pants Pink 5T,Boys Clothing,19.52
P0152,66,84.02272727272727,22,33.33,SmallStyle Jackets Yellow 4T,Boys Clothing,29.84
P0069,66,83.96739130434783,26,39.39,JuniorWear Pants Pink 7,Boys Clothing,29.12
P0852,66,79.28888888888889,24,36.36,BabyChic Socks Yellow M,Accessories,15.91
P0142,66,85.76595744680851,28,42.42,KiddoFashion Shorts Yellow 7,Boys Clothing,24.39
P0885,66,88.35227272727273,22,33.33,KiddoFashion Belts Purple M,Accessories,18.16
P0830,66,78.70103092783505,31,46.97,LittleFashion Bags Orange M,Accessories,18.89
P0203,66,86.55913978494624,27,40.91,PetitMode Sweaters Pink 10,Boys Clothing,22.56
P0244,66,81.5,22,33.33,YouthStyle Sweaters Navy 12,Boys Clothing,13.5
P0080,66,81.03092783505154,31,46.97,PetitMode Pants Black 6,Boys Clothing,19.84
P0589,66,74.05050505050505,33,50.0,BabyChic Onesies Yellow 6-12M,Infants,29.06
P0135,66,77.6082474226804,31,46.97,MiniMode Shorts White 4T,Boys Clothing,23.86
P0009,66,79.49462365591398,27,40.91,YouthStyle Shirts Blue 12,Boys Clothing,22.04
P0751,66,88.26436781609195,21,31.82,PetitMode Shoes Yellow L,Accessories,23.17
P0867,66,85.64044943820225,23,34.85,TinyTrends Socks Beige XS,Accessories,23.45
P0667,66,81.16129032258064,27,40.91,TinyTrends Rompers Green 3-6M,Infants,14.17
P0033,66,92.94047619047619,18,27.27,LittleFashion Shirts Yellow 10,Boys Clothing,21.27
