date,revenue,profit,transactions,customers
2023-01-05,14855267.78,2088210.92,468,462
2023-01-06,16529001.77,2130078.3,471,468
2023-01-07,17605871.84,2305058.69,463,462
2023-01-08,16953932.7,2341560.5,448,446
2023-01-09,16451683.03,2220042.76,440,438
2023-01-10,15137945.4,2105968.04,432,428
2023-01-11,18758925.95,2451349.91,493,488
2023-01-12,15184190.18,1965117.55,433,433
2023-01-13,18540771.5,2580102.97,478,474
2023-01-14,13932732.56,1885839.74,437,436
2023-01-15,17928489.91,2477197.73,481,476
2023-01-16,17219431.55,2350867.65,478,472
2023-01-17,16371706.01,2210555.9,451,448
2023-01-18,16065279.51,2194585.9,441,440
2023-01-19,15653778.8,2175182.21,449,444
2023-01-20,15420348.42,2025666.1199999999,448,445
2023-01-21,18195325.57,2381127.59,508,502
2023-01-22,18289389.669999998,2410791.84,448,448
2023-01-23,16018963.83,2180518.46,473,470
2023-01-24,16423600.03,2241948.22,438,434
2023-01-25,17801444.17,2277795.7399999998,446,446
2023-01-26,14653720.56,2049110.4,452,448
2023-01-27,15301754.47,2188616.48,455,452
2023-01-28,15909367.39,2036506.16,456,456
2023-01-29,18277358.85,2305806.49,489,487
2023-01-30,18904513.05,2467024.71,482,480
2023-01-31,19591460.23,2550038.53,490,488
2023-02-01,16093392.58,2092609.56,472,471
2023-02-02,17901044.76,2325329.67,449,445
2023-02-03,15789449.5,2090593.01,428,426
2023-02-04,15659988.540000001,2187966.1,449,447
2023-02-05,14743930.07,2065815.89,440,438
2023-02-06,16842851.89,2161786.36,465,465
2023-02-07,17271871.77,2343001.55,471,468
2023-02-08,17834654.96,2427732.82,472,467
2023-02-09,14457268.01,1906950.49,447,443
2023-02-10,16148211.26,2049535.23,457,452
2023-02-11,17776719.12,2346872.09,468,465
2023-02-12,15914474.18,2189587.82,455,453
2023-02-13,16684670.94,2203853.1,454,454
2023-02-14,17724444.08,2381567.83,461,459
2023-02-15,16433383.42,2228406.66,485,482
2023-02-16,15029740.450000001,2075515.52,465,461
2023-02-17,16793527.93,2165092.44,468,466
2023-02-18,16901029.77,2255722.99,457,454
2023-02-19,16350974.25,2209776.07,462,460
2023-02-20,15980714.67,2141443.56,440,437
2023-02-21,18679527.69,2419433.21,478,476
2023-02-22,17965232.06,2323854.53,505,498
2023-02-23,18457407.97,2437787.51,492,487
2023-02-24,16685849.06,2373994.35,484,482
2023-02-25,17246762.82,2335944.58,471,470
2023-02-26,16737798.36,2099462.02,455,452
2023-02-27,17196638.16,2319053.56,469,468
2023-02-28,17354655.66,2318076.38,470,468
2023-03-01,16972064.37,2492037.4899999998,496,495
2023-03-02,18262599.59,2623966.61,425,424
2023-03-03,19605670.89,2879126.91,475,470
2023-03-04,17297185.44,2466121.95,460,458
2023-03-05,17572749.12,2500446.18,492,491
2023-03-06,15890416.34,2402041.9,430,429
2023-03-07,18191086.49,2599305.46,503,501
2023-03-08,17302365.3,2414674.02,448,447
2023-03-09,17083988.71,2545172.64,462,461
2023-03-10,14985233.33,2127936.94,431,431
2023-03-11,13911710.58,2175832.81,443,441
2023-03-12,16162746.34,2379661.65,478,475
2023-03-13,17973159.84,2510909.65,476,473
2023-03-14,16272443.74,2306954.96,472,467
2023-03-15,18774514.91,2619689.8,427,426
2023-03-16,16462824.37,2314381.09,445,442
2023-03-17,13773689.33,2127278.94,453,452
2023-03-18,15702370.299999999,2372069.1,475,472
2023-03-19,16995593.54,2479255.65,472,470
2023-03-20,17100574.92,2401664.07,460,458
2023-03-21,16969870.14,2632380.45,468,464
2023-03-22,14767202.38,2019909.11,437,436
2023-03-23,16860136.48,2383871.83,409,407
2023-03-24,17915732.55,2561113.96,470,466
2023-03-25,16529365.7,2443222.13,463,461
2023-03-26,16515667.82,2356519.3,476,475
2023-03-27,17390030.1,2560844.68,458,456
2023-03-28,17627880.55,2506466.93,484,480
2023-03-29,18474641.36,2709661.61,478,476
2023-03-30,14198460.35,2079495.99,431,426
2023-03-31,16546855.48,2462377.07,430,429
2023-04-01,17301879.4,2396420.37,478,474
2023-04-02,15648531.29,2415706.53,445,442
2023-04-03,17546839.63,2489245.19,485,485
2023-04-04,13769358.17,2068406.17,408,405
2023-04-05,16582584.05,2367758.97,471,466
2023-04-06,16487846.84,2448781.27,479,475
2023-04-07,17701348.59,2556406.41,450,447
2023-04-08,17392918.45,2501415.89,469,469
2023-04-09,16778464.18,2438459.89,434,433
2023-04-10,17255204.2,2461485.54,488,487
2023-04-11,17425750.22,2518452.52,448,446
2023-04-12,18226999.5,2679085.48,514,509
2023-04-13,18642422.96,2579105.07,478,476
2023-04-14,12073386.46,1821376.71,419,416
2023-04-15,18286590.12,2596674.28,457,453
2023-04-16,14861620.3,2253982.65,453,452
2023-04-17,17777993.41,2548246.09,481,479
2023-04-18,14393545.36,2088231.85,443,439
2023-04-19,17077719.22,2502448.85,467,465
2023-04-20,14527752.75,2052029.92,449,448
2023-04-21,17940195.83,2582010.22,445,440
2023-04-22,17238430.14,2564739.1,463,458
2023-04-23,17063458.32,2520336.87,449,445
2023-04-24,14993223.05,2209025.58,441,435
2023-04-25,19644211.75,2910229.7399999998,499,497
2023-04-26,18718305.9,2743990.74,484,480
2023-04-27,15372328.0,2342981.91,442,442
2023-04-28,20556678.86,2805927.01,489,484
2023-04-29,19167495.73,2695294.34,538,537
2023-04-30,17780132.46,2384795.23,440,438
2023-05-01,17668214.83,2456439.05,495,493
2023-05-02,16899629.05,2345937.36,442,441
2023-05-03,19325358.51,2610885.13,448,445
2023-05-04,16918417.59,2356988.5,450,448
2023-05-05,17425627.3,2482125.87,445,441
2023-05-06,17079635.5,2522265.46,429,427
2023-05-07,17900768.61,2612178.84,450,448
2023-05-08,16387952.61,2382375.31,446,444
2023-05-09,17797914.63,2577781.05,469,466
2023-05-10,15654852.93,2291373.48,449,447
2023-05-11,15649597.14,2298217.84,485,482
2023-05-12,16576970.79,2318313.13,426,426
2023-05-13,17239951.54,2526253.12,472,468
2023-05-14,18016633.4,2715147.7600000002,485,482
2023-05-15,15211345.11,2118981.8,446,445
2023-05-16,19573384.02,2781887.52,489,483
2023-05-17,15830659.14,2274175.14,451,446
2023-05-18,14125251.36,2059963.9,440,435
2023-05-19,17196632.8,2493481.97,469,465
2023-05-20,14958163.18,2244196.92,438,436
2023-05-21,16313351.68,2455888.77,462,459
2023-05-22,15932970.14,2329245.82,445,443
2023-05-23,16653948.49,2355851.3,451,447
2023-05-24,17025309.85,2502801.6,464,461
2023-05-25,19031401.88,2803411.59,451,450
2023-05-26,15886410.07,2326904.47,462,458
2023-05-27,17784815.87,2550805.53,500,495
2023-05-28,17190537.65,2544157.41,463,461
2023-05-29,16566658.8,2381664.4899999998,447,445
2023-05-30,17402436.46,2528286.62,459,456
2023-05-31,17311112.96,2506137.77,455,452
2023-06-01,18119673.87,2399942.4,478,473
2023-06-02,17800327.98,2421049.62,491,486
2023-06-03,15354349.96,2095237.49,403,400
2023-06-04,14403856.58,1977968.33,459,453
2023-06-05,17842686.11,2460296.99,470,466
2023-06-06,14670227.91,2153940.39,442,440
2023-06-07,15926518.23,2043566.26,435,430
2023-06-08,16079274.19,2170343.82,424,421
2023-06-09,14553887.53,2037686.12,427,423
2023-06-10,16410456.64,2264564.72,441,440
2023-06-11,17468427.99,2315623.45,458,457
2023-06-12,17083092.81,2461549.33,485,484
2023-06-13,15951175.98,2113852.02,455,455
2023-06-14,14498886.69,2054928.46,461,458
2023-06-15,15574641.63,2130697.37,444,444
2023-06-16,18373444.63,2559180.21,498,498
2023-06-17,16117866.53,2165369.17,431,428
2023-06-18,15985934.07,2235465.1,421,420
2023-06-19,15381540.38,2279121.34,440,436
2023-06-20,17609713.26,2328270.67,449,445
2023-06-21,14806631.0,2052474.29,427,425
2023-06-22,14959890.02,1958581.15,435,434
2023-06-23,16911708.79,2368571.79,453,449
2023-06-24,17587884.29,2310994.2600000002,467,463
2023-06-25,15347407.75,2136746.19,444,439
2023-06-26,16494337.17,2234970.9899999998,463,462
2023-06-27,17323431.87,2281130.42,460,460
2023-06-28,16887239.25,2281813.04,440,440
2023-06-29,16443514.13,2070329.14,428,425
2023-06-30,15630377.74,1979712.5,454,451
2023-07-01,17534048.94,2495988.7,508,506
2023-07-02,15085204.14,2078147.9,449,448
2023-07-03,16572463.63,2270499.15,442,441
2023-07-04,19716765.11,2619030.79,442,440
2023-07-05,15358211.44,2130434.23,439,434
2023-07-06,17411889.28,2292357.48,445,442
2023-07-07,15394598.73,2112905.45,467,463
2023-07-08,14717363.540000001,2075985.21,431,430
2023-07-09,14777402.94,2008565.41,487,484
2023-07-10,14976659.08,2071267.13,413,409
2023-07-11,18700031.95,2550599.87,467,460
2023-07-12,17151265.2,2382970.1,455,453
2023-07-13,17633887.85,2440401.36,494,493
2023-07-14,15598110.5,2144092.92,443,441
2023-07-15,15738796.540000001,2346052.15,456,452
2023-07-16,14598542.27,2051928.01,465,463
2023-07-17,15704044.91,2127399.67,455,450
2023-07-18,13788534.38,1949804.61,444,442
2023-07-19,16251041.51,2277794.93,445,444
2023-07-20,16208792.38,2178320.84,443,439
2023-07-21,18483675.39,2440858.87,463,460
2023-07-22,16524981.37,2330164.41,463,459
2023-07-23,18628089.14,2533196.03,477,472
2023-07-24,18145849.66,2410861.7,475,473
2023-07-25,17962971.330000002,2434837.85,451,449
2023-07-26,15614101.07,2183921.83,424,421
2023-07-27,17026218.35,2349289.09,444,441
2023-07-28,14607215.11,2031207.0999999999,429,427
2023-07-29,16206607.53,2319604.51,440,440
2023-07-30,16455020.81,2230274.75,450,449
2023-07-31,17528580.86,2405280.21,442,441
2023-08-01,16471899.07,2221265.38,434,432
2023-08-02,15448706.44,2217080.68,431,429
2023-08-03,18348242.41,2621979.28,499,498
2023-08-04,17820992.29,2337513.26,475,470
2023-08-05,16630465.58,2184534.14,439,438
2023-08-06,17188495.48,2327995.51,457,455
2023-08-07,13884525.55,2051545.4,457,455
2023-08-08,17287728.36,2236095.71,474,474
2023-08-09,16615678.62,2191927.59,458,454
2023-08-10,16356955.33,2261521.45,451,446
2023-08-11,14074967.02,2007153.97,439,438
2023-08-12,15632907.11,2281549.11,466,466
2023-08-13,17858524.669999998,2292716.39,482,480
2023-08-14,14055456.35,1944381.05,429,428
2023-08-15,17456735.53,2403173.8,491,485
2023-08-16,14825372.67,2113034.89,431,428
2023-08-17,15816312.9,2163651.1,437,435
2023-08-18,16804903.73,2409944.78,448,445
2023-08-19,13827340.54,2013187.46,426,424
2023-08-20,20738499.25,2778856.96,511,506
2023-08-21,16970126.27,2409922.94,465,465
2023-08-22,15870476.11,2118080.58,470,468
2023-08-23,16944633.17,2276858.46,465,461
2023-08-24,16274356.64,2273865.97,455,453
2023-08-25,17769929.57,2378239.05,491,488
2023-08-26,17339712.580000002,2392381.6,496,494
2023-08-27,17961020.27,2444208.49,493,493
2023-08-28,15694030.56,2256522.56,441,440
2023-08-29,16258676.58,2160486.3,481,476
2023-08-30,15566103.2,2072005.16,422,419
2023-08-31,15813433.18,2190482.04,457,452
2023-09-01,15741075.6,2262376.47,431,430
2023-09-02,15130256.84,2236602.24,423,422
2023-09-03,17631256.45,2500286.77,449,449
2023-09-04,16542529.46,2391766.0,466,461
2023-09-05,13851567.54,2140561.36,451,449
2023-09-06,15065978.46,2256973.47,474,472
2023-09-07,15978184.27,2343535.86,432,428
2023-09-08,15642404.02,2223681.18,463,462
2023-09-09,17469300.65,2441546.6,453,447
2023-09-10,17073139.99,2492844.53,442,441
2023-09-11,19513580.05,2789021.35,489,488
2023-09-12,17873253.23,2583483.87,485,483
2023-09-13,15350162.67,2351174.91,472,467
2023-09-14,17191211.69,2473598.91,468,466
2023-09-15,15967330.31,2289101.65,458,452
2023-09-16,16291566.21,2177246.06,424,423
2023-09-17,16082229.39,2350123.56,463,459
2023-09-18,17664752.98,2504517.29,476,475
2023-09-19,17175313.24,2505962.74,466,463
2023-09-20,14974518.26,2175721.44,418,415
2023-09-21,17973694.71,2601498.21,447,446
2023-09-22,16571908.89,2338893.63,418,418
2023-09-23,14584293.78,2187242.16,430,427
2023-09-24,16814211.76,2375747.71,443,442
2023-09-25,15277231.04,2144596.59,441,437
2023-09-26,16011605.15,2197835.48,443,440
2023-09-27,15179972.33,2185221.17,412,411
2023-09-28,15254191.28,2206974.61,451,448
2023-09-29,17984626.03,2435474.17,463,462
2023-09-30,15253846.01,2238369.69,467,461
2023-10-01,16489779.65,1974222.82,474,473
2023-10-02,15900919.02,1878658.87,451,448
2023-10-03,16244608.53,2118435.92,470,466
2023-10-04,17204878.61,2049055.69,447,446
2023-10-05,17584846.53,2277395.2,507,504
2023-10-06,14760852.5,1860292.54,431,427
2023-10-07,17044711.76,2159492.83,496,494
2023-10-08,15478379.15,1976255.01,442,440
2023-10-09,15040177.54,1931096.07,461,459
2023-10-10,17993927.9,2147207.7399999998,469,465
2023-10-11,15895609.209999999,1884722.67,452,452
2023-10-12,16643939.85,2032535.39,471,468
2023-10-13,18698831.6,2348937.13,489,487
2023-10-14,15262524.03,1790769.99,437,433
2023-10-15,16206303.620000001,1887415.16,424,422
2023-10-16,18105922.44,2230807.4,486,485
2023-10-17,14865528.41,1797905.94,427,426
2023-10-18,15640062.1,1989960.96,446,441
2023-10-19,16211835.98,2090552.6,448,444
2023-10-20,15743867.04,1798391.13,460,459
2023-10-21,15968845.07,1936498.02,472,469
2023-10-22,17735130.21,2104639.11,465,460
2023-10-23,13529493.43,1745985.05,467,465
2023-10-24,16351798.65,2053403.8800000001,481,479
2023-10-25,19112959.71,2313048.9,462,459
2023-10-26,17119527.81,2049372.15,478,475
2023-10-27,13537951.01,1734202.09,423,422
2023-10-28,14851223.99,1821998.71,461,459
2023-10-29,16748722.47,2059125.26,446,440
2023-10-30,17251211.25,2011105.43,416,414
2023-10-31,16072276.14,1919219.03,432,428
2023-11-01,15129949.34,1960470.22,449,446
2023-11-02,17082763.1,2154608.95,483,480
2023-11-03,17349516.73,2006320.47,442,441
2023-11-04,15885902.43,1835356.98,476,474
2023-11-05,16358192.2,2025345.1300000001,459,452
2023-11-06,16481360.68,1949404.72,448,446
2023-11-07,17464453.65,2128865.06,477,475
2023-11-08,16758715.07,2091068.01,454,453
2023-11-09,18477993.28,2052808.74,473,473
2023-11-10,16101900.65,1949420.3,453,451
2023-11-11,16863401.82,2064967.41,456,454
2023-11-12,14710361.290000001,1905220.88,453,449
2023-11-13,13805768.5,1837474.54,454,452
2023-11-14,16609414.63,2108560.76,437,436
2023-11-15,18774209.95,2301189.48,455,455
2023-11-16,17346352.04,2079905.98,446,443
2023-11-17,16891549.96,2121677.18,494,491
2023-11-18,15675385.09,1831860.17,448,448
2023-11-19,17098905.07,1922649.52,457,457
2023-11-20,17490557.08,2162479.71,470,466
2023-11-21,14945736.75,2064661.98,482,481
2023-11-22,17451311.92,2013565.79,453,448
2023-11-23,13923062.94,1823097.86,443,443
2023-11-24,16434404.43,1909519.96,491,488
2023-11-25,17048860.71,2149557.77,452,449
2023-11-26,15135092.69,1936342.91,443,442
2023-11-27,16285006.97,1987726.57,445,442
2023-11-28,15837481.54,1776618.21,434,434
2023-11-29,14284728.38,1787112.82,449,448
2023-11-30,16809751.44,2055060.29,449,445
2023-12-01,15798367.55,1753785.6199999999,432,430
2023-12-02,19162363.58,2282769.37,468,466
2023-12-03,16093257.06,2044323.92,470,468
2023-12-04,15106537.53,1863337.32,452,448
2023-12-05,15252461.77,1888322.58,463,461
2023-12-06,14772003.82,1842475.19,434,431
2023-12-07,16775910.59,2060582.01,447,443
2023-12-08,16290237.11,1984548.41,436,435
2023-12-09,16680246.91,2082514.95,452,450
2023-12-10,15403777.68,1968398.9,450,446
2023-12-11,15331098.65,1794881.69,441,440
2023-12-12,15393822.42,1931611.03,468,464
2023-12-13,18799182.67,2347413.88,475,474
2023-12-14,12854643.06,1657747.62,426,424
2023-12-15,17140587.7,2124390.02,457,457
2023-12-16,18120004.24,2261798.51,454,453
2023-12-17,15413315.73,1925504.33,454,453
2023-12-18,17699269.73,2307473.06,469,464
2023-12-19,18860350.1,2427529.92,520,517
2023-12-20,14906009.06,1884343.73,457,455
2023-12-21,15283671.36,1895715.94,455,453
2023-12-22,16681521.64,1982345.9,483,482
2023-12-23,15113715.74,2006258.5,490,488
2023-12-24,16145533.24,1874248.26,446,444
2023-12-25,15160997.4,2068745.16,425,423
2023-12-26,15931490.59,1967976.5,447,445
2023-12-27,14641144.69,1794448.33,425,424
2023-12-28,14831073.05,1826767.37,475,472
2023-12-29,15930224.88,2028460.29,455,454
2023-12-30,14926708.49,1772355.22,423,423
2023-12-31,15474941.8,1991451.68,434,431
2024-01-01,16957019.19,2377492.22,456,452
2024-01-02,14799118.86,2030007.14,448,447
2024-01-03,14910613.15,2062072.7,454,449
2024-01-04,17995554.66,2202789.46,486,486
2024-01-05,19578456.57,2522954.04,463,460
2024-01-06,14476169.51,1966318.47,436,434
2024-01-07,16053829.14,2075137.84,443,441
2024-01-08,15316935.03,2179891.63,455,453
2024-01-09,15706101.35,2103545.53,425,424
2024-01-10,15832355.28,2106325.06,447,444
2024-01-11,17691574.07,2266042.38,452,451
2024-01-12,19145291.26,2542751.3,492,491
2024-01-13,17073304.6,2325896.77,467,466
2024-01-14,17757365.19,2245493.21,460,456
2024-01-15,17506428.1,2277517.94,460,454
2024-01-16,17419582.24,2232619.26,470,465
2024-01-17,17449403.87,2264029.02,493,489
2024-01-18,15702511.16,2120492.56,458,455
2024-01-19,16725204.87,2193825.15,457,455
2024-01-20,16159407.48,2222244.07,445,442
2024-01-21,17375238.86,2182169.76,433,431
2024-01-22,14898812.92,2002201.03,431,430
2024-01-23,14985307.45,1893231.08,434,433
2024-01-24,14695146.92,1851991.67,437,434
2024-01-25,17202784.7,2231796.12,446,444
2024-01-26,15792471.49,1941723.93,416,409
2024-01-27,17689093.75,2460823.07,448,445
2024-01-28,18534645.8,2455885.67,480,478
2024-01-29,13202951.14,1791972.36,438,437
2024-01-30,16037752.59,2190146.34,443,439
2024-01-31,15318516.93,2087067.06,437,434
2024-02-01,16117857.55,2059333.29,458,455
2024-02-02,18205524.78,2499412.86,482,480
2024-02-03,16955443.29,2307052.15,437,436
2024-02-04,15008454.5,2053009.56,452,449
2024-02-05,16880160.3,2173693.64,432,430
2024-02-06,17515029.23,2350369.92,459,456
2024-02-07,15969196.87,2035255.1099999999,449,446
2024-02-08,16308346.81,2090680.08,449,447
2024-02-09,15596900.31,2061135.17,473,470
2024-02-10,18328184.05,2432419.02,479,477
2024-02-11,16710934.14,2080006.88,492,488
2024-02-12,13583747.26,1874289.26,414,410
2024-02-13,13526892.69,1755006.51,434,431
2024-02-14,16776972.2,2312149.9899999998,494,492
2024-02-15,17488453.68,2217788.21,475,472
2024-02-16,15419330.49,2066762.78,442,439
2024-02-17,19180802.77,2441925.18,503,502
2024-02-18,13753112.04,1932945.1300000001,443,437
2024-02-19,14907476.01,2051153.91,433,431
2024-02-20,16236601.85,2105730.34,473,471
2024-02-21,17184617.919999998,2323494.4,492,490
2024-02-22,14585724.39,2053451.51,401,399
2024-02-23,17245601.22,2250800.43,472,471
2024-02-24,15682735.1,2032600.35,464,463
2024-02-25,15795213.38,1990046.74,441,438
2024-02-26,15728030.11,2225546.16,486,481
2024-02-27,17173120.13,2272733.47,445,441
2024-02-28,14322275.06,2088132.08,439,438
2024-02-29,17361852.46,2182070.86,491,489
2024-03-01,16118394.73,2394158.09,450,446
2024-03-02,18622959.04,2567812.49,502,501
2024-03-03,15011288.5,2207238.17,444,439
2024-03-04,15031004.18,2239874.28,431,428
2024-03-05,14681986.07,2209903.11,440,437
2024-03-06,16357798.68,2357739.06,452,450
2024-03-07,15689632.459999999,2325491.94,438,436
2024-03-08,17353328.01,2416407.42,445,444
2024-03-09,14224487.86,2123593.98,427,426
2024-03-10,17488956.0,2500872.02,439,437
2024-03-11,16364281.28,2308767.18,466,464
2024-03-12,15757881.98,2404483.96,436,433
2024-03-13,20323962.54,2867264.61,503,499
2024-03-14,18796774.27,2754507.21,492,486
2024-03-15,15585979.09,2368775.21,469,466
2024-03-16,14822704.89,2161271.72,416,413
2024-03-17,13446103.96,2043909.79,410,409
2024-03-18,17355966.02,2398614.81,466,465
2024-03-19,19375714.83,2781250.84,489,489
2024-03-20,15369109.12,2322506.23,455,451
2024-03-21,14353814.25,2192728.33,414,410
2024-03-22,17508375.35,2484662.9,446,441
2024-03-23,16226122.61,2401393.43,439,434
2024-03-24,15409996.57,2426870.06,436,433
2024-03-25,17908486.4,2706616.14,510,504
2024-03-26,16976113.3,2278974.02,448,446
2024-03-27,15960395.39,2243462.32,436,436
2024-03-28,17399442.73,2526631.61,466,463
2024-03-29,17258547.01,2447324.54,464,462
2024-03-30,16611608.88,2474483.64,454,454
2024-03-31,16517333.81,2361105.52,465,462
2024-04-01,15881521.8,2229865.87,458,456
2024-04-02,16575026.37,2379170.46,464,461
2024-04-03,16375614.76,2309722.7399999998,442,442
2024-04-04,17172408.95,2467642.69,454,451
2024-04-05,18166985.04,2596866.65,492,491
2024-04-06,14790668.5,2271367.0100000002,436,435
2024-04-07,15267059.8,2334908.55,496,494
2024-04-08,17574522.23,2517261.55,453,448
2024-04-09,21277221.07,2882519.06,491,485
2024-04-10,14235961.35,2189984.51,424,422
2024-04-11,12797191.84,1943733.15,403,403
2024-04-12,16885072.26,2587506.62,446,446
2024-04-13,16513456.97,2391562.48,453,451
2024-04-14,17602895.54,2618055.54,441,439
2024-04-15,17539707.07,2449051.56,452,451
2024-04-16,17990095.93,2469397.73,462,462
2024-04-17,16809960.41,2387911.75,460,459
2024-04-18,15842607.93,2437825.02,451,450
2024-04-19,16075226.72,2285601.54,434,431
2024-04-20,18410178.87,2688464.04,443,442
2024-04-21,15553942.01,2286248.13,432,428
2024-04-22,17628726.64,2574042.37,487,484
2024-04-23,16281897.44,2341893.75,459,452
2024-04-24,17693254.92,2615026.61,496,494
2024-04-25,13870145.63,2096687.21,446,444
2024-04-26,17641561.84,2493469.08,463,463
2024-04-27,14875261.91,2232298.21,459,457
2024-04-28,15887833.83,2339200.83,460,457
2024-04-29,16767924.58,2492127.33,465,463
2024-04-30,16086203.11,2316045.09,415,413
2024-05-01,18790498.0,2632495.05,448,447
2024-05-02,17455405.14,2477355.82,467,466
2024-05-03,19419906.15,2721005.95,502,500
2024-05-04,16542113.14,2394312.52,463,463
2024-05-05,17473356.96,2405225.71,440,439
2024-05-06,15091257.82,2259975.96,456,455
2024-05-07,18674974.02,2656343.12,491,487
2024-05-08,16634473.36,2525542.74,457,454
2024-05-09,17501998.09,2488388.58,463,458
2024-05-10,15855403.52,2362458.47,452,449
2024-05-11,16367407.06,2431493.89,436,435
2024-05-12,15723680.44,2181096.84,444,442
2024-05-13,16275803.18,2389135.21,476,471
2024-05-14,18172416.13,2694635.92,481,479
2024-05-15,16322801.99,2335807.09,453,449
2024-05-16,16501168.67,2260228.32,448,445
2024-05-17,15757368.27,2194172.77,459,454
2024-05-18,15804613.74,2322416.11,489,487
2024-05-19,15945975.97,2226138.63,439,436
2024-05-20,16038564.56,2353443.64,451,447
2024-05-21,13782137.49,2060398.45,429,428
2024-05-22,15949424.03,2469617.7,479,476
2024-05-23,16443152.59,2377603.61,453,450
2024-05-24,16934622.86,2503684.85,470,466
2024-05-25,17010165.58,2381741.96,419,417
2024-05-26,16592541.17,2375508.8,472,469
2024-05-27,15294896.23,2205307.34,443,442
2024-05-28,17797392.97,2538364.08,479,479
2024-05-29,14848244.28,2132892.34,406,403
2024-05-30,16232931.1,2377317.56,434,433
2024-05-31,18690927.24,2642362.87,447,445
2024-06-01,16515888.52,2363024.13,446,445
2024-06-02,16422518.6,2188264.83,466,464
2024-06-03,15931990.45,2195762.12,471,468
2024-06-04,17328080.84,2323968.7399999998,463,463
2024-06-05,15529330.82,2122717.66,451,448
2024-06-06,14610888.370000001,2118349.11,434,432
2024-06-07,16101706.7,2122851.84,423,420
2024-06-08,18566240.48,2375427.72,449,447
2024-06-09,16805677.53,2421628.05,460,457
2024-06-10,15187660.41,2122738.69,453,452
2024-06-11,18464449.87,2407761.87,446,443
2024-06-12,15709051.44,2142468.41,447,444
2024-06-13,17233221.76,2448205.03,462,460
2024-06-14,13498540.06,1934045.94,428,421
2024-06-15,14296449.96,2001594.6300000001,446,444
2024-06-16,18675752.1,2542929.02,484,483
2024-06-17,14476760.59,1886542.24,428,425
2024-06-18,14082376.01,1905933.04,450,443
2024-06-19,15561010.28,2138876.11,496,493
2024-06-20,15121801.4,1979952.6300000001,409,407
2024-06-21,18321256.34,2508058.46,457,454
2024-06-22,15470453.58,2202402.08,426,424
2024-06-23,17696224.47,2324765.89,450,449
2024-06-24,16380055.370000001,2280786.39,438,435
2024-06-25,17306490.69,2452845.04,456,456
2024-06-26,18252812.32,2545592.62,469,465
2024-06-27,19059911.82,2514333.05,523,521
2024-06-28,14883178.53,1986479.38,422,419
2024-06-29,17851452.14,2414438.56,464,462
2024-06-30,14372752.05,2092684.36,492,490
2024-07-01,16968592.63,2327169.07,486,483
2024-07-02,13677905.95,1831822.33,428,427
2024-07-03,17506726.75,2324952.2199999997,466,463
2024-07-04,16129557.33,2210312.57,449,446
2024-07-05,16627028.02,2338513.57,485,481
2024-07-06,16423066.1,2151057.17,448,444
2024-07-07,16958633.15,2218576.37,458,456
2024-07-08,16900337.2,2329102.11,450,447
2024-07-09,18672405.54,2572781.53,492,487
2024-07-10,14979145.91,1982765.11,415,414
2024-07-11,15789679.34,2238026.1,460,457
2024-07-12,16764100.88,2224288.32,458,456
2024-07-13,17771205.37,2405045.58,489,484
2024-07-14,16110728.32,2124082.8,463,462
2024-07-15,20052565.54,2771147.46,497,494
2024-07-16,17014200.6,2357921.17,450,449
2024-07-17,17331109.16,2322309.74,445,441
2024-07-18,17348114.92,2492588.92,492,488
