product_id,category,product_name,base_price,margin_percent,cost
P0044,Electronics,Electronics Product 44,110792.9,15.1,94062.66
P0045,Electronics,Electronics Product 45,133645.85,13.78,115232.5
P0046,Electronics,Electronics Product 46,22341.17,15.71,18832.27
P0047,Electronics,Electronics Product 47,115313.83,14.49,98604.61
P0048,Electronics,Electronics Product 48,116790.24,13.95,100497.58
P0049,Electronics,Electronics Product 49,80796.26,13.42,69953.14
P0050,Electronics,Electronics Product 50,8685.77,10.86,7742.23
P0051,Electronics,Electronics Product 51,9557.23,15.09,8114.92
P0052,Electronics,Electronics Product 52,50581.62,14.07,43465.51
P0053,Electronics,Electronics Product 53,136597.14,11.99,120213.22
P0054,Electronics,Electronics Product 54,64505.52,16.04,54155.99
P0055,Electronics,Electronics Product 55,38175.73,10.62,34123.06
P0056,Electronics,Electronics Product 56,47013.96,11.29,41706.19
P0057,Electronics,Electronics Product 57,139806.16,16.46,116787.13
P0058,Electronics,Electronics Product 58,96843.54,16.97,80407.56
P0059,Electronics,Electronics Product 59,121532.45,11.49,107565.26
P0060,Electronics,Electronics Product 60,134421.05,14.31,115179.03
P0061,Electronics,Electronics Product 61,122078.82,17.17,101119.44
P0062,Electronics,Electronics Product 62,51110.5,10.88,45549.47
P0063,Electronics,Electronics Product 63,38050.6,13.42,32945.4
P0064,Electronics,Electronics Product 64,123612.14,16.89,102739.19
P0065,Electronics,Electronics Product 65,6008.06,14.09,5161.77
P0066,Electronics,Electronics Product 66,65524.6,11.78,57807.85
P0067,Electronics,Electronics Product 67,22380.48,12.7,19537.95
P0068,Electronics,Electronics Product 68,141721.91,12.59,123885.32
P0069,Electronics,Electronics Product 69,80224.64,15.62,67690.22
P0070,Electronics,Electronics Product 70,57726.29,17.77,47465.87
P0071,Electronics,Electronics Product 71,144554.86,12.01,127187.66
P0072,Electronics,Electronics Product 72,77101.03,12.41,67535.09
P0073,Electronics,Electronics Product 73,46301.87,10.3,41535.05
P0074,Electronics,Electronics Product 74,93386.83,14.02,80292.66
P0075,Electronics,Electronics Product 75,12464.42,12.23,10940.12
P0076,Electronics,Electronics Product 76,136698.55,11.92,120408.88
P0077,Electronics,Electronics Product 77,26009.76,13.92,22390.34
P0078,Electronics,Electronics Product 78,147919.32,11.94,130263.01
P0079,Electronics,Electronics Product 79,102459.65,16.09,85970.87
P0080,Electronics,Electronics Product 80,39457.44,15.83,33213.02
P0081,Electronics,Electronics Product 81,58328.55,15.06,49545.18
P0082,Electronics,Electronics Product 82,96861.81,14.29,83023.94
P0083,Electronics,Electronics Product 83,18092.02,16.68,15073.83
P0084,Electronics,Electronics Product 84,51513.11,11.49,45593.15
P0085,Electronics,Electronics Product 85,10912.4,14.73,9305.31
P0086,Electronics,Electronics Product 86,103246.83,10.13,92785.14
P0087,Electronics,Electronics Product 87,79253.49,11.81,69892.1
P0088,Electronics,Electronics Product 88,98550.05,11.39,87320.34
P0089,Electronics,Electronics Product 89,105185.97,13.09,91413.04
P0090,Electronics,Electronics Product 90,140825.85,11.1,125193.94
P0091,Electronics,Electronics Product 91,54454.62,10.91,48514.83
P0092,Electronics,Electronics Product 92,139080.57,17.02,115410.85
P0093,Electronics,Electronics Product 93,42401.54,15.28,35922.64
P0094,Electronics,Electronics Product 94,123497.22,14.44,105662.24
P0095,Electronics,Electronics Product 95,81799.33,11.93,72036.73
P0096,Electronics,Electronics Product 96,18499.9,17.18,15322.04
P0097,Electronics,Electronics Product 97,135560.62,15.06,115138.67
P0098,Electronics,Electronics Product 98,54159.32,12.79,47230.35
P0099,Electronics,Electronics Product 99,110263.57,17.18,91323.73
P0100,Electronics,Electronics Product 100,133627.53,16.24,111927.75
P0101,Electronics,Electronics Product 101,98094.59,10.67,87624.84
P0102,Electronics,Electronics Product 102,28436.16,17.19,23548.43
P0103,Electronics,Electronics Product 103,92932.21,10.07,83570.62
P0104,Electronics,Electronics Product 104,19713.37,15.31,16695.65
P0105,Electronics,Electronics Product 105,5733.93,11.29,5086.77
P0106,Electronics,Electronics Product 106,84566.4,15.54,71428.87
P0107,Electronics,Electronics Product 107,99534.38,11.79,87795.14
P0108,Electronics,Electronics Product 108,108265.99,11.9,95384.51
P0109,Electronics,Electronics Product 109,52182.96,15.97,43848.33
P0110,Electronics,Electronics Product 110,99196.77,16.79,82537.88
P0111,Electronics,Electronics Product 111,100353.87,14.55,85755.93
P0112,Electronics,Electronics Product 112,18582.84,12.94,16177.9
P0113,Electronics,Electronics Product 113,43454.34,11.95,38260.72
P0114,Electronics,Electronics Product 114,146086.53,13.14,126883.77
P0115,Electronics,Electronics Product 115,134346.75,15.05,114128.76
P0116,Electronics,Electronics Product 116,120247.64,14.02,103387.6
P0117,Electronics,Electronics Product 117,88651.06,13.94,76292.98
P0118,Electronics,Electronics Product 118,33310.23,15.78,28054.01
P0119,Electronics,Electronics Product 119,45711.99,10.19,41051.87
P0120,Electronics,Electronics Product 120,98593.48,11.42,87337.18
P0121,Electronics,Electronics Product 121,141366.49,17.63,116441.56
P0122,Electronics,Electronics Product 122,137655.34,12.96,119813.46
P0123,Electronics,Electronics Product 123,7241.21,17.43,5979.32
P0124,Electronics,Electronics Product 124,67086.7,17.73,55190.06
P0125,Electronics,Electronics Product 125,144724.9,16.82,120376.27
P0126,Electronics,Electronics Product 126,47695.09,13.08,41456.2
P0127,Electronics,Electronics Product 127,128414.82,12.54,112317.54
P0128,Electronics,Electronics Product 128,29576.45,14.45,25301.35
P0129,Electronics,Electronics Product 129,140742.44,15.57,118831.32
P0130,Electronics,Electronics Product 130,87658.87,10.78,78211.51
P0131,Electronics,Electronics Product 131,94176.05,17.92,77299.29
P0132,Electronics,Electronics Product 132,25312.18,14.15,21731.36
P0133,Electronics,Electronics Product 133,132219.1,15.93,111161.69
P0134,Electronics,Electronics Product 134,106067.28,15.62,89499.71
P0135,Electronics,Electronics Product 135,57126.22,12.35,50071.85
P0136,Electronics,Electronics Product 136,122357.37,16.48,102191.76
P0137,Electronics,Electronics Product 137,130725.49,17.31,108102.23
P0138,Electronics,Electronics Product 138,79144.65,14.01,68054.8
P0139,Electronics,Electronics Product 139,120752.8,15.2,102398.72
P0140,Electronics,Electronics Product 140,106785.2,16.37,89308.37
P0141,Electronics,Electronics Product 141,134050.77,12.7,117021.02
P0142,Electronics,Electronics Product 142,59459.53,10.75,53066.53
P0143,Electronics,Electronics Product 143,88850.62,10.29,79710.08
P0144,Electronics,Electronics Product 144,72511.71,14.34,62112.69
P0145,Electronics,Electronics Product 145,46548.48,14.73,39693.44
P0146,Electronics,Electronics Product 146,9422.54,10.3,8452.13
P0147,Electronics,Electronics Product 147,124277.08,12.88,108268.3
P0148,Electronics,Electronics Product 148,23423.77,14.18,20102.76
P0149,Electronics,Electronics Product 149,116649.07,11.73,102970.13
P0150,Electronics,Electronics Product 150,95319.12,10.68,85136.39
P0151,Electronics,Electronics Product 151,12493.85,14.25,10713.37
P0152,Electronics,Electronics Product 152,83392.09,15.1,70800.35
P0153,Electronics,Electronics Product 153,110283.24,17.81,90645.31
P0154,Electronics,Electronics Product 154,79863.55,12.58,69813.8
P0155,Electronics,Electronics Product 155,120302.0,12.17,105665.27
P0156,Electronics,Electronics Product 156,68650.86,10.63,61354.88
P0157,Electronics,Electronics Product 157,8675.86,17.7,7140.13
P0158,Electronics,Electronics Product 158,126217.12,15.57,106567.9
P0159,Electronics,Electronics Product 159,64298.18,11.39,56976.96
P0160,Electronics,Electronics Product 160,27683.37,12.0,24360.83
P0161,Electronics,Electronics Product 161,84637.87,15.72,71335.53
P0162,Electronics,Electronics Product 162,100728.62,12.24,88399.97
P0163,Electronics,Electronics Product 163,143455.47,15.9,120641.49
P0164,Electronics,Electronics Product 164,85381.34,14.89,72664.84
P0165,Electronics,Electronics Product 165,65842.01,11.98,57952.92
P0166,Electronics,Electronics Product 166,56616.04,16.06,47521.94
P0167,Electronics,Electronics Product 167,7087.06,10.93,6312.54
P0168,Electronics,Electronics Product 168,11670.38,10.33,10465.32
P0169,Electronics,Electronics Product 169,129041.78,15.63,108873.5
P0170,Electronics,Electronics Product 170,73755.21,10.78,65802.42
P0171,Electronics,Electronics Product 171,76284.3,13.79,65766.39
P0172,Electronics,Electronics Product 172,30114.27,13.47,26057.63
P0173,Electronics,Electronics Product 173,62783.19,14.93,53411.67
P0174,Electronics,Electronics Product 174,97088.58,10.36,87027.84
P0175,Electronics,Electronics Product 175,59318.83,15.01,50416.92
P0176,Electronics,Electronics Product 176,77954.76,16.85,64817.89
P0177,Electronics,Electronics Product 177,100510.58,11.3,89149.39
P0178,Electronics,Electronics Product 178,15232.47,15.14,12926.37
P0179,Electronics,Electronics Product 179,8844.14,14.69,7545.27
P0180,Electronics,Electronics Product 180,141333.39,14.6,120693.35
P0181,Electronics,Electronics Product 181,61284.64,15.15,52002.28
P0182,Electronics,Electronics Product 182,71446.67,14.36,61183.4
P0183,Electronics,Electronics Product 183,141512.4,13.09,122990.09
P0184,Electronics,Electronics Product 184,144372.63,17.24,119478.74
P0185,Electronics,Electronics Product 185,33389.71,10.55,29865.47
P0186,Electronics,Electronics Product 186,19612.81,10.15,17622.94
P0187,Electronics,Electronics Product 187,18694.23,15.46,15803.34
P0188,Electronics,Electronics Product 188,15322.35,12.55,13399.12
P0189,Electronics,Electronics Product 189,127506.92,10.19,114518.84
P0190,Electronics,Electronics Product 190,123097.93,12.25,108012.48
P0191,Electronics,Electronics Product 191,22133.9,15.57,18686.79
P0192,Electronics,Electronics Product 192,96196.71,17.02,79824.25
P0193,Electronics,Electronics Product 193,111585.3,16.43,93254.24
P0194,Electronics,Electronics Product 194,45895.01,11.42,40654.02
P0195,Electronics,Electronics Product 195,113839.14,16.45,95107.28
P0196,Electronics,Electronics Product 196,148623.25,13.3,128854.95
P0197,Electronics,Electronics Product 197,58942.62,16.21,49387.25
P0198,Electronics,Electronics Product 198,54416.51,17.45,44922.98
P0199,Electronics,Electronics Product 199,129469.85,13.43,112079.52
P0200,Electronics,Electronics Product 200,113876.3,16.04,95614.71
P0201,Electronics,Electronics Product 201,19952.96,17.22,16516.98
P0202,Electronics,Electronics Product 202,78261.59,16.61,65261.04
P0203,Electronics,Electronics Product 203,51407.19,17.16,42583.57
P0204,Electronics,Electronics Product 204,61434.24,10.09,55237.55
P0205,Electronics,Electronics Product 205,136280.39,10.73,121657.1
P0206,Electronics,Electronics Product 206,51300.48,17.6,42271.34
P0207,Electronics,Electronics Product 207,142838.04,14.59,122001.53
P0208,Electronics,Electronics Product 208,96616.4,13.59,83488.58
P0209,Electronics,Electronics Product 209,47515.56,12.63,41514.67
P0210,Electronics,Electronics Product 210,102515.18,16.02,86093.27
P0211,Electronics,Electronics Product 211,119778.96,16.32,100234.69
P0212,Electronics,Electronics Product 212,18224.88,13.96,15681.54
P0213,Electronics,Electronics Product 213,13346.02,14.4,11424.7
P0214,Electronics,Electronics Product 214,69021.92,17.1,57218.05
P0215,Electronics,Electronics Product 215,55882.68,10.94,49771.05
P0216,Electronics,Electronics Product 216,25733.79,16.09,21592.69
P0217,Electronics,Electronics Product 217,94641.62,10.81,84411.82
P0218,Electronics,Electronics Product 218,17195.49,15.61,14511.66
P0219,Electronics,Electronics Product 219,15550.64,16.57,12973.14
P0220,Electronics,Electronics Product 220,107405.12,10.65,95965.63
P0221,Electronics,Electronics Product 221,17301.47,17.89,14205.7
P0222,Electronics,Electronics Product 222,59269.27,12.97,51584.92
P0223,Electronics,Electronics Product 223,122855.94,17.58,101260.33
P0224,Electronics,Electronics Product 224,147970.15,16.03,124254.94
P0225,Electronics,Electronics Product 225,59557.64,10.67,53204.03
P0226,Electronics,Electronics Product 226,117686.3,14.47,100660.35
P0227,Electronics,Electronics Product 227,66512.19,17.25,55038.28
P0228,Electronics,Electronics Product 228,21123.63,13.94,18178.79
P0229,Electronics,Electronics Product 229,6646.28,13.75,5732.46
P0230,Electronics,Electronics Product 230,13163.97,10.95,11722.45
P0231,Electronics,Electronics Product 231,22041.31,15.19,18692.42
P0232,Electronics,Electronics Product 232,113176.51,14.67,96576.97
P0233,Electronics,Electronics Product 233,144515.02,13.0,125729.56
P0234,Electronics,Electronics Product 234,46428.25,16.95,38559.22
P0235,Electronics,Electronics Product 235,37421.4,17.71,30795.65
P0236,Electronics,Electronics Product 236,6762.4,17.76,5561.46
P0237,Electronics,Electronics Product 237,11258.19,17.13,9329.76
P0238,Electronics,Electronics Product 238,81516.66,17.94,66889.54
P0239,Electronics,Electronics Product 239,15700.5,14.43,13434.79
P0240,Electronics,Electronics Product 240,145548.87,14.18,124903.08
P0241,Electronics,Electronics Product 241,96262.8,15.57,81278.54
P0242,Electronics,Electronics Product 242,70908.45,15.02,60257.68
P0243,Electronics,Electronics Product 243,89725.58,17.21,74284.46
P0244,Electronics,Electronics Product 244,11589.73,12.25,10170.25
P0245,Electronics,Electronics Product 245,142809.67,17.12,118357.64
P0246,Electronics,Electronics Product 246,71070.23,14.96,60437.37
P0247,Electronics,Electronics Product 247,45220.27,11.5,40017.69
P0248,Electronics,Electronics Product 248,72236.27,12.83,62970.65
P0249,Electronics,Electronics Product 249,89630.14,10.62,80109.73
P0250,Electronics,Electronics Product 250,146287.25,17.89,120116.92
P0251,Fashion,Fashion Product 1,10623.34,43.04,6050.9
P0252,Fashion,Fashion Product 2,4988.15,47.21,2633.4
P0253,Fashion,Fashion Product 3,10428.6,37.44,6524.21
P0254,Fashion,Fashion Product 4,13708.44,47.34,7219.13
P0255,Fashion,Fashion Product 5,14272.1,45.89,7723.23
P0256,Fashion,Fashion Product 6,9394.52,41.27,5517.06
P0257,Fashion,Fashion Product 7,14024.56,47.99,7294.04
P0258,Fashion,Fashion Product 8,1155.67,35.4,746.62
P0259,Fashion,Fashion Product 9,5958.72,47.16,3148.69
P0260,Fashion,Fashion Product 10,14815.5,37.26,9295.8
P0261,Fashion,Fashion Product 11,9114.9,40.71,5403.91
P0262,Fashion,Fashion Product 12,14563.76,47.63,7626.78
P0263,Fashion,Fashion Product 13,12655.77,42.03,7336.5
P0264,Fashion,Fashion Product 14,6514.88,39.1,3967.49
P0265,Fashion,Fashion Product 15,1317.44,47.97,685.46
P0266,Fashion,Fashion Product 16,12287.06,50.0,6144.05
P0267,Fashion,Fashion Product 17,14951.23,43.33,8472.64
P0268,Fashion,Fashion Product 18,11650.32,49.17,5921.68
P0269,Fashion,Fashion Product 19,12819.89,38.71,7857.28
P0270,Fashion,Fashion Product 20,7032.89,36.94,4435.12
P0271,Fashion,Fashion Product 21,14333.74,44.09,8013.62
P0272,Fashion,Fashion Product 22,3815.32,45.08,2095.55
P0273,Fashion,Fashion Product 23,9462.86,40.37,5642.47
P0274,Fashion,Fashion Product 24,2146.59,45.07,1179.04
P0275,Fashion,Fashion Product 25,8044.46,46.58,4296.97
P0276,Fashion,Fashion Product 26,8042.37,47.78,4199.51
P0277,Fashion,Fashion Product 27,8502.65,43.41,4811.3
P0278,Fashion,Fashion Product 28,13211.48,41.05,7787.87
P0279,Fashion,Fashion Product 29,2443.22,35.43,1577.55
P0280,Fashion,Fashion Product 30,11449.49,44.3,6376.83
P0281,Fashion,Fashion Product 31,10709.16,38.19,6618.85
P0282,Fashion,Fashion Product 32,2477.39,35.22,1604.9
P0283,Fashion,Fashion Product 33,5583.52,43.85,3135.22
P0284,Fashion,Fashion Product 34,6187.54,41.56,3615.87
P0285,Fashion,Fashion Product 35,13610.3,40.22,8135.72
P0286,Fashion,Fashion Product 36,7952.85,46.75,4234.51
P0287,Fashion,Fashion Product 37,6249.87,44.33,3479.22
P0288,Fashion,Fashion Product 38,13004.27,49.24,6600.6
P0289,Fashion,Fashion Product 39,2632.57,48.9,1345.27
P0290,Fashion,Fashion Product 40,7635.69,38.87,4667.42
P0291,Fashion,Fashion Product 41,7157.47,49.7,3600.17
P0292,Fashion,Fashion Product 42,7642.96,39.93,4591.03
P0293,Fashion,Fashion Product 43,9684.31,38.6,5945.96
P0294,Fashion,Fashion Product 44,1600.02,36.93,1009.08
P0295,Fashion,Fashion Product 45,2356.66,37.28,1478.13
P0296,Fashion,Fashion Product 46,2512.99,44.61,1391.87
P0297,Fashion,Fashion Product 47,3137.26,40.19,1876.55
P0298,Fashion,Fashion Product 48,13503.43,42.11,7817.21
P0299,Fashion,Fashion Product 49,10179.59,37.58,6353.61
P0300,Fashion,Fashion Product 50,3288.19,35.61,2117.17
P0301,Fashion,Fashion Product 51,2949.56,39.18,1793.96
P0302,Fashion,Fashion Product 52,3066.65,36.33,1952.52
P0303,Fashion,Fashion Product 53,2249.22,41.91,1306.53
P0304,Fashion,Fashion Product 54,3491.84,40.46,2078.9
P0305,Fashion,Fashion Product 55,7799.55,45.36,4261.99
P0306,Fashion,Fashion Product 56,1070.03,46.99,567.21
P0307,Fashion,Fashion Product 57,9604.56,36.23,6125.17
P0308,Fashion,Fashion Product 58,13166.89,48.81,6739.72
P0309,Fashion,Fashion Product 59,1385.63,39.15,843.11
P0310,Fashion,Fashion Product 60,12189.92,46.22,6555.26
P0311,Fashion,Fashion Product 61,3175.55,38.14,1964.39
P0312,Fashion,Fashion Product 62,5871.85,42.27,3389.94
P0313,Fashion,Fashion Product 63,9464.69,40.53,5628.3
P0314,Fashion,Fashion Product 64,7206.75,46.21,3876.36
P0315,Fashion,Fashion Product 65,1031.91,38.79,631.67
P0316,Fashion,Fashion Product 66,10843.57,48.43,5592.23
P0317,Fashion,Fashion Product 67,7919.32,42.98,4515.46
P0318,Fashion,Fashion Product 68,2053.99,41.71,1197.25
P0319,Fashion,Fashion Product 69,8222.95,38.64,5045.84
P0320,Fashion,Fashion Product 70,4404.03,40.66,2613.38
P0321,Fashion,Fashion Product 71,791.03,39.83,475.95
P0322,Fashion,Fashion Product 72,3566.0,39.91,2142.72
P0323,Fashion,Fashion Product 73,2236.55,48.36,1155.0
P0324,Fashion,Fashion Product 74,9107.09,45.19,4991.91
P0325,Fashion,Fashion Product 75,11942.98,42.48,6870.01
P0326,Fashion,Fashion Product 76,1760.34,43.06,1002.4
P0327,Fashion,Fashion Product 77,9009.2,46.18,4848.61
P0328,Fashion,Fashion Product 78,6759.06,36.91,4264.04
P0329,Fashion,Fashion Product 79,4614.75,40.45,2748.26
P0330,Fashion,Fashion Product 80,9865.8,43.56,5568.09
P0331,Fashion,Fashion Product 81,5663.4,49.8,2843.16
P0332,Fashion,Fashion Product 82,9283.73,38.56,5704.08
P0333,Fashion,Fashion Product 83,1975.85,37.29,1239.0
P0334,Fashion,Fashion Product 84,4066.39,37.41,2545.14
P0335,Fashion,Fashion Product 85,3205.22,39.28,1946.33
P0336,Fashion,Fashion Product 86,3013.92,48.45,1553.63
P0337,Fashion,Fashion Product 87,1663.39,42.87,950.33
P0338,Fashion,Fashion Product 88,6450.75,49.74,3242.43
P0339,Fashion,Fashion Product 89,2124.56,40.97,1254.18
P0340,Fashion,Fashion Product 90,14557.32,47.98,7572.34
P0341,Fashion,Fashion Product 91,12347.55,38.87,7548.23
P0342,Fashion,Fashion Product 92,2977.87,45.03,1636.95
P0343,Fashion,Fashion Product 93,13975.95,43.35,7917.17
P0344,Fashion,Fashion Product 94,8788.38,39.2,5343.37
P0345,Fashion,Fashion Product 95,11657.65,37.81,7250.4
P0346,Fashion,Fashion Product 96,5193.35,41.38,3044.26
P0347,Fashion,Fashion Product 97,7860.35,38.64,4823.41
P0348,Fashion,Fashion Product 98,2165.13,44.16,1209.03
P0349,Fashion,Fashion Product 99,4685.14,43.72,2636.87
P0350,Fashion,Fashion Product 100,2738.26,42.22,1582.25
P0351,Fashion,Fashion Product 101,8222.55,35.78,5280.74
P0352,Fashion,Fashion Product 102,5380.76,37.02,3389.01
P0353,Fashion,Fashion Product 103,1418.94,49.85,711.61
P0354,Fashion,Fashion Product 104,5174.13,47.15,2734.63
P0355,Fashion,Fashion Product 105,4192.29,45.22,2296.43
P0356,Fashion,Fashion Product 106,11523.3,43.93,6460.59
P0357,Fashion,Fashion Product 107,7337.85,41.18,4316.3
P0358,Fashion,Fashion Product 108,5558.59,48.94,2838.05
P0359,Fashion,Fashion Product 109,12543.98,49.48,6337.8
P0360,Fashion,Fashion Product 110,2302.31,45.96,1244.1
P0361,Fashion,Fashion Product 111,14105.94,37.72,8785.39
P0362,Fashion,Fashion Product 112,1464.2,46.12,788.96
P0363,Fashion,Fashion Product 113,8829.86,47.63,4624.42
P0364,Fashion,Fashion Product 114,2526.7,46.93,1340.94
P0365,Fashion,Fashion Product 115,3423.6,37.45,2141.29
P0366,Fashion,Fashion Product 116,2881.85,47.22,1521.08
P0367,Fashion,Fashion Product 117,10145.36,42.85,5798.48
P0368,Fashion,Fashion Product 118,5703.04,48.16,2956.57
P0369,Fashion,Fashion Product 119,6190.45,47.25,3265.53
P0370,Fashion,Fashion Product 120,6867.46,40.65,4075.55
P0371,Fashion,Fashion Product 121,7208.86,39.52,4359.87
P0372,Fashion,Fashion Product 122,11340.34,42.54,6516.07
P0373,Fashion,Fashion Product 123,3867.08,48.49,1991.8
P0374,Fashion,Fashion Product 124,6066.42,43.15,3448.56
P0375,Fashion,Fashion Product 125,13643.85,44.36,7590.95
P0376,Fashion,Fashion Product 126,2195.02,49.1,1117.32
P0377,Fashion,Fashion Product 127,9601.77,40.02,5758.8
P0378,Fashion,Fashion Product 128,2519.45,46.91,1337.56
P0379,Fashion,Fashion Product 129,9491.05,43.0,5409.72
P0380,Fashion,Fashion Product 130,13461.44,46.83,7157.59
P0381,Fashion,Fashion Product 131,2699.29,39.68,1628.32
P0382,Fashion,Fashion Product 132,4103.09,46.16,2209.14
P0383,Fashion,Fashion Product 133,986.22,43.55,556.74
P0384,Fashion,Fashion Product 134,11555.65,48.15,5991.43
P0385,Fashion,Fashion Product 135,5460.19,47.32,2876.49
P0386,Fashion,Fashion Product 136,2104.16,47.7,1100.54
P0387,Fashion,Fashion Product 137,2348.59,40.96,1386.62
P0388,Fashion,Fashion Product 138,12060.78,37.25,7568.29
P0389,Fashion,Fashion Product 139,3824.15,45.83,2071.39
P0390,Fashion,Fashion Product 140,10940.53,44.62,6059.17
P0391,Fashion,Fashion Product 141,10562.25,43.14,6005.61
P0392,Fashion,Fashion Product 142,4151.09,40.19,2482.95
P0393,Fashion,Fashion Product 143,3133.17,48.63,1609.61
P0394,Fashion,Fashion Product 144,8959.18,41.01,5284.77
P0395,Fashion,Fashion Product 145,7199.08,49.21,3656.47
P0396,Fashion,Fashion Product 146,2723.6,43.79,1530.84
P0397,Fashion,Fashion Product 147,7835.39,44.17,4374.35
P0398,Fashion,Fashion Product 148,762.6,48.08,395.93
P0399,Fashion,Fashion Product 149,14015.72,43.48,7922.1
P0400,Fashion,Fashion Product 150,10601.44,48.84,5423.96
P0401,Fashion,Fashion Product 151,10754.96,37.29,6744.64
P0402,Fashion,Fashion Product 152,8856.18,44.1,4950.54
P0403,Fashion,Fashion Product 153,6649.89,46.05,3587.84
P0404,Fashion,Fashion Product 154,14048.32,48.88,7181.01
P0405,Fashion,Fashion Product 155,7037.17,36.7,4454.63
P0406,Fashion,Fashion Product 156,14780.2,47.58,7747.27
P0407,Fashion,Fashion Product 157,2307.61,48.81,1181.2
P0408,Fashion,Fashion Product 158,13113.5,42.78,7503.21
P0409,Fashion,Fashion Product 159,9073.49,40.99,5354.72
P0410,Fashion,Fashion Product 160,1294.04,40.03,776.06
P0411,Fashion,Fashion Product 161,12141.38,35.07,7883.46
P0412,Fashion,Fashion Product 162,5335.74,40.97,3149.55
P0413,Fashion,Fashion Product 163,8292.24,48.8,4245.8
P0414,Fashion,Fashion Product 164,5522.02,40.2,3301.93
P0415,Fashion,Fashion Product 165,11193.77,41.78,6516.65
P0416,Fashion,Fashion Product 166,3756.77,41.79,2186.94
P0417,Fashion,Fashion Product 167,2542.43,37.65,1585.31
P0418,Fashion,Fashion Product 168,7726.33,41.28,4536.6
P0419,Fashion,Fashion Product 169,13765.27,40.44,8199.16
P0420,Fashion,Fashion Product 170,8918.53,44.48,4951.21
P0421,Fashion,Fashion Product 171,689.87,44.95,379.75
P0422,Fashion,Fashion Product 172,3081.52,49.42,1558.76
P0423,Fashion,Fashion Product 173,2655.61,41.22,1560.98
P0424,Fashion,Fashion Product 174,1737.57,49.95,869.6
P0425,Fashion,Fashion Product 175,7781.83,43.93,4363.21
P0426,Fashion,Fashion Product 176,1472.61,46.25,791.54
P0427,Fashion,Fashion Product 177,3543.63,48.47,1826.0
P0428,Fashion,Fashion Product 178,3474.52,37.86,2159.06
P0429,Fashion,Fashion Product 179,1029.97,42.08,596.55
P0430,Fashion,Fashion Product 180,8690.2,35.99,5562.97
P0431,Fashion,Fashion Product 181,11745.15,41.8,6835.76
P0432,Fashion,Fashion Product 182,8103.66,41.61,4731.61
P0433,Fashion,Fashion Product 183,6311.06,43.39,3572.4
P0434,Fashion,Fashion Product 184,2750.98,37.73,1713.07
P0435,Fashion,Fashion Product 185,12995.89,49.19,6602.99
P0436,Fashion,Fashion Product 186,5912.99,39.06,3603.3
